iso,info_tweets_mean,date_last,info_tweets_last,info_iri_last,info_dyn_iri_last,info_fact_unreliable_fraction_last
CAF,441.0098,2020-11-23,390,0.1237,0.2308,0.2500
CAN,51502.4984,2020-11-23,76917,0.0596,0.2151,0.1869
CHE,6007.3355,2020-11-23,6365,0.1212,0.3436,0.2460
CHL,20737.3746,2020-11-23,10133,0.0284,0.2849,0.2431
CHN,3966.0326,2020-11-23,3050,0.4188,0.3654,0.3605
CIV,826.5928,2020-11-23,694,0.0350,0.2105,0.1515
CMR,1340.8958,2020-11-23,891,0.0939,0.5000,0.4800
COD,1531.6059,2020-11-23,979,0.2030,0.4615,0.3750
COG,286.8013,2020-11-23,258,0.8808,0.5000,0.5556
COL,27991.2313,2020-11-23,16877,0.2962,0.4229,0.3630
CRI,2257.4788,2020-11-23,1252,0.0922,0.3871,0.3208
CUB,5413.0619,2020-11-23,2803,0.9320,0.6047,0.5946
CYM,193.9642,2020-11-23,258,0.0000,0.0000,0.0000
CYP,1029.1466,2020-11-23,1077,0.7745,0.4054,0.2931
CZE,1082.9902,2020-11-23,1153,0.0803,0.1731,0.1579
DEU,23344.2280,2020-11-23,24353,0.3296,0.3363,0.2939
DJI,106.5277,2020-11-23,76,,,
DNK,1484.7622,2020-11-23,1618,0.2096,0.2500,0.2642
DOM,3604.0195,2020-11-23,2736,0.6387,0.4848,0.4000
DZA,662.6547,2020-11-23,1360,0.0107,0.1538,0.2000
ECU,12676.9805,2020-11-23,10633,0.4440,0.5183,0.4922
EGY,1900.1564,2020-11-23,1640,0.0046,0.1111,0.1389
ESP,79829.3453,2020-11-23,67491,0.0719,0.3216,0.2815
EST,566.6840,2020-11-23,587,0.0020,0.4167,0.2500
ETH,1003.5896,2020-11-23,997,0.6776,0.5455,0.5152
FIN,2511.3713,2020-11-23,2529,0.1900,0.2791,0.2214
FJI,349.4463,2020-11-23,241,0.2920,0.4286,0.4545
FRA,62753.4853,2020-11-23,58252,0.0085,0.2676,0.2234
FRO,97.2606,2020-11-23,98,0.0000,,0.0000
GAB,257.2378,2020-11-23,237,0.9574,0.5000,0.6667
GBR,153412.1726,2020-11-23,168759,0.1390,0.2283,0.2036
GEO,135.4137,2020-11-23,175,0.0080,0.6667,0.1538
GHA,4376.3681,2020-11-23,2072,0.4835,0.2812,0.2738
GIB,97.0326,2020-11-23,67,0.0000,0.0000,0.0000
GIN,440.7296,2020-11-23,415,0.3957,0.0000,0.6061
GNB,104.0879,2020-11-23,76,0.9573,,0.5000
GRC,2943.9772,2020-11-23,3647,0.2082,0.2154,0.1991
GRD,413.1010,2020-11-23,438,0.0371,0.0000,0.1667
GRL,122.6580,2020-11-23,109,0.1978,0.3333,0.3636
GTM,3641.4365,2020-11-23,1736,0.6338,0.3256,0.3676
GUM,154.3779,2020-11-23,143,0.7675,0.4286,0.3333
GUY,218.1726,2020-11-23,176,0.1340,0.5000,0.2500
HKG,4544.6091,2020-11-23,2454,0.0049,0.1653,0.1435
HND,2068.0651,2020-11-23,1489,0.0968,0.2857,0.3158
HRV,608.0358,2020-11-23,692,0.1994,0.4375,0.3793
HTI,1577.5309,2020-11-23,1078,0.1810,0.2500,0.2895
HUN,749.4039,2020-11-23,790,0.6693,0.7576,0.6429
IDN,35062.3388,2020-11-23,27872,0.0965,0.6015,0.5612
IMN,169.2117,2020-11-23,172,0.0344,0.1429,0.2143
IND,123011.9381,2020-11-23,88990,0.1711,0.2045,0.1811
IRL,11050.0912,2020-11-23,9559,0.0127,0.2260,0.1720
IRN,1476.8762,2020-11-23,1325,0.6475,0.4138,0.3370
IRQ,508.5244,2020-11-23,471,0.0017,0.1154,0.0909
ISL,356.4853,2020-11-23,376,0.0181,0.0000,0.1250
ISR,829.6971,2020-11-23,680,0.1270,0.2609,0.2727
ITA,27844.1792,2020-11-23,28020,0.0089,0.2404,0.2058
JAM,1863.3485,2020-11-23,1131,0.0661,0.2000,0.1667
JEY,557.2345,2020-11-23,593,0.0308,0.2667,0.2000
JOR,434.9544,2020-11-23,500,0.0243,0.3889,0.3333
JPN,9532.2052,2020-11-23,7881,0.0780,0.1583,0.1337
KAZ,618.7524,2020-11-23,681,0.1843,0.4211,0.4667
KEN,9035.4397,2020-11-23,7118,0.1003,0.2353,0.2133
KGZ,108.8762,2020-11-23,134,0.8427,1.0000,0.6667
KHM,267.2834,2020-11-23,255,0.0684,0.1538,0.1304
KOR,1336.6547,2020-11-23,1248,0.4914,0.6170,0.5766
KWT,700.9707,2020-11-23,422,0.1620,0.2143,0.1852
LBN,885.7394,2020-11-23,677,0.0621,0.2857,0.1667
LBR,533.8893,2020-11-23,579,0.4073,0.2381,0.2500
LBY,182.2932,2020-11-23,135,0.5038,0.4286,0.4444
LKA,1461.6906,2020-11-23,1909,0.0787,0.1667,0.1831
LSO,119.7166,2020-11-23,66,1.0000,1.0000,1.0000
LTU,456.5733,2020-11-23,508,0.9072,0.7647,0.7000
LUX,488.5765,2020-11-23,614,0.4247,0.4118,0.3200
LVA,809.9967,2020-11-23,1076,0.1086,0.2500,0.2188
MAC,113.2508,2020-11-23,116,0.7057,0.6667,0.6667
MAR,2471.4984,2020-11-23,2542,0.1722,0.3673,0.2874
MDA,311.8534,2020-11-23,379,0.2142,0.2500,0.2857
MDG,289.1075,2020-11-23,258,0.6665,0.5000,0.5000
MDV,1151.6547,2020-11-23,560,0.1003,0.0857,0.0976
MEX,51444.7296,2020-11-23,46123,0.4633,0.4433,0.4397
MKD,192.3583,2020-11-23,226,0.3420,0.2000,0.1818
MLI,527.3876,2020-11-23,374,0.3000,0.3750,0.3529
MLT,556.3094,2020-11-23,578,0.8324,0.3636,0.3636
MMR,439.8664,2020-11-23,512,0.1843,0.6129,0.6111
MNE,186.2932,2020-11-23,469,0.1150,0.2308,0.1667
MNG,718.9121,2020-11-23,1349,0.2674,0.3333,0.3232
MOZ,787.3420,2020-11-23,739,0.4819,0.5000,0.3913
MSR,98.0391,2020-11-23,117,0.8269,0.5000,0.8000
MUS,254.7915,2020-11-23,173,0.3361,0.3333,0.3333
MWI,559.6547,2020-11-23,433,0.0986,0.0909,0.2222
MYS,20358.0684,2020-11-23,13953,0.0124,0.0504,0.0605
NAM,767.8632,2020-11-23,321,0.6915,0.0500,0.0690
NCL,829.0521,2020-11-23,866,0.5733,0.3125,0.3878
NER,298.7231,2020-11-23,345,0.2745,0.3000,0.3333
NGA,20111.9544,2020-11-23,11605,0.0687,0.1946,0.1888
NIC,1758.2052,2020-11-23,643,0.3566,0.6364,0.5263
NLD,10198.9870,2020-11-23,9198,0.2304,0.2639,0.2422
NOR,2842.5603,2020-11-23,2995,0.3449,0.2527,0.2676
NPL,1463.6808,2020-11-23,1112,0.0524,0.2000,0.1864
NZL,4787.8013,2020-11-23,4086,0.2721,0.2986,0.2337
OMN,427.1303,2020-11-23,267,0.1690,0.1250,0.1250
PAK,10678.1954,2020-11-23,11820,0.0267,0.0816,0.1080
PAN,1413.0326,2020-11-23,781,0.1133,0.2500,0.2041
PER,11100.1433,2020-11-23,9204,0.9843,0.5842,0.5680
PHL,14878.8241,2020-11-23,8430,0.0046,0.3675,0.3663
PNG,569.2704,2020-11-23,500,0.0272,0.2308,0.2000
POL,4760.0814,2020-11-23,6186,0.1533,0.2326,0.2900
PRI,4193.1303,2020-11-23,6301,0.0169,0.1777,0.1402
PRK,195.3746,2020-11-23,186,0.1354,0.3333,0.4286
PRT,6826.0456,2020-11-23,7501,0.0748,0.2299,0.2240
PRY,6070.9218,2020-11-23,2157,0.0146,0.1842,0.1695
PSE,574.8046,2020-11-23,486,0.0020,0.2500,0.1724
QAT,677.7296,2020-11-23,465,0.0053,0.0625,0.2222
ROU,1691.9479,2020-11-23,1872,0.0663,0.5116,0.3095
RUS,9913.0228,2020-11-23,9437,0.5947,0.3773,0.3737
RWA,941.1824,2020-11-23,791,0.7268,0.1667,0.2857
SAU,2466.8795,2020-11-23,1685,0.0144,0.2222,0.2091
SDN,264.8241,2020-11-23,231,0.0321,0.1667,0.1250
SEN,998.6319,2020-11-23,447,0.7979,0.7500,0.6471
SGP,3214.2020,2020-11-23,2221,0.0030,0.4262,0.1652
SLE,220.5440,2020-11-23,241,0.3853,0.6875,0.6875
SLV,5513.6775,2020-11-23,2446,0.1649,0.4194,0.3778
SOM,407.4430,2020-11-23,207,0.0802,0.6667,0.5000
SRB,949.1629,2020-11-23,1273,0.1569,0.3103,0.2791
SSD,310.6091,2020-11-23,232,0.3423,0.3333,0.3333
SUR,103.4723,2020-11-23,68,0.0000,,0.0000
SVK,390.5342,2020-11-23,324,0.3716,0.1250,0.1000
SVN,659.9055,2020-11-23,981,0.3640,0.3200,0.2973
SWE,5053.7785,2020-11-23,5100,0.3301,0.2678,0.2907
SWZ,127.5896,2020-11-23,76,0.0000,0.0000,0.0000
SYC,373.6221,2020-11-23,418,0.2280,0.5882,0.4800
SYR,292.5049,2020-11-23,275,0.0980,0.3636,0.2500
TCD,408.5309,2020-11-23,426,0.0429,0.1111,0.0526
TGO,287.0651,2020-11-23,269,0.7862,0.5000,0.6667
THA,13991.5896,2020-11-23,5999,0.1129,0.2551,0.2551
TLS,122.0326,2020-11-23,78,0.0341,0.5000,0.1667
TON,107.9479,2020-11-23,142,0.0000,0.0000,0.0000
TTO,652.4267,2020-11-23,574,0.4857,0.3333,0.2941
TUN,691.1922,2020-11-23,701,0.0710,0.2188,0.2000
TUR,14021.5309,2020-11-23,18329,0.0309,0.1887,0.1647
TWN,2135.4821,2020-11-23,1707,0.4265,0.3800,0.3571
TZA,716.6319,2020-11-23,506,0.0729,0.0909,0.1500
UGA,3237.2182,2020-11-23,2032,0.2218,0.3000,0.2466
UKR,1028.5472,2020-11-23,1176,0.0459,0.1538,0.1538
UMI,101.0033,2020-11-23,82,0.4248,0.2500,0.2500
URY,3206.8958,2020-11-23,4536,0.0979,0.1224,0.1507
USA,710546.2215,2020-11-23,735541,0.1793,0.3543,0.3135
UZB,151.4495,2020-11-23,136,0.2023,,0.4000
VEN,40578.6482,2020-11-23,31923,0.2618,0.8137,0.7551
VIR,306.4169,2020-11-23,276,0.1385,0.3333,0.3333
VNM,1086.0489,2020-11-23,856,0.5563,0.3793,0.2708
XKX,392.3453,2020-11-23,313,1.0000,0.7273,0.8095
YEM,332.6417,2020-11-23,266,0.1624,0.4000,0.4000
ZAF,22025.9805,2020-11-23,12738,0.0125,0.2834,0.2258
ZMB,488.8632,2020-11-23,312,0.4332,0.3571,0.3125
ZWE,1640.1270,2020-11-23,1060,0.4777,0.0800,0.1750
_WORLD,1944741.9251,2020-11-23,1829712,0.1825,0.3148,0.2791
