iso3;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_diff_2020-01-22;EMO_Sentiment;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11
AFG;4.0;0.0;0.0;;-0.08092208421196162;5.347170529629685;5.295041451689657;4.319861919160692;-0.002760833356377103;-0.0020383630816087094;-0.026059116217187546;-0.0005860581275031224;0.06705567899978016;111547.0;36282.0;1187.0;65327.0;42144.0;1693.0;2382.0;1.0;2010643045.0;112716802.0;236874694.0;712499175.0;948552374.0;0.0;5393.0;3566.0;5911.0;23629792.0;17044213.0;488692551.0;35.0;5358.0;4.0;3562.0;294260.0;23335532.0;2826.0;17041387.0;2857.0;2502.0;0.0;34.0;2275.0;1271.0;0.0;20.0;4525523.0;5861032.0;0.0;13243237.0;4079060.0;3276070.0;0.0;9689083.0
AGO;;;;;-0.09031510358994209;5.318550696459994;5.287867268532747;4.345463917929057;-0.003092865724501919;-0.002427110176071526;-0.024799543590989633;-0.0002633103938512415;0.06375393624668266;60814.0;17764.0;12767.0;35952.0;24718.0;30.0;114.0;0.0;152018469.0;90070791.0;59340883.0;740448.0;1866347.0;0.0;2735.0;1439.0;2696.0;5723089.0;4563657.0;5228464.0;461.0;2274.0;378.0;1061.0;562968.0;5160121.0;533284.0;4030373.0;1755.0;979.0;0.0;1.0;870.0;569.0;0.0;0.0;4231063.0;1467426.0;0.0;24600.0;3681805.0;881852.0;0.0;0.0
ALB;0.0;0.0;0.0;;-0.036059915700225445;5.400672079304354;5.339212383943931;4.343255088409457;-0.0029400149933257918;-0.0020637311746150248;-0.024515243968430345;-0.0005493465272718636;0.06397663319726349;46725.0;23888.0;0.0;27524.0;19036.0;35.0;128.0;2.0;101203871.0;59196059.0;38709549.0;595534.0;2702729.0;0.0;2598.0;1144.0;1701.0;5077996.0;4420989.0;7631520.0;0.0;2598.0;0.0;1144.0;0.0;5077996.0;0.0;4420989.0;1632.0;949.0;4.0;13.0;751.0;393.0;0.0;0.0;3419116.0;1283009.0;63006.0;312865.0;3113348.0;1307641.0;0.0;0.0
ARE;45.0;0.0;7.0;;-0.06846337519731807;5.347149448881693;5.319113094314274;4.2897345881599875;-0.0018961882234298714;-0.0011738775897490814;-0.025640726964869475;0.0008217733058639236;0.06764702169006884;77203.0;55028.0;4240.0;42240.0;31114.0;612.0;3236.0;1.0;1721372121.0;101467393.0;164808862.0;71710740.0;1383385126.0;0.0;4524.0;1237.0;4666.0;50477176.0;4526785.0;425748215.0;91.0;4433.0;17.0;1220.0;658216.0;49818960.0;18190.0;4508595.0;2442.0;1908.0;80.0;94.0;686.0;545.0;1.0;5.0;6287378.0;4552421.0;796256.0;38841121.0;3077570.0;1144103.0;13089.0;292023.0
ARG;12.0;1.0;0.0;-0.15798100633054746;-0.09445047905603599;5.30299543252534;5.272115720622065;4.335935514250444;-0.0020507450668964256;-0.0013541249283106147;-0.025670188332410526;-7.369659905525921e-06;0.06903070092656229;1678322.0;197838.0;1350991.0;964788.0;695841.0;4128.0;13544.0;21.0;13992537064.0;1656857141.0;1958768238.0;2026826632.0;8350085053.0;0.0;55797.0;18781.0;71042.0;1832708277.0;457178661.0;2215111755.0;30725.0;25072.0;11924.0;6857.0;1729107715.0;103600562.0;437532523.0;19646138.0;31133.0;23304.0;722.0;638.0;10816.0;7039.0;15.0;909.0;71995418.0;50696491.0;1671387054.0;38629314.0;21981484.0;14358723.0;244296.0;420594158.0
ARM;1.0;0.0;0.0;;-0.09008173125177514;5.306591386603072;5.282690099087712;4.319385915509854;-0.0021253352203609846;-0.0015262209052137729;-0.030475050172862103;-0.0007510565116036331;0.07098899351164713;6561.0;4566.0;68.0;3396.0;3078.0;36.0;51.0;0.0;10346031.0;3935528.0;5570269.0;307012.0;533222.0;0.0;668.0;129.0;245.0;590565.0;161300.0;571144.0;1.0;667.0;1.0;128.0;13.0;590552.0;42.0;161258.0;441.0;224.0;1.0;2.0;54.0;75.0;0.0;0.0;310956.0;257855.0;2746.0;19008.0;88610.0;72690.0;0.0;0.0
AUS;76.0;4.0;21.0;-0.11108071472633585;-0.13086551396608234;5.294296143315471;5.288815751362067;4.297318203493969;-0.0017765159274343953;-0.0010280342861723802;-0.03016941360667955;-0.00021195549184300396;0.07224777402175908;974371.0;848783.0;848783.0;533488.0;397880.0;12016.0;30973.0;14.0;6506276840.0;1065670193.0;1055974276.0;618286750.0;3766345621.0;0.0;88362.0;22097.0;39029.0;1195036752.0;76026963.0;334781389.0;79014.0;9348.0;19214.0;2883.0;1167636235.0;27400517.0;69499742.0;6527221.0;48296.0;35124.0;1538.0;3402.0;12621.0;9226.0;101.0;149.0;108503256.0;115487375.0;28072415.0;942973706.0;32693278.0;33244761.0;2735326.0;7353598.0
AUT;104.0;0.0;0.0;-0.17529377604034724;-0.0961665442097891;5.329935376430522;5.30284725534382;4.298020217199499;-0.0023086728441821893;-0.0015769228562172678;-0.027827158172880475;-0.0004173148059823094;0.06906009127121814;144255.0;67775.0;33919.0;77294.0;64236.0;955.0;1767.0;3.0;467976005.0;119874148.0;165058540.0;111994294.0;71049023.0;0.0;9122.0;2592.0;6485.0;22814035.0;6670478.0;29894026.0;1229.0;7893.0;187.0;2405.0;3354505.0;19459530.0;342012.0;6328466.0;5047.0;3948.0;40.0;87.0;1392.0;1156.0;2.0;42.0;7540699.0;10180225.0;2199453.0;2893658.0;2476667.0;2949153.0;17174.0;1227484.0
AZE;9.0;0.0;0.0;;-0.14563285179597688;5.271594572143517;5.261491752094624;4.313976903630058;-0.0029232049225610336;-0.0014280547287182168;-0.02879867003602631;-0.000648452540231465;0.06899933310906133;21728.0;16447.0;0.0;10448.0;11196.0;71.0;13.0;0.0;44830010.0;13702822.0;30152472.0;780875.0;193841.0;0.0;1346.0;573.0;893.0;2570535.0;1917048.0;1367437.0;0.0;1346.0;0.0;573.0;0.0;2570535.0;0.0;1917048.0;497.0;845.0;4.0;0.0;251.0;322.0;0.0;0.0;644072.0;1877463.0;49000.0;0.0;425257.0;1491791.0;0.0;0.0
BDI;;;;;-0.09282727700647266;5.325674507327197;5.2857028168435365;4.335307518354713;-0.003384432998776689;-0.00303012865460008;-0.02505843019791921;-0.0013896188151412984;0.06507384173360745;7001.0;3454.0;1154.0;3848.0;2662.0;28.0;463.0;0.0;506659240.0;3715959.0;5548484.0;637786.0;496757011.0;0.0;380.0;103.0;432.0;528206.0;159835.0;653394.0;37.0;343.0;20.0;83.0;36789.0;491417.0;11378.0;148457.0;219.0;160.0;0.0;1.0;67.0;35.0;1.0;0.0;157161.0;293170.0;0.0;77875.0;43003.0;92349.0;24483.0;0.0
