variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
info_fact_unreliable_fraction,AFG,0.2558,0.1776,0.2175,0.2114,0.1904,0.1535,0.2197,0.2597,0.2885,0.2200,0.2364
info_fact_unreliable_fraction,AGO,0.3899,0.3265,0.3350,0.3048,0.3072,0.3194,0.3211,0.3821,0.3395,0.2800,0.2466
info_fact_unreliable_fraction,ALB,0.3271,0.2989,0.3340,0.3374,0.3320,0.2632,0.3408,0.3918,0.3786,0.3494,0.3004
info_fact_unreliable_fraction,AND,0.3478,0.2339,0.2450,0.2051,0.2465,0.1839,0.3109,0.2435,0.2611,0.2985,0.1538
info_fact_unreliable_fraction,ARE,0.2528,0.1733,0.2250,0.2311,0.1877,0.1462,0.2106,0.2232,0.2114,0.2473,0.2016
info_fact_unreliable_fraction,ARG,0.3790,0.2136,0.2065,0.1844,0.2119,0.1909,0.2595,0.1805,0.2014,0.1488,0.1934
info_fact_unreliable_fraction,ARM,0.2209,0.1171,0.1532,0.1765,0.1823,0.1321,0.1831,0.2051,0.1622,0.2558,0.0588
info_fact_unreliable_fraction,ASM,0.3333,0.2134,0.2447,0.2921,0.2734,0.2613,0.3412,0.2705,0.2922,0.2178,0.1034
info_fact_unreliable_fraction,ATA,0.3571,0.2772,0.2564,0.2757,0.2370,0.2021,0.3023,0.2921,0.3017,0.3368,0.2889
info_fact_unreliable_fraction,ATG,0.3813,0.3046,0.2899,0.2668,0.2727,0.1544,0.2302,0.2753,0.2418,0.2386,0.0714
info_fact_unreliable_fraction,AUS,0.2046,0.1884,0.1847,0.1767,0.1622,0.1242,0.1407,0.1429,0.1921,0.1913,0.1119
info_fact_unreliable_fraction,AUT,0.2695,0.1900,0.2161,0.2055,0.2161,0.1778,0.2220,0.2374,0.2325,0.2156,0.1985
info_fact_unreliable_fraction,AZE,0.3802,0.2288,0.3635,0.3883,0.3529,0.2505,0.3789,0.3914,0.3979,0.3826,0.2771
info_fact_unreliable_fraction,BDI,0.2080,0.1887,0.1888,0.2440,0.1916,0.1575,0.1377,0.2660,0.3000,0.2647,0.3333
info_fact_unreliable_fraction,BEL,0.2303,0.1969,0.2057,0.1922,0.1653,0.1487,0.1726,0.2004,0.1936,0.1925,0.2769
info_fact_unreliable_fraction,BEN,0.2170,0.2156,0.2320,0.2262,0.1829,0.1790,0.2247,0.2657,0.2658,0.2778,0.2000
info_fact_unreliable_fraction,BFA,0.3090,0.3341,0.3140,0.2902,0.3097,0.2640,0.3161,0.3365,0.3210,0.3133,0.3607
info_fact_unreliable_fraction,BGD,0.2959,0.2224,0.2231,0.2019,0.1931,0.1778,0.2163,0.2315,0.2006,0.1852,0.1218
info_fact_unreliable_fraction,BGR,0.3250,0.2473,0.2717,0.2997,0.2584,0.2063,0.2653,0.2827,0.2757,0.2673,0.2184
info_fact_unreliable_fraction,BHR,0.2136,0.2408,0.2248,0.1949,0.1526,0.2777,0.2261,0.3537,0.3054,0.2174,0.2667
info_fact_unreliable_fraction,BHS,0.3405,0.3069,0.2509,0.2825,0.3286,0.2656,0.3664,0.3595,0.3832,0.3911,0.4138
info_fact_unreliable_fraction,BIH,0.2808,0.2408,0.2481,0.2631,0.2365,0.2061,0.3054,0.3282,0.3204,0.2799,0.2857
info_fact_unreliable_fraction,BLM,0.1000,0.1299,0.2439,0.2316,0.1381,0.1253,0.2396,0.1751,0.3565,0.2346,0.2222
info_fact_unreliable_fraction,BLR,0.2683,0.2121,0.2323,0.2209,0.2146,0.1751,0.1738,0.2366,0.2391,0.2545,0.1667
info_fact_unreliable_fraction,BLZ,0.3383,0.2454,0.2877,0.2270,0.2668,0.2415,0.1642,0.1351,0.1372,0.1333,0.2000
info_fact_unreliable_fraction,BMU,0.3218,0.2121,0.3133,0.3600,0.2500,0.2700,0.3068,0.3333,0.3410,0.3134,0.6364
info_fact_unreliable_fraction,BOL,0.4611,0.3492,0.3123,0.2989,0.2748,0.3144,0.3568,0.3665,0.2903,0.2809,0.2074
info_fact_unreliable_fraction,BRA,0.3662,0.3905,0.3507,0.3225,0.2889,0.4038,0.3723,0.4834,0.5102,0.3182,0.3293
info_fact_unreliable_fraction,BRB,0.3522,0.1694,0.2517,0.2997,0.2749,0.1674,0.2973,0.2929,0.2675,0.2429,0.1667
info_fact_unreliable_fraction,BRN,0.2067,0.2131,0.2165,0.1863,0.1333,0.2510,0.0903,0.4743,0.3830,0.0549,0.0000
info_fact_unreliable_fraction,BWA,0.2902,0.2086,0.2310,0.2545,0.2038,0.2044,0.2539,0.2886,0.2132,0.2993,0.3000
info_fact_unreliable_fraction,CAF,0.2669,0.2026,0.2707,0.2068,0.1825,0.1975,0.2063,0.2432,0.2457,0.1987,0.1724
info_fact_unreliable_fraction,CAN,0.2221,0.1945,0.2064,0.2060,0.1929,0.1560,0.2224,0.2139,0.1858,0.2228,0.1607
info_fact_unreliable_fraction,CHE,0.2173,0.2040,0.2217,0.2080,0.1914,0.1568,0.1880,0.2121,0.2243,0.2044,0.1659
info_fact_unreliable_fraction,CHL,0.4619,0.3333,0.3073,0.2543,0.2468,0.2267,0.2820,0.2897,0.2116,0.2115,0.1156
info_fact_unreliable_fraction,CHN,0.2279,0.2051,0.2357,0.2478,0.2315,0.2051,0.2722,0.3010,0.3418,0.2723,0.2480
info_fact_unreliable_fraction,CIV,0.2524,0.2352,0.2718,0.2872,0.2169,0.2069,0.2745,0.3246,0.2873,0.3080,0.2791
