variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
epi_dead_perM,ABW,,,0.0000,18.7330,28.0990,28.0990,28.0990,93.6630,243.5230,280.9880
epi_dead_perM,AFG,0.0000,0.0000,0.1030,1.5410,6.3960,18.8290,32.6500,36.0150,37.4530,37.5560
epi_dead_perM,AGO,,,0.0610,0.0610,0.1220,0.3350,1.4600,3.2560,5.4460,5.8720
epi_dead_perM,AIA,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
epi_dead_perM,ALB,,,4.1700,10.7720,11.4670,20.1540,53.5130,97.2970,133.4350,137.6050
epi_dead_perM,ALD,,,,,,,,,,
epi_dead_perM,AND,,,103.5400,543.5840,660.0660,673.0080,673.0080,685.9510,685.9510,685.9510
epi_dead_perM,ARE,0.0000,0.0000,0.5060,9.9090,26.4900,31.7480,35.4890,38.6230,42.0610,43.0720
epi_dead_perM,ARG,,,0.5310,4.7350,11.6830,28.3210,73.2590,185.8800,365.4990,465.0430
epi_dead_perM,ARM,0.0000,0.0000,1.0120,10.7990,44.2080,149.4990,249.0520,295.9600,323.2950,329.7070
epi_dead_perM,ASM,,,,,,,,,,
epi_dead_perM,ATA,,,,,,,,,,
epi_dead_perM,ATC,,,,,,,,,,
epi_dead_perM,ATF,,,,,,,,,,
epi_dead_perM,ATG,,,0.0000,30.6350,30.6350,30.6350,30.6350,30.6350,30.6350,30.6350
epi_dead_perM,AUS,0.0000,0.0000,0.7450,3.5290,4.0000,4.0780,7.4120,23.9610,34.5880,35.0590
epi_dead_perM,AUT,0.0000,0.0000,11.9910,64.3990,74.1690,78.0560,79.7210,81.3870,88.3820,90.2690
epi_dead_perM,AZE,0.0000,0.0000,0.3950,2.2680,6.0160,20.3170,43.4950,52.3710,58.1900,58.7820
epi_dead_perM,BDI,,,,0.0840,0.0840,0.0840,0.0840,0.0840,0.0840,0.0840
epi_dead_perM,BEL,0.0000,0.0000,100.7800,670.6870,806.6700,830.6570,837.4740,853.5230,864.2220,869.3130
epi_dead_perM,BEN,,,0.0000,0.1650,0.2470,1.5670,2.8870,3.2990,3.2990,3.3820
epi_dead_perM,BFA,,,0.5740,2.0570,2.5350,2.5350,2.5350,2.6310,2.7750,2.8230
epi_dead_perM,BGD,,,0.0300,0.9900,3.7040,10.8260,18.7200,25.7940,31.6900,32.4730
epi_dead_perM,BGR,,,1.1510,9.2110,20.1480,32.0940,53.8250,88.2210,117.1490,121.4660
epi_dead_perM,BHR,0.0000,0.0000,2.3510,4.7020,9.9910,49.3660,85.8020,111.0730,144.5710,152.7990
epi_dead_perM,BHS,,,0.0000,27.9720,27.9720,27.9720,35.6010,109.3460,231.4060,244.1210
epi_dead_perM,BIH,,,2.4380,19.5070,46.3300,55.7790,99.9750,180.4430,254.8150,265.4830
epi_dead_perM,BJN,,,,,,,,,,
epi_dead_perM,BLM,,,,,,,,,,
epi_dead_perM,BLR,0.0000,0.0000,0.0000,8.8900,24.2350,40.9550,58.5230,71.5400,87.6250,90.6940
epi_dead_perM,BLZ,,,0.0000,5.0300,5.0300,5.0300,5.0300,32.6940,65.3890,75.4490
epi_dead_perM,BMU,,,0.0000,96.3500,144.5250,144.5250,144.5250,144.5250,144.5250,144.5250
epi_dead_perM,BOL,,,0.5140,5.0540,26.5570,91.7500,247.9220,425.4250,679.4290,693.9930
epi_dead_perM,BRA,0.0000,0.0000,0.7480,25.7150,135.6510,274.3420,429.3530,568.4430,672.3810,688.5230
epi_dead_perM,BRB,,,0.0000,24.3590,24.3590,24.3590,24.3590,24.3590,24.3590,24.3590
