variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
epi_confirmed_new,LKA,0.1000,0.0000,5.4091,17.6333,31.3226,14.0667,24.9032,6.3871,13.0952
epi_confirmed_new,LSO,,,,,0.1176,0.8333,18.6129,14.9032,17.0476
epi_confirmed_new,LTU,0.0000,0.0345,21.9545,29.7000,9.5161,4.8667,7.9355,26.1935,41.4286
epi_confirmed_new,LUX,0.0000,0.0000,82.8333,59.3667,7.9677,8.0000,76.1290,0.2903,56.1429
epi_confirmed_new,LVA,,,15.0400,15.7667,6.9677,1.7333,3.5806,5.3226,6.2857
epi_confirmed_new,MAC,,,,,,,,,
epi_confirmed_new,MAF,,,,,,,,,
epi_confirmed_new,MAR,,,25.2727,125.5000,111.5806,150.3333,353.8387,1230.3226,1921.1429
epi_confirmed_new,MCO,0.0000,0.0345,1.8421,1.0000,0.0323,0.1000,0.4516,1.5161,2.9524
epi_confirmed_new,MDA,,,13.5455,115.7667,139.5806,275.3000,244.8387,411.3871,471.2381
epi_confirmed_new,MDG,,,4.0000,2.8000,20.3226,46.0000,277.7419,132.0968,57.6190
epi_confirmed_new,MDV,,,0.7727,8.6667,45.0000,22.1333,44.6129,127.3548,97.9524
epi_confirmed_new,MEX,0.0000,0.0690,47.4783,556.8333,2248.8065,4438.1667,6307.1613,5795.5484,4848.6667
epi_confirmed_new,MHL,,,,,,,,,
epi_confirmed_new,MKD,0.0000,0.0345,12.9091,38.5667,23.2903,135.3333,141.9032,106.5806,133.7143
epi_confirmed_new,MLI,,,3.0000,15.4667,24.7742,30.7667,11.2581,8.0968,11.4286
epi_confirmed_new,MLT,,,6.2400,10.2000,5.0000,1.7333,1.8710,36.6774,36.6667
epi_confirmed_new,MMR,,,1.5556,4.5333,2.3871,2.5000,1.7419,14.0000,238.9524
epi_confirmed_new,MNE,,,6.5000,7.7000,0.0645,5.9000,82.9677,55.3871,182.0000
epi_confirmed_new,MNG,,,0.7500,0.8667,4.5484,1.3667,2.2903,0.3226,0.5238
epi_confirmed_new,MNP,,,2.0000,0.4000,0.2581,0.2667,0.3871,0.4516,0.6190
epi_confirmed_new,MOZ,,,0.8889,2.2667,5.4194,21.3000,29.8387,64.9355,140.4762
epi_confirmed_new,MRT,,,0.2941,0.0667,15.3548,122.2000,68.4194,24.2581,16.4762
epi_confirmed_new,MSR,,,0.4545,0.2069,0.0000,0.0000,0.0645,0.0000,0.0000
epi_confirmed_new,MUS,,,10.6667,6.8000,0.0968,0.2000,0.0968,0.0645,1.0000
epi_confirmed_new,MWI,,,,1.2857,7.8387,31.5000,88.9355,50.1613,9.2857
epi_confirmed_new,MYS,0.8000,0.5862,86.7000,110.6333,58.6129,29.1667,10.5484,11.9355,42.1429
epi_confirmed_new,NAM,,,0.6471,0.1667,0.2258,5.7667,59.8710,171.3871,143.4286
epi_confirmed_new,NCL,,,1.4545,0.0667,0.0323,0.0667,0.0323,0.0323,0.1429
epi_confirmed_new,NER,,,1.8182,23.1000,7.8387,3.9667,1.9032,1.3548,0.5714
epi_confirmed_new,NFK,,,,,,,,,
epi_confirmed_new,NGA,0.0000,0.0345,6.5000,53.2333,262.1613,509.2667,566.3226,360.5161,160.8095
epi_confirmed_new,NIC,,,0.3077,0.3333,24.0323,47.0333,48.4516,26.5161,22.2381
epi_confirmed_new,NIU,,,,,,,,,
epi_confirmed_new,NLD,0.0000,0.0690,378.9677,901.7333,240.4839,132.2000,120.6452,519.6129,1124.4286
epi_confirmed_new,NOR,0.0000,0.2069,136.1290,114.7000,24.0000,14.8000,10.2258,44.2258,100.0952
epi_confirmed_new,NPL,0.1000,0.0000,0.2222,1.7333,43.3548,394.9000,203.1935,613.3548,1217.1905
epi_confirmed_new,NRU,,,,,,,,,
epi_confirmed_new,NZL,0.0000,0.0345,29.3636,16.0667,0.8065,0.8000,1.0323,5.7097,3.6667
epi_confirmed_new,OMN,0.0000,0.2069,6.9200,69.8333,262.8710,954.5667,1293.5161,205.9677,377.6667
epi_confirmed_new,PAK,0.0000,0.0690,62.4231,471.1333,1733.4516,4661.3667,2224.7742,565.9355,497.8571
epi_confirmed_new,PAN,,,48.8636,176.7667,214.1935,658.9000,1013.0968,899.1613,673.2381
epi_confirmed_new,PCN,,,,,,,,,
epi_confirmed_new,PER,,,39.5833,1099.3667,3927.0968,4223.1333,4036.3548,7731.4194,5796.6190
epi_confirmed_new,PGA,,,,,,,,,
epi_confirmed_new,PHL,0.1000,0.0690,77.0741,204.2667,290.7097,640.4667,1707.6129,4129.7419,3302.2381
epi_confirmed_new,PLW,,,,,,,,,
epi_confirmed_new,PNG,,,0.0909,0.2333,0.0000,0.1000,1.9677,12.4839,2.7619
epi_confirmed_new,POL,,,79.0385,352.8333,352.6129,352.7667,350.8710,704.4839,589.0476
epi_confirmed_new,PRI,,,43.5000,41.9667,73.7097,117.7333,300.7097,525.0323,428.0952
epi_confirmed_new,PRK,,,,,,,,,
epi_confirmed_new,PRT,,,220.9655,609.4667,242.2903,323.6333,288.9032,222.5806,514.7143
epi_confirmed_new,PRY,,,3.2500,6.1333,23.0645,40.9000,97.2903,386.7097,777.3810
epi_confirmed_new,PSX,,,4.7917,13.5172,3.8387,60.5667,399.8387,458.8710,780.1429
epi_confirmed_new,PYF,,,2.7692,0.7333,0.0645,0.0667,0.0000,11.5484,42.7619
epi_confirmed_new,QAT,0.0000,0.0000,25.6667,395.7000,1377.3548,1328.1333,495.2903,261.7742,228.6190
epi_confirmed_new,ROU,0.0000,0.1034,67.2069,334.2000,230.8065,248.3000,742.2258,1199.8065,1237.9048
epi_confirmed_new,RUS,0.0000,0.0690,59.1613,3252.1000,9586.3226,8152.7000,6236.8710,5026.6774,5384.4286
epi_confirmed_new,RWA,,,4.1176,5.1667,4.3226,21.4000,32.0323,65.3548,32.9048
epi_confirmed_new,SAH,,,,1.2000,0.5484,6.1667,18.0000,0.0000,0.0000
epi_confirmed_new,SAU,,,55.8846,664.9667,1999.4194,3435.0667,2831.7097,1309.7419,711.0952
epi_confirmed_new,SCR,,,,,,,,,
epi_confirmed_new,SDN,,,0.3333,12.3000,142.7419,148.6000,72.1935,54.6129,17.4286
epi_confirmed_new,SDS,,,,1.3600,30.9677,33.7333,10.1935,6.3548,5.8571
epi_confirmed_new,SEN,,,7.3636,24.0000,85.5806,105.4333,109.9355,111.2903,55.1429
epi_confirmed_new,SER,,,,,,,,,
epi_confirmed_new,SGP,1.3000,2.9310,24.0645,493.2333,604.0323,309.8333,262.8387,160.0645,38.3333
epi_confirmed_new,SGS,,,,,,,,,
epi_confirmed_new,SHN,,,,,,,,,
epi_confirmed_new,SLB,,,,,,,,,
epi_confirmed_new,SLE,,,,3.8667,23.7419,19.9333,11.8710,6.5806,6.9524
epi_confirmed_new,SLV,,,2.4615,11.5000,69.0323,121.8667,324.4194,306.4194,86.8571
epi_confirmed_new,SMR,0.0000,0.0345,7.6000,11.1333,3.4839,0.9000,0.0323,0.3548,0.6190
epi_confirmed_new,SOL,,,,,,,,,
epi_confirmed_new,SOM,,,0.2000,19.3000,43.0323,32.9333,9.9355,3.1613,6.2857
epi_confirmed_new,SPM,,,,,,,,,
epi_confirmed_new,SRB,,,35.6818,264.6333,85.7097,96.9000,352.4194,198.4516,73.4762
epi_confirmed_new,STP,,,,0.6364,15.0000,7.8000,5.0645,0.8387,0.5714
epi_confirmed_new,SUR,,,0.6667,0.0667,0.1290,16.2333,37.0645,76.0968,34.0000
epi_confirmed_new,SVK,,,14.0000,35.1667,4.1935,4.8000,19.3548,51.9677,133.3810
epi_confirmed_new,SVN,,,29.3462,21.8333,1.7742,3.7333,17.8710,23.4194,74.0476
epi_confirmed_new,SWE,0.0000,0.3793,140.2903,553.6000,562.0000,955.6667,310.3548,243.6774,190.5714
epi_confirmed_new,SWZ,,,0.5294,2.7333,6.1935,17.0667,57.4839,64.0000,33.7143
epi_confirmed_new,SXM,,,0.5000,2.4333,0.0323,0.0000,1.6452,10.8065,5.7619
epi_confirmed_new,SYC,,,0.5882,0.0333,0.0000,0.0000,3.3226,0.7097,0.2381
epi_confirmed_new,SYR,,,1.1111,1.1000,2.5484,4.9000,15.1290,63.3871,52.2381
epi_confirmed_new,TCA,,,0.7143,0.2333,0.0000,0.9667,2.0323,13.0000,7.6667
epi_confirmed_new,TCD,,,0.5833,1.5000,22.8065,3.5667,2.2258,2.4839,6.6190
epi_confirmed_new,TGO,,,1.8889,2.5000,10.4516,7.0000,9.1613,15.1290,12.8571
epi_confirmed_new,THA,1.2000,0.9655,67.0417,43.4333,4.0968,3.0000,4.4839,3.2903,4.4762
epi_confirmed_new,TJK,,,,,122.8065,69.7667,47.2903,38.1935,37.9048
epi_confirmed_new,TKM,,,,,,,,,
epi_confirmed_new,TLS,,,0.1000,0.7667,0.0000,0.0000,0.0000,0.0968,0.0000
epi_confirmed_new,TON,,,,,,,,,
epi_confirmed_new,TTO,,,4.4737,1.0333,0.0323,0.3000,1.2258,49.0000,105.6190
epi_confirmed_new,TUN,,,13.5652,22.2667,3.0968,3.2000,11.0323,70.0323,335.5714
epi_confirmed_new,TUR,,,601.5000,3558.7333,1468.1935,1183.6667,1008.9677,1246.9355,1634.3333
epi_confirmed_new,TUV,,,,,,,,,
epi_confirmed_new,TWN,0.8000,1.0345,8.6129,4.1000,0.4194,0.1667,0.6452,0.6774,1.0000
epi_confirmed_new,TZA,,,1.2667,15.3667,0.9355,0.0000,0.0000,0.0000,0.0000
epi_confirmed_new,UGA,,,3.3000,1.6000,10.7097,15.2333,8.9355,57.4516,159.9524
epi_confirmed_new,UKR,,,26.6667,312.8667,430.2581,680.8000,811.8065,1621.9355,2695.4286
epi_confirmed_new,UMI,,,,,,,,,
epi_confirmed_new,URY,,,19.0588,10.2000,6.1613,3.7000,10.0323,11.0323,15.8095
