variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
epi_deaths_perM,AFG,,,0.1030,1.5410,6.3960,18.8290,32.6500,36.0150,37.4530,39.4570,45.5710,48.9620
epi_deaths_perM,AGO,,,0.0610,0.0610,0.1220,0.3350,1.4600,3.2560,5.4460,8.3670,10.5880,10.8010
epi_deaths_perM,ALB,,,4.1700,10.7720,11.4670,20.1540,53.5130,97.2970,133.4350,174.4390,281.4650,325.2480
epi_deaths_perM,AND,,,103.5400,543.5840,660.0660,673.0080,673.0080,685.9510,685.9510,970.6850,983.6280,1009.5130
epi_deaths_perM,ARE,,,0.5060,9.9090,26.4900,31.7480,35.4890,38.6230,42.0610,49.5430,57.8340,60.2600
epi_deaths_perM,ARG,,,0.5310,4.7350,11.6830,28.3210,73.2590,185.8800,365.4990,681.3030,856.9380,885.2380
epi_deaths_perM,ARM,,,1.0120,10.7990,44.2080,149.4990,249.0520,295.9600,323.2950,452.5460,730.2830,800.4770
epi_deaths_perM,ASM,,,,,,,,,,,,
epi_deaths_perM,ATG,,,,30.6350,30.6350,30.6350,30.6350,30.6350,30.6350,30.6350,40.8460,40.8460
epi_deaths_perM,AUS,,,0.7450,3.5290,4.0000,4.0780,7.4120,23.9610,34.5880,35.5690,35.6080,35.6080
epi_deaths_perM,AUT,,,11.9910,64.3990,74.1690,78.0560,79.7210,81.3870,88.3820,119.8040,353.5260,444.3510
epi_deaths_perM,AZE,,,0.3950,2.2680,6.0160,20.3170,43.4950,52.3710,58.1900,70.8140,137.2890,168.9490
epi_deaths_perM,BDI,,,,0.0840,0.0840,0.0840,0.0840,0.0840,0.0840,0.0840,0.0840,0.0840
epi_deaths_perM,BEL,,,100.7800,670.6870,806.6700,830.6570,837.4740,853.4360,864.1360,942.3090,1436.1990,1510.5760
epi_deaths_perM,BEN,,,,0.1650,0.2470,1.5670,2.8870,3.2990,3.2990,3.3820,3.5470,3.6290
epi_deaths_perM,BFA,,,0.5740,2.0570,2.5350,2.5350,2.5350,2.6310,2.7750,3.2050,3.2530,3.3010
epi_deaths_perM,BGD,,,0.0300,0.9900,3.7040,10.8260,18.7200,25.7940,31.6900,35.8550,40.3430,41.9330
epi_deaths_perM,BGR,,,1.1510,9.2110,20.1480,32.0940,53.8250,88.2210,117.1490,180.4720,580.7050,742.0370
epi_deaths_perM,BHR,,,2.3510,4.7020,9.9910,49.3660,85.8020,111.0730,144.5710,187.4720,200.4020,201.5770
epi_deaths_perM,BHS,,,,27.9720,27.9720,27.9720,35.6010,109.3460,231.4060,361.0950,414.4970,414.4970
epi_deaths_perM,BIH,,,2.4380,19.5070,46.3300,55.7790,99.9750,180.4430,254.8150,369.4200,817.1750,939.0960
epi_deaths_perM,BLM,,,,,,,,,,,,
epi_deaths_perM,BLR,,,,8.8900,24.2350,40.9550,58.5230,71.5400,87.6250,103.3940,122.5480,129.3210
epi_deaths_perM,BLZ,,,,5.0300,5.0300,5.0300,5.0300,32.6940,65.3890,145.8680,372.2140,450.1770
epi_deaths_perM,BMU,,,,96.3500,144.5250,144.5250,144.5250,144.5250,144.5250,144.5250,144.5250,
epi_deaths_perM,BOL,,,0.5140,5.0540,26.5570,91.7500,247.9220,425.4250,679.4290,746.5930,767.3240,771.1790
