variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
eco_close_pct,ABW,,,,,,,,
eco_close_pct,AFG,,,,,,,,
eco_close_pct,AGO,,,,,,,,
eco_close_pct,AIA,,,,,,,,
eco_close_pct,ALB,,,,,,,,
eco_close_pct,ALD,,,,,,,,
eco_close_pct,AND,,,,,,,,
eco_close_pct,ARE,,,,,,,,
eco_close_pct,ARG,-0.004,-0.007,-0.016,0.016,0.008,0.002,0.012,-0.001
eco_close_pct,ARM,,,,,,,,
eco_close_pct,ASM,,,,,,,,
eco_close_pct,ATA,,,,,,,,
eco_close_pct,ATC,,,,,,,,
eco_close_pct,ATF,,,,,,,,
eco_close_pct,ATG,,,,,,,,
eco_close_pct,AUS,0.002,-0.004,-0.008,0.003,0.001,0.001,-0.000,0.003
eco_close_pct,AUT,-0.003,-0.005,-0.014,0.006,0.000,0.000,-0.003,0.006
eco_close_pct,AZE,,,,,,,,
eco_close_pct,BDI,,,,,,,,
eco_close_pct,BEL,-0.002,-0.001,-0.011,-0.003,0.002,0.003,-0.001,0.003
eco_close_pct,BEN,,,,,,,,
eco_close_pct,BFA,,,,,,,,
eco_close_pct,BGD,,,,,,,,
eco_close_pct,BGR,,,,,,,,
eco_close_pct,BHR,,,,,,,,
eco_close_pct,BHS,,,,,,,,
eco_close_pct,BIH,,,,,,,,
eco_close_pct,BJN,,,,,,,,
eco_close_pct,BLM,,,,,,,,
eco_close_pct,BLR,,,,,,,,
eco_close_pct,BLZ,,,,,,,,
eco_close_pct,BMU,,,,,,,,
eco_close_pct,BOL,,,,,,,,
eco_close_pct,BRA,-0.004,-0.001,-0.013,0.005,0.004,0.004,0.003,-0.001
eco_close_pct,BRB,,,,,,,,
eco_close_pct,BRN,,,,,,,,
eco_close_pct,BTN,,,,,,,,
eco_close_pct,BWA,,,,,,,,
eco_close_pct,CAF,,,,,,,,
eco_close_pct,CAN,0.000,-0.001,-0.003,0.001,-0.001,-0.001,0.000,0.001
eco_close_pct,CHE,,,,,,,,
eco_close_pct,CHL,,,,,,,,
eco_close_pct,CHN,-0.007,0.005,-0.000,0.002,-0.001,0.002,0.003,0.001
eco_close_pct,CIV,,,,,,,,
eco_close_pct,CLP,,,,,,,,
eco_close_pct,CMR,,,,,,,,
eco_close_pct,CNM,,,,,,,,
eco_close_pct,COD,,,,,,,,
eco_close_pct,COG,,,,,,,,
eco_close_pct,COK,,,,,,,,
eco_close_pct,COL,,,,,,,,
eco_close_pct,COM,,,,,,,,
eco_close_pct,CPV,,,,,,,,
eco_close_pct,CRI,,,,,,,,
eco_close_pct,CSI,,,,,,,,
eco_close_pct,CUB,,,,,,,,
eco_close_pct,CUW,,,,,,,,
eco_close_pct,CYM,,,,,,,,
eco_close_pct,CYN,,,,,,,,
eco_close_pct,CYP,,,,,,,,
eco_close_pct,CZE,,,,,,,,
eco_close_pct,DEU,-0.004,-0.001,-0.006,-0.002,0.003,0.002,-0.002,0.002
eco_close_pct,DJI,,,,,,,,
eco_close_pct,DMA,,,,,,,,
eco_close_pct,DNK,,,,,,,,
eco_close_pct,DOM,,,,,,,,
eco_close_pct,DZA,,,,,,,,
eco_close_pct,ECU,,,,,,,,
eco_close_pct,EGY,,,,,,,,
eco_close_pct,ERI,,,,,,,,
eco_close_pct,ESB,,,,,,,,
eco_close_pct,ESP,-0.003,-0.000,-0.013,-0.005,-0.000,0.001,-0.003,0.003
eco_close_pct,EST,,,,,,,,
eco_close_pct,ETH,,,,,,,,
eco_close_pct,FIN,-0.001,-0.002,-0.007,-0.000,0.003,0.001,0.002,0.004
eco_close_pct,FJI,,,,,,,,
eco_close_pct,FLK,,,,,,,,
eco_close_pct,FRA,-0.003,-0.001,-0.009,-0.003,0.001,0.002,-0.002,0.002
eco_close_pct,FRO,,,,,,,,
eco_close_pct,FSM,,,,,,,,
eco_close_pct,GAB,,,,,,,,
eco_close_pct,GBR,-0.005,-0.005,-0.006,0.002,0.002,0.001,-0.002,0.003
eco_close_pct,GEO,,,,,,,,
eco_close_pct,GGY,,,,,,,,
eco_close_pct,GHA,,,,,,,,
eco_close_pct,GIB,,,,,,,,
eco_close_pct,GIN,,,,,,,,
eco_close_pct,GMB,,,,,,,,
eco_close_pct,GNB,,,,,,,,
eco_close_pct,GNQ,,,,,,,,
eco_close_pct,GRC,,,,,,,,
eco_close_pct,GRD,,,,,,,,
eco_close_pct,GRL,,,,,,,,
eco_close_pct,GTM,,,,,,,,
eco_close_pct,GUM,,,,,,,,
eco_close_pct,GUY,,,,,,,,
eco_close_pct,HKG,-0.006,0.001,0.001,0.001,-0.002,0.000,-0.004,0.000
eco_close_pct,HMD,,,,,,,,
eco_close_pct,HND,,,,,,,,
eco_close_pct,HRV,,,,,,,,
eco_close_pct,HTI,,,,,,,,
eco_close_pct,HUN,,,,,,,,
eco_close_pct,IDN,-0.006,-0.003,-0.004,0.004,0.001,0.001,0.003,0.004
eco_close_pct,IMN,,,,,,,,
eco_close_pct,IND,-0.004,-0.002,-0.002,-0.000,-0.004,0.001,-0.000,-0.002
eco_close_pct,IOA,,,,,,,,
eco_close_pct,IOT,,,,,,,,
eco_close_pct,IRL,-0.002,-0.004,-0.009,0.004,0.002,0.001,0.001,0.004
eco_close_pct,IRN,,,,,,,,
eco_close_pct,IRQ,,,,,,,,
eco_close_pct,ISL,,,,,,,,
eco_close_pct,ISR,,,,,,,,
eco_close_pct,ITA,-0.003,0.001,-0.013,-0.003,0.001,0.003,-0.002,0.003
eco_close_pct,JAM,,,,,,,,
eco_close_pct,JEY,,,,,,,,
eco_close_pct,JOR,,,,,,,,
eco_close_pct,JPN,-0.000,-0.002,-0.003,0.003,0.001,0.000,-0.002,0.004
eco_close_pct,KAB,,,,,,,,
eco_close_pct,KAS,,,,,,,,
eco_close_pct,KAZ,,,,,,,,
eco_close_pct,KEN,,,,,,,,
eco_close_pct,KGZ,,,,,,,,
eco_close_pct,KHM,,,,,,,,
eco_close_pct,KIR,,,,,,,,
eco_close_pct,KNA,,,,,,,,
eco_close_pct,KOR,-0.006,0.000,-0.004,0.003,0.001,0.000,-0.001,0.004
eco_close_pct,KOS,,,,,,,,
eco_close_pct,KWT,,,,,,,,
eco_close_pct,LAO,,,,,,,,
eco_close_pct,LBN,,,,,,,,
eco_close_pct,LBR,,,,,,,,
eco_close_pct,LBY,,,,,,,,
eco_close_pct,LCA,,,,,,,,
eco_close_pct,LIE,,,,,,,,
eco_close_pct,LKA,,,,,,,,
eco_close_pct,LSO,,,,,,,,
eco_close_pct,LTU,,,,,,,,
eco_close_pct,LUX,,,,,,,,
eco_close_pct,LVA,,,,,,,,
eco_close_pct,MAC,,,,,,,,
eco_close_pct,MAF,,,,,,,,
eco_close_pct,MAR,,,,,,,,
eco_close_pct,MCO,,,,,,,,
eco_close_pct,MDA,,,,,,,,
eco_close_pct,MDG,,,,,,,,
eco_close_pct,MDV,,,,,,,,
eco_close_pct,MEX,-0.003,-0.003,-0.006,-0.000,-0.001,0.001,-0.002,0.003
eco_close_pct,MHL,,,,,,,,
eco_close_pct,MKD,,,,,,,,
eco_close_pct,MLI,,,,,,,,
eco_close_pct,MLT,,,,,,,,
