variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
epi_cases_new_perM,AFG,0.0000,0.0009,0.1712,1.5481,10.4212,14.3110,4.3952,1.3424,0.9350,1.7991,2.6715
epi_cases_new_perM,AGO,,,0.0212,0.0202,0.0560,0.1947,0.7872,1.5175,2.3134,5.2648,8.1540
epi_cases_new_perM,ALB,,,3.3690,6.2895,3.9904,15.5674,30.6126,46.8885,47.9302,79.7652,98.6865
epi_cases_new_perM,AND,,,266.0395,160.9181,8.7673,39.2587,27.9724,84.3348,363.2520,1126.8299,1035.3975
epi_cases_new_perM,ARE,0.0404,0.0592,2.3862,38.1448,71.6465,48.3633,39.9867,29.9541,78.8643,125.3023,121.2790
epi_cases_new_perM,ARG,,,0.8548,2.4382,8.5143,33.9663,83.3135,158.6239,247.3462,300.1780,180.9235
epi_cases_new_perM,ARM,0.0000,0.0000,8.1605,17.2559,78.5541,182.9083,141.6064,56.6077,69.1924,434.4860,613.3500
epi_cases_new_perM,ASM,,,,,,,,,,,
epi_cases_new_perM,ATA,,,,,,,,,,,
epi_cases_new_perM,ATG,,,5.9567,5.7866,0.3294,13.9559,8.2352,0.9883,2.3828,8.5646,5.1060
epi_cases_new_perM,AUS,0.0274,0.0242,5.7331,2.8615,0.5553,0.7608,10.7984,11.8495,1.8208,0.6566,0.2550
epi_cases_new_perM,AUT,0.0000,0.0268,34.4236,21.2664,4.5631,3.8047,11.9734,22.2386,64.3579,203.5686,536.6740
epi_cases_new_perM,AZE,0.0000,0.0034,1.1178,4.9085,11.0717,38.5370,46.4248,15.1091,12.5257,44.7164,111.9420
epi_cases_new_perM,BDI,,,,0.0420,0.0732,0.3588,0.5887,0.1573,0.1709,0.2061,0.2940
epi_cases_new_perM,BEL,0.0000,0.0030,42.5715,99.6381,24.9834,8.5393,21.4485,43.9938,106.2906,633.6844,
epi_cases_new_perM,BEN,,,0.0329,0.1732,0.4337,2.6257,1.5513,0.9979,0.5361,0.8063,0.0000
epi_cases_new_perM,BFA,,,0.5590,0.6683,0.3272,0.1691,0.2439,0.3874,1.0588,0.6867,0.5500
epi_cases_new_perM,BGD,,,0.0175,1.4277,7.3462,19.6720,18.2334,14.8731,10.3672,8.6813,8.7680
epi_cases_new_perM,BGR,,,2.3485,5.2195,4.9489,11.1199,30.5894,22.1447,20.9015,141.5679,217.8905
epi_cases_new_perM,BHR,0.0000,0.7701,9.3443,47.1326,149.2348,302.5810,275.1897,205.1032,369.2249,209.3686,134.2865
epi_cases_new_perM,BHS,,,2.5430,5.5946,1.8047,0.1695,33.1401,136.0875,147.1505,224.8438,89.0025
