variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
info_tweets,GRD,2508,6297,18302,15182,14714,12346,11041,12086,11206,13285,11962,2327
info_tweets,GRL,782,1648,5292,4542,4144,3959,4129,3739,3591,3608,2822,811
info_tweets,GTM,15938,40306,116784,127215,169320,179785,152680,117049,84142,70638,55002,16248
info_tweets,GUM,840,1822,6210,4812,4356,4709,4835,6110,5003,5262,4304,1071
info_tweets,GUY,1310,2177,7449,7050,6269,7575,6832,8936,7385,8060,5202,1936
info_tweets,HKG,117010,300370,170883,178130,174508,93084,96141,83247,69472,66030,59717,17152
info_tweets,HND,9224,23593,68203,71943,79108,103633,93761,73502,47288,39519,32826,9216
info_tweets,HRV,4639,10401,24218,19104,18585,17158,19930,19217,17406,21732,18838,5486
info_tweets,HTI,14640,28499,77546,68374,61778,46486,44277,39406,35500,40761,33335,7896
info_tweets,HUN,8789,16064,34544,23570,23725,20571,21904,20840,19935,22915,22027,6115
info_tweets,IDN,325752,353744,1623933,1351057,1474493,1073605,984075,1015911,1291331,770189,672229,260491
info_tweets,IMN,715,1632,6012,6761,7260,5921,4283,4669,5428,5594,4811,1224
info_tweets,IND,356754,852928,3847970,5706198,5529598,4931865,4681740,4818328,3330971,2260842,1902321,463191
info_tweets,IRL,29739,88626,421727,390011,397027,328204,315888,373071,379839,446647,283875,75266
info_tweets,IRN,13415,37422,76521,52676,46004,39424,41937,39101,35363,42631,36666,9882
info_tweets,IRQ,3755,11070,24281,18328,16191,19208,15782,15701,12153,11625,10272,2788
info_tweets,ISL,2774,4619,17076,11000,10415,11961,12377,10304,8858,11352,11116,2740
info_tweets,ISR,6301,15455,35155,31120,26761,22632,26204,22729,23321,28007,21370,5264
info_tweets,ITA,176735,887588,1321414,926696,883680,674427,642673,780591,635047,933131,839588,193170
info_tweets,JAM,12973,17398,71464,73371,57186,47672,41884,102491,78597,43358,33092,8827
info_tweets,JEY,2209,4920,24236,17073,17738,19573,20930,15695,14140,19707,18948,5041
info_tweets,JOR,3053,5600,19766,17113,16901,13994,11422,10450,11088,13250,13862,3545
info_tweets,JPN,89680,289383,428197,409541,337848,254673,287139,248289,199178,221247,206291,54301
info_tweets,KAZ,7040,11589,27624,20192,19804,18303,20705,17832,16522,18292,15689,4312
info_tweets,KEN,38584,118204,316089,425285,389456,298655,334031,311540,189678,164807,225384,59251
info_tweets,KGZ,868,1452,4285,4338,3628,3664,5279,2937,2393,2420,2759,860
info_tweets,KHM,3382,7158,9359,11372,10495,8364,6969,6177,5841,6369,8329,2333
info_tweets,KOR,21270,54470,76556,39801,36950,29340,32753,34322,36253,30832,24679,9033
info_tweets,KWT,3020,12061,28072,31819,35768,28556,20233,16330,15815,14118,11821,3004
info_tweets,LBN,7565,21176,44218,31191,28433,22625,24274,27228,22190,24715,23063,5332
info_tweets,LBR,4587,10463,24842,19259,16199,15380,16762,13560,13147,15696,17059,3742
info_tweets,LBY,1527,3622,10117,7744,6734,5500,4936,5000,4266,3885,3321,831
info_tweets,LKA,19469,20014,54699,66693,57953,38151,38845,26763,23067,51979,62987,13488
info_tweets,LSO,746,1233,5122,4703,4492,3813,6311,3902,2652,2284,1795,448
info_tweets,LTU,3320,5789,21440,14084,13962,15653,17213,13147,11260,13659,13946,3394
info_tweets,LUX,3126,7383,19584,19596,19117,14631,14045,12574,13032,15790,14025,3716
info_tweets,LVA,4740,10953,31826,26867,25470,20616,24056,21867,22420,36297,31103,9384
info_tweets,MAC,1136,2574,4727,3598,3709,2949,3885,3764,2546,3526,2979,693
info_tweets,MAR,18022,30360,111408,77576,76246,84656,83503,71178,67244,81117,70588,16474
info_tweets,MDA,1564,2936,11286,9588,9571,11321,11902,10086,9142,10668,9896,2710
info_tweets,MDG,2520,5280,11382,10217,12270,9791,10177,8616,7128,6617,6381,1929
info_tweets,MDV,15527,20137,57370,54050,50158,30280,29092,37691,26115,19392,17260,4592
info_tweets,MEX,302531,658391,1683747,1988455,2199488,2117582,1944412,1734250,1169084,1160491,1148024,332044
info_tweets,MKD,1081,2471,7585,6794,6696,7387,5801,5732,4953,5554,6266,1569
info_tweets,MLI,4808,9262,22277,19798,21462,18164,17167,16898,12019,12336,10136,3184
info_tweets,MLT,2922,6861,21924,18425,17711,17576,20684,18851,15361,18078,15442,4316
info_tweets,MMR,4855,8105,16424,14877,15405,14475,12432,11624,14694,13813,10891,3518
info_tweets,MNE,1249,2230,7406,6416,7022,6387,6697,4507,5277,5076,6206,1417
info_tweets,MNG,8685,22256,28177,22673,21392,17676,21979,17659,15846,19141,32374,8347
info_tweets,MOZ,6071,10933,30861,25314,28128,26407,25710,24660,22954,24205,21265,6592
info_tweets,MSR,628,1125,3582,3243,3486,3088,3515,2825,2634,3461,3068,807
info_tweets,MUS,1815,3596,10213,10010,10669,8281,8175,6697,6471,7512,6002,1597
info_tweets,MWI,5889,9804,23266,21762,19543,17125,23297,17073,13769,12346,10162,2886
info_tweets,MYS,451200,298476,1136246,652759,579679,428834,468834,371985,464033,1064795,413014,65558
info_tweets,NAM,3909,13825,28451,30469,27113,28857,27762,34186,20353,13328,10150,3515
info_tweets,NCL,2576,9844,28222,27711,27276,25071,31904,26050,23576,31871,25351,7032
info_tweets,NER,1724,3777,12324,11793,11581,9937,9033,7514,7302,10537,7784,1923
info_tweets,NGA,83151,245206,831477,1215347,954986,592024,472296,348335,319082,865067,295032,58369
info_tweets,NIC,9285,17822,65907,72174,116620,82157,51415,49890,31320,26714,20590,6579
info_tweets,NLD,62104,178297,421528,353099,345590,288152,275685,305794,287482,390711,279200,72993
info_tweets,NOR,21180,41673,128771,92205,92865,90144,94053,82307,73065,89901,83265,21312
info_tweets,NPL,10941,22006,53021,53123,59846,53436,41104,52069,43781,37435,28766,7507
info_tweets,NZL,26118,60507,160863,173643,173055,149517,137949,210786,133154,151021,116369,28091
info_tweets,OMN,3700,7798,16771,18874,18639,16582,13340,11345,10194,8976,6480,1794
info_tweets,PAK,57862,157853,419126,518749,478482,609708,285809,207094,186796,163607,292471,65756
info_tweets,PAN,10226,20616,60116,49363,52259,61612,55982,44916,31545,27110,25267,8552
info_tweets,PER,53785,118407,403691,489954,536969,436744,340894,404658,254705,209811,195730,47083
info_tweets,PHL,364705,236662,775471,516297,497234,444887,497625,463256,326640,260694,233947,60903
info_tweets,PNG,5856,9822,24858,18842,18513,17770,18499,17554,14822,16842,14620,4025
info_tweets,POL,35644,76654,177817,144529,130492,114976,109265,130618,124238,258172,196504,45358
info_tweets,PRI,36814,41752,179156,130159,121015,117460,196213,157497,110099,102315,119526,33313
info_tweets,PRK,2684,4288,9057,6248,7642,6227,5422,5068,4834,4971,4622,1277
info_tweets,PRT,44142,92743,321145,164391,184916,198509,176180,158285,243670,310377,239865,49287
info_tweets,PRY,58737,64802,304107,257643,193627,195322,183494,272672,174751,105752,75801,27812
info_tweets,PSE,3780,9920,25570,23412,20228,15557,16554,16983,17090,16678,13557,3931
info_tweets,QAT,4238,8635,26697,33639,33174,26505,20481,16909,15349,13916,10873,2812
info_tweets,ROU,16382,32346,71571,54833,56848,48959,54380,48880,44577,52555,48490,12265
info_tweets,RUS,92425,168948,429997,330835,337433,312655,317976,281374,260499,304072,265142,71973
info_tweets,RWA,2283,5344,28966,45543,42301,40153,29155,34395,25366,20946,17487,3420
info_tweets,SAU,19016,35740,125778,114533,100693,95347,66905,54318,56059,52842,45616,11644
info_tweets,SDN,2543,3610,14206,10816,11173,10253,7103,5430,5693,5911,5869,1814
info_tweets,SEN,6013,13839,50877,45530,49218,38175,24074,27861,19672,19016,15249,4006
info_tweets,SGP,47987,107106,140588,123732,117318,99212,84521,76056,73653,72143,57391,16602
info_tweets,SLE,1722,3429,7872,7370,8984,6305,7066,6941,5310,8327,5750,1470
info_tweets,SLV,23393,36179,158197,248946,342221,306472,219226,141341,100594,73616,60575,13957
info_tweets,SOM,2678,5197,15802,27147,23060,13397,10065,8912,7293,6668,6041,1581
info_tweets,SRB,5797,13523,38480,37099,28648,33647,44953,21955,20644,23883,31798,10165
info_tweets,SSD,3127,4944,12739,12108,12537,9450,8676,8369,8253,9151,7444,1706
info_tweets,SUR,827,1515,4350,3900,3815,3646,3627,3521,2542,2525,1826,523
info_tweets,SVK,3173,6346,16593,12870,13556,12309,12183,10770,10739,12883,10514,2704
info_tweets,SVN,3424,10915,23127,21864,20213,16948,18193,15802,19211,31953,26349,7644
info_tweets,SWE,38949,88779,218269,180161,182141,167282,148941,136799,127964,145790,147961,38646
info_tweets,SWZ,935,1139,4904,4548,4701,4867,5595,4231,3412,3038,2234,615
info_tweets,SYC,1538,4672,12620,12303,12935,10435,15075,12364,11174,13852,9986,3167
info_tweets,SYR,2905,4871,13440,11995,10734,8614,8833,8750,7618,7115,6278,1682
info_tweets,TCD,3216,7974,16940,12848,14842,12464,12472,12451,10914,12275,11538,3090
info_tweets,TGO,1861,3319,12989,11720,10025,9607,9098,7730,7382,8897,7102,1771
info_tweets,THA,236405,676375,1264949,443883,333153,229024,330181,219134,208317,229574,169446,66547
info_tweets,TLS,730,1991,5395,5602,5337,5250,3805,3321,2605,2009,1871,509
info_tweets,TON,567,1185,3234,2644,2602,2463,3515,6498,3824,3835,3752,1177
info_tweets,TTO,4056,6653,24898,20487,20490,15777,19952,36427,21363,17864,15567,3631
info_tweets,TUN,4984,12427,29336,26117,23399,19093,19664,18620,19149,23763,19340,4647
info_tweets,TUR,83559,145144,444765,565503,477939,447108,285795,528894,540905,358901,582402,154876
info_tweets,TWN,25478,54135,100328,82266,65710,60674,64723,52457,49501,59940,52325,13534
info_tweets,TZA,4062,10677,29524,44347,42948,20079,16101,15805,13638,13941,11924,3344
info_tweets,UGA,8234,26404,101115,167124,191979,125452,91517,98765,77274,54606,64906,18402
info_tweets,UKR,10216,17584,42772,38424,36878,30994,26874,26427,27660,33336,31742,8098
info_tweets,UMI,806,2736,3834,4345,3577,2615,3464,2485,2534,3041,1966,600
info_tweets,URY,16954,44514,157896,120903,110556,104711,98775,85561,74674,84486,113585,45301
info_tweets,USA,2297970,7606968,25482411,23611551,23155277,22428606,27081751,21977737,20131662,27241706,21363800,5889555
info_tweets,UZB,737,1712,5515,5668,5764,5141,5451,4667,4192,4664,3757,938
info_tweets,VEN,220308,491969,1239186,1401370,1170969,1250259,1855902,2055740,1319923,883245,740278,182878
info_tweets,VIR,1459,4710,11898,10097,9361,9562,11715,9646,7981,11037,8221,2217
info_tweets,VNM,11021,43402,46082,37216,35216,27597,31487,32065,26098,26085,22487,7204
info_tweets,XKX,2834,7918,18542,14527,11742,10973,13924,12238,9606,10609,9643,2419
info_tweets,YEM,3569,5104,16391,11683,13598,15348,9639,7168,7316,7316,6420,1905
info_tweets,ZAF,92449,187317,862127,890827,979138,844363,1017416,656012,482205,459396,371447,126745
info_tweets,ZMB,3247,6055,21977,21583,21599,14051,17139,16109,11318,10054,8878,2645
info_tweets,ZWE,6244,14005,54596,68045,65260,63555,75407,63696,37349,33703,28612,8298
