variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
stats_hosp_beds_perK,AFG,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
stats_hosp_beds_perK,AGO,,,,,,,,,,,,
stats_hosp_beds_perK,ALB,,,2.8900,2.8900,2.8900,2.8900,2.8900,2.8900,2.8900,2.8900,2.8900,2.8900
stats_hosp_beds_perK,AND,,,,,,,,,,,,
stats_hosp_beds_perK,ARE,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000,1.2000
stats_hosp_beds_perK,ARG,,,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
stats_hosp_beds_perK,ARM,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000,4.2000
stats_hosp_beds_perK,ASM,,,,,,,,,,,,
stats_hosp_beds_perK,ATG,,,3.8000,3.8000,3.8000,3.8000,3.8000,3.8000,3.8000,3.8000,3.8000,3.8000
stats_hosp_beds_perK,AUS,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400,3.8400
stats_hosp_beds_perK,AUT,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700,7.3700
stats_hosp_beds_perK,AZE,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000,4.7000
stats_hosp_beds_perK,BDI,,,,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
stats_hosp_beds_perK,BEL,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400,5.6400
stats_hosp_beds_perK,BEN,,,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
stats_hosp_beds_perK,BFA,,,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000
stats_hosp_beds_perK,BGD,,,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000
stats_hosp_beds_perK,BGR,,,7.4540,7.4540,7.4540,7.4540,7.4540,7.4540,7.4540,7.4540,7.4540,7.4540
stats_hosp_beds_perK,BHR,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
stats_hosp_beds_perK,BHS,,,2.9000,2.9000,2.9000,2.9000,2.9000,2.9000,2.9000,2.9000,2.9000,2.9000
stats_hosp_beds_perK,BIH,,,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000,3.5000
stats_hosp_beds_perK,BLM,,,,,,,,,,,,
stats_hosp_beds_perK,BLR,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
stats_hosp_beds_perK,BLZ,,,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000
stats_hosp_beds_perK,BMU,,,,,,,,,,,,
stats_hosp_beds_perK,BOL,,,1.1000,1.1000,1.1000,1.1000,1.1000,1.1000,1.1000,1.1000,1.1000,1.1000
stats_hosp_beds_perK,BRA,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000,2.2000
stats_hosp_beds_perK,BRB,,,5.8000,5.8000,5.8000,5.8000,5.8000,5.8000,5.8000,5.8000,5.8000,5.8000
stats_hosp_beds_perK,BRN,,,2.7000,2.7000,2.7000,2.7000,2.7000,2.7000,2.7000,2.7000,2.7000,2.7000
stats_hosp_beds_perK,BWA,,,,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000
stats_hosp_beds_perK,CAF,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
stats_hosp_beds_perK,CAN,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000
stats_hosp_beds_perK,CHE,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300,4.5300
stats_hosp_beds_perK,CHL,,,2.1100,2.1100,2.1100,2.1100,2.1100,2.1100,2.1100,2.1100,2.1100,2.1100
stats_hosp_beds_perK,CHN,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400,4.3400
stats_hosp_beds_perK,CIV,,,,,,,,,,,,
stats_hosp_beds_perK,CMR,,,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000,1.3000
stats_hosp_beds_perK,COD,,,,,,,,,,,,
stats_hosp_beds_perK,COG,,,,,,,,,,,,
stats_hosp_beds_perK,COL,,,1.7100,1.7100,1.7100,1.7100,1.7100,1.7100,1.7100,1.7100,1.7100,1.7100
stats_hosp_beds_perK,CRI,,,1.1300,1.1300,1.1300,1.1300,1.1300,1.1300,1.1300,1.1300,1.1300,1.1300
stats_hosp_beds_perK,CUB,,,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000,5.2000
stats_hosp_beds_perK,CYM,,,,,,,,,,,,
stats_hosp_beds_perK,CYP,,,3.4000,3.4000,3.4000,3.4000,3.4000,3.4000,3.4000,3.4000,3.4000,3.4000
stats_hosp_beds_perK,CZE,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300,6.6300
stats_hosp_beds_perK,DEU,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000
stats_hosp_beds_perK,DJI,,,1.4000,1.4000,1.4000,1.4000,1.4000,1.4000,1.4000,1.4000,1.4000,1.4000
stats_hosp_beds_perK,DNK,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000
stats_hosp_beds_perK,DOM,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000
stats_hosp_beds_perK,DZA,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000,1.9000
stats_hosp_beds_perK,ECU,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000,1.5000
stats_hosp_beds_perK,EGY,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000,1.6000
stats_hosp_beds_perK,ESP,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700,2.9700
stats_hosp_beds_perK,EST,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900,4.6900
stats_hosp_beds_perK,ETH,,,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
stats_hosp_beds_perK,FIN,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800,3.2800
stats_hosp_beds_perK,FJI,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000,2.3000
stats_hosp_beds_perK,FRA,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800,5.9800
stats_hosp_beds_perK,FRO,,,,,,,,,,,,
stats_hosp_beds_perK,GAB,,,6.3000,6.3000,6.3000,6.3000,6.3000,6.3000,6.3000,6.3000,6.3000,6.3000
stats_hosp_beds_perK,GBR,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400,2.5400
stats_hosp_beds_perK,GEO,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000,2.6000
stats_hosp_beds_perK,GHA,,,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000
stats_hosp_beds_perK,GIB,,,,,,,,,,,,
