variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
epi_confirmed,ABW,0,0,188,2589,3125,3032,3412,30959,58799
epi_confirmed,AFG,0,5,892,24801,212674,734634,1073946,1161878,810472
epi_confirmed,AGO,0,0,35,580,1569,4382,18799,56404,67128
epi_confirmed,AIA,0,0,10,88,93,90,93,93,63
epi_confirmed,ALB,0,0,1996,15102,28509,49447,116919,226041,228737
epi_confirmed,ALD,0,0,0,0,0,0,0,0,0
epi_confirmed,AND,0,0,2428,18766,23482,25420,27096,31133,28048
epi_confirmed,ARE,11,264,4621,163133,696610,1260583,1712480,1999481,1621722
epi_confirmed,ARG,0,0,6235,75145,261978,1032962,3493215,8794287,10789330
epi_confirmed,ARM,0,0,3915,36511,151445,520967,1026463,1281310,953844
epi_confirmed,ASM,0,0,0,0,0,0,0,0,0
epi_confirmed,ATA,0,0,0,0,0,0,0,0,0
epi_confirmed,ATC,0,0,0,0,0,0,0,0,0
epi_confirmed,ATF,0,0,0,0,0,0,0,0,0
epi_confirmed,ATG,0,0,46,595,774,1012,2340,2879,1994
epi_confirmed,AUS,30,467,33527,187112,216814,221343,343601,693761,555322
epi_confirmed,AUT,0,16,75948,411674,497279,512642,596795,731180,673951
epi_confirmed,AZE,0,1,1584,33847,97770,314519,780490,1060809,794792
epi_confirmed,BDI,0,0,0,200,943,3181,8561,12860,9746
epi_confirmed,BEL,0,26,123686,1082688,1718943,1816781,1997581,2430025,1964691
epi_confirmed,BEN,0,0,56,1151,6432,16849,45344,62422,46893
epi_confirmed,BFA,0,0,1439,14797,23869,27116,32274,38878,32851
epi_confirmed,BGD,0,0,460,62667,691825,2738326,5957684,8490610,6973893
epi_confirmed,BGR,0,0,3230,24664,65204,103315,248232,438265,369108
epi_confirmed,BHR,0,130,7085,46226,202085,562144,1060481,1433645,1211070
epi_confirmed,BHS,0,0,87,1546,2913,3099,5933,39911,58144
epi_confirmed,BIH,0,0,2282,32081,68054,94214,234974,486067,474686
epi_confirmed,BJN,0,0,0,0,0,0,0,0,0
epi_confirmed,BLM,0,0,0,0,0,0,0,0,0
epi_confirmed,BLR,0,2,1186,136574,860363,1607316,2023635,2155767,1546446
epi_confirmed,BLZ,0,0,15,396,558,624,1194,13311,28643
epi_confirmed,BMU,0,0,133,2081,3854,4303,4672,5030,3697
epi_confirmed,BOL,0,0,659,14307,128856,591521,1657383,3042974,2605111
