variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
info_iri,AFG,0.2616,0.2436,0.2047,0.1983,0.1795,0.1522,0.1057,0.1701,0.2883,0.1644,0.3012,0.2891
info_iri,AGO,0.4830,0.4285,0.3844,0.3795,0.3172,0.4155,0.2898,0.3440,0.3662,0.4024,0.4352,0.3547
info_iri,ALB,0.2551,0.5207,0.3354,0.4790,0.5922,0.3890,0.3628,0.2791,0.4079,0.3861,0.4052,0.5934
info_iri,AND,0.4008,0.2706,0.2037,0.2011,0.2882,0.2598,0.2424,0.3433,0.2390,0.4345,0.2894,0.1923
info_iri,ARE,0.0907,0.0447,0.0648,0.0577,0.0119,0.0050,0.0107,0.0112,0.0092,0.0228,0.3090,0.4203
info_iri,ARG,0.2201,0.2128,0.1908,0.1586,0.1961,0.2390,0.2843,0.2879,0.2898,0.2456,0.3045,0.1185
info_iri,ARM,0.2924,0.1928,0.6152,0.2446,0.2130,0.1708,0.2575,0.2856,0.2652,0.3089,0.0898,0.4866
info_iri,ASM,0.4097,0.2591,0.3199,0.4472,0.2915,0.2557,0.3378,0.2887,0.3764,0.2265,0.3365,0.4067
info_iri,ATG,0.6429,0.6258,0.6489,0.4288,0.5374,0.5394,0.5162,0.6732,0.5717,0.6038,0.5212,0.8552
info_iri,AUS,0.0660,0.0521,0.0662,0.0569,0.0491,0.0338,0.0417,0.0311,0.0405,0.0477,0.0455,0.0654
info_iri,AUT,0.2698,0.1403,0.2268,0.2013,0.2637,0.1718,0.2278,0.2407,0.2330,0.2871,0.3325,0.2192
info_iri,AZE,0.5810,0.3319,0.4587,0.4613,0.4446,0.3627,0.4887,0.5200,0.4999,0.5091,0.5204,0.4021
info_iri,BDI,0.3406,0.2162,0.1732,0.2402,0.2265,0.1393,0.1096,0.3350,0.4019,0.1485,0.1003,0.2592
info_iri,BEL,0.1132,0.1028,0.1007,0.0944,0.0668,0.0635,0.0556,0.0626,0.0560,0.0617,0.1088,0.1035
info_iri,BEN,0.2796,0.3068,0.1884,0.1893,0.1771,0.1042,0.2888,0.2982,0.2264,0.1951,0.2527,0.3649
info_iri,BFA,0.2662,0.5499,0.2860,0.3001,0.4098,0.2188,0.4308,0.5209,0.4657,0.5134,0.3411,0.6151
info_iri,BGD,0.3159,0.2238,0.2689,0.2034,0.1695,0.1259,0.3171,0.1969,0.1465,0.2162,0.2845,0.3078
info_iri,BGR,0.5440,0.3254,0.2772,0.2851,0.2820,0.2244,0.3060,0.2322,0.2027,0.2599,0.2454,0.3150
info_iri,BHR,0.0919,0.2965,0.1200,0.1452,0.2620,0.1435,0.2798,0.2412,0.2272,0.1655,0.1347,0.0651
info_iri,BHS,0.2359,0.1844,0.2340,0.4135,0.3250,0.3629,0.1269,0.4122,0.3437,0.2363,0.3601,0.4305
info_iri,BIH,0.4670,0.4672,0.4068,0.3066,0.3340,0.2304,0.4557,0.3011,0.2624,0.3353,0.5024,0.3570
info_iri,BLM,0.0577,0.0557,0.2645,0.1772,0.2092,0.1328,0.1985,0.1537,0.3011,0.3187,0.3453,0.4479
info_iri,BLR,0.3285,0.2643,0.1624,0.3599,0.1855,0.3429,0.1092,0.1661,0.1722,0.1695,0.1495,0.2661
info_iri,BLZ,0.2013,0.1749,0.1438,0.5179,0.4083,0.1935,0.2421,0.2767,0.3577,0.4060,0.3927,0.2766
info_iri,BMU,0.6531,0.2925,0.4863,0.5980,0.4715,0.6825,0.3274,0.5784,0.5197,0.5477,0.5203,0.1725
info_iri,BOL,0.1991,0.1350,0.2121,0.2998,0.2456,0.2680,0.3616,0.3172,0.2558,0.2715,0.2064,0.2841
