variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
epi_cases_perM,AFG,,0.0260,3.6220,50.0660,373.1210,802.4490,938.6990,980.3140,1008.3660,1064.1350,1194.4510,1225.7390
epi_cases_perM,AGO,,,0.2130,0.8220,2.5560,8.3980,32.8000,79.8390,149.2410,312.4480,460.6240,478.5760
epi_cases_perM,ALB,,,77.4900,266.1760,389.8810,856.9050,1805.8930,3259.4340,4697.3380,7170.0600,13267.7740,15440.9620
epi_cases_perM,AND,,,4788.7140,9616.2560,9888.0480,11065.8120,11932.9580,14547.3370,25444.8970,60376.6260,87296.9650,92240.9890
epi_cases_perM,ARE,0.4040,2.1230,61.7770,1206.1190,3427.1620,4878.0640,6117.6490,7046.2270,9412.1570,13296.5300,17073.1210,18081.8770
epi_cases_perM,ARG,,,21.3740,94.5220,358.4630,1377.4520,3960.1710,8877.5110,16297.8940,25603.4100,31519.1620,32523.3700
epi_cases_perM,ARM,,,179.5340,697.2110,3132.3880,8619.6370,13009.4350,14764.2740,16840.0470,30309.1150,45600.1790,48233.7880
epi_cases_perM,ASM,,,,,,,,,,,,
epi_cases_perM,ATG,,,71.4810,245.0780,255.2900,673.9650,929.2540,959.8890,1031.3700,1296.8710,1439.8330,1490.8910
epi_cases_perM,AUS,0.2750,0.9800,178.7070,264.5500,281.7660,304.5900,639.3360,1006.6710,1061.2990,1081.6520,1094.5930,1097.7700
epi_cases_perM,AUT,,0.7770,1067.9070,1705.8980,1847.3530,1961.4940,2332.6750,3022.0730,4952.8110,11263.4350,31361.6980,34205.6760
epi_cases_perM,AZE,,0.0990,26.9250,174.1760,517.3990,1673.5090,3112.6790,3581.0610,3956.8310,5343.0380,11951.2680,15203.6040
epi_cases_perM,BDI,,,,1.2610,3.5320,14.2970,32.5460,37.4240,42.5540,48.9450,57.8600,60.2150
epi_cases_perM,BEL,,0.0860,1319.8020,4308.9430,5083.4300,5339.6070,6004.5130,7368.3200,10557.0370,29553.0930,49815.7140,51302.1310
epi_cases_perM,BEN,,,0.4950,5.6920,19.1370,97.9110,146.0010,176.9340,193.0180,218.0120,248.6970,253.4810
epi_cases_perM,BFA,,,10.6200,30.6650,40.8070,45.8780,53.4370,65.4440,97.2100,118.4980,138.0640,165.9550
epi_cases_perM,BGD,,,0.2980,43.1300,270.8610,861.0210,1426.2550,1887.3230,2198.3380,2467.4570,2823.0840,2926.3880
epi_cases_perM,BGR,,,51.6660,208.2480,361.6640,695.2630,1643.5330,2330.0180,2957.0640,7345.6720,20911.1540,24201.8180
epi_cases_perM,BHR,,22.3320,302.6590,1716.6370,6342.9170,15420.3470,23951.2270,30309.4240,41386.1680,47876.5950,51103.0020,51889.3290
epi_cases_perM,BHS,,,35.6010,203.4340,259.3780,264.4640,1291.8060,5510.5180,9925.0350,16895.1910,19176.1940,19272.8250
epi_cases_perM,BIH,,,107.5950,514.8110,759.8720,1323.7560,3488.1580,6031.7330,8297.3290,14672.2690,26792.4280,29267.4230
epi_cases_perM,BLM,,,,,,,,,,,,
epi_cases_perM,BLR,,0.1060,11.1120,1394.9150,4408.5710,6539.0940,7160.8320,7586.4710,8282.0770,10318.0960,14461.0390,15937.8650
epi_cases_perM,BLZ,,,7.5450,45.2690,45.2690,60.3590,120.7180,2499.8680,4886.5630,8706.7840,14722.5620,20152.3560
epi_cases_perM,BMU,,,433.5750,1782.4740,2248.1650,2344.5150,2505.0990,2713.8570,2906.5570,3195.6060,3886.1140,
epi_cases_perM,BOL,,,9.1660,95.0910,821.7230,2752.0710,6445.1140,9934.6960,11534.3670,12133.1830,12396.7820,12494.2720
epi_cases_perM,BRA,,0.0050,21.5420,367.7180,2344.9440,6436.7650,12279.4000,18170.5010,22476.1730,25953.4880,29807.5630,31402.9810
epi_cases_perM,BRB,,,118.3140,278.3860,320.1440,337.5430,382.7800,602.0090,661.1660,821.2380,960.4310,1005.6690
epi_cases_perM,BRN,,,290.2970,315.4410,322.2980,322.2980,322.2980,329.1560,333.7270,338.2990,342.8700,347.4420
epi_cases_perM,BWA,,,,9.7800,14.8830,74.4170,341.8910,694.4130,1348.8550,2824.4300,4567.9050,5127.5180
epi_cases_perM,CAF,,,1.2420,10.3520,199.1820,748.0700,953.4630,973.1320,999.0140,1007.5030,1017.2340,1020.1330
epi_cases_perM,CAN,0.0790,0.4240,196.7030,1366.8270,2389.3440,2753.0750,3067.7900,3389.8430,4158.7710,6146.9460,10109.5710,11465.7730
epi_cases_perM,CHE,,1.3870,1780.7830,3388.2490,3554.4030,3647.6480,4036.3420,4842.0390,6095.1270,17762.5400,37791.6160,41430.8290
epi_cases_perM,CHL,,,128.1110,778.6590,4962.1760,14437.9570,18494.0430,21446.4070,24131.3540,26604.1770,28862.5740,29479.3810
epi_cases_perM,CHN,6.7490,55.1340,57.1390,58.3220,58.4500,58.9030,60.7850,62.4560,62.8960,63.4320,64.5460,65.1570
epi_cases_perM,CIV,,,6.3690,46.9330,106.1100,349.3030,605.7260,680.4080,745.6510,784.4330,808.6580,815.5570
epi_cases_perM,CMR,,,5.3490,69.0130,222.4080,474.3490,650.0070,721.0920,784.9810,820.9570,920.8590,932.4240
epi_cases_perM,COD,,,1.0940,5.5830,33.1170,77.4780,100.6010,112.1470,118.6900,126.2260,142.6060,153.5260
epi_cases_perM,COG,,,3.4430,39.8690,106.3770,225.6210,611.8060,721.0830,922.2390,958.6650,1046.3760,1046.3760
epi_cases_perM,COL,,,15.6830,122.0650,554.9210,1867.8780,5621.1440,11947.7900,16194.8760,20894.0790,25879.1540,27211.7040
epi_cases_perM,CRI,,,64.7810,139.9650,205.5310,641.7210,3394.1130,7793.1120,14645.1380,21370.9390,27411.6360,28941.2450
epi_cases_perM,CUB,,,15.0090,129.5180,178.7820,206.5930,229.2830,350.7670,488.3190,600.4440,731.3750,792.9990
epi_cases_perM,CYM,,,182.5930,1110.7730,2145.4660,3027.9980,3088.8620,3119.2940,3210.5900,3651.8560,4093.1220,
epi_cases_perM,CYP,,,262.5870,962.4400,1076.6080,1137.1170,1237.5860,1697.6840,1989.9550,4814.4820,12061.8930,15168.4160
epi_cases_perM,CZE,,,280.3250,707.7240,861.8930,1102.3460,1526.0090,2275.3800,6335.1490,30224.4420,48865.3360,51458.6730
epi_cases_perM,DEU,0.0600,0.6800,738.9600,1899.1590,2166.0710,2318.5710,2490.9070,2892.9290,3451.9620,6191.5560,12769.8930,14671.8920
epi_cases_perM,DJI,,,26.3160,1090.0790,3232.7870,4712.5410,5142.7020,5450.3940,5481.7700,5626.5070,5747.9640,5783.3890
epi_cases_perM,DNK,,0.3450,444.9080,1555.1940,2008.3900,2201.4080,2369.5650,2883.1860,4741.5470,7807.9100,13984.6620,16458.6770
epi_cases_perM,DOM,,,83.0580,613.2060,1558.6420,2932.9170,6260.6560,8687.4850,10315.3570,11645.7520,13273.3480,13793.4480
epi_cases_perM,DZA,,0.0230,13.3180,87.7520,211.3290,309.4800,680.2800,1006.7260,1171.4200,1314.7010,1897.3090,2039.0850
epi_cases_perM,ECU,,,111.4320,1398.5670,2186.1850,3155.0650,4782.0500,6441.5130,7694.1870,9473.8100,10921.2910,11265.1660
epi_cases_perM,EGY,,0.0100,5.9510,51.4780,229.1410,652.3120,916.1830,964.7490,1007.2760,1049.2660,1132.6690,1165.6000
epi_cases_perM,ESP,,1.1550,2230.0820,4602.3740,5120.9520,5331.4550,6170.9620,9899.6930,16451.5360,25359.5020,35251.7300,36409.7080
epi_cases_perM,EST,,0.7540,538.9970,1255.9000,1405.9140,1497.8830,1546.1290,1788.8660,2498.9840,3596.5770,9278.2800,11692.0800
epi_cases_perM,ETH,,,0.2000,1.1310,9.2460,50.8510,144.5240,444.6800,648.7620,833.2120,957.4680,993.9320
epi_cases_perM,FIN,0.1800,0.5410,236.9730,885.4450,1231.9700,1301.0950,1339.7180,1457.7530,1785.3280,2871.4690,4496.1680,5097.1730
epi_cases_perM,FJI,,,5.5780,20.0790,20.0790,20.0790,30.1190,31.2350,35.6970,37.9280,46.8520,49.0830
epi_cases_perM,FRA,0.0920,0.8730,682.5130,1967.7510,2320.9410,2516.4880,2858.3260,4258.1280,8436.6530,20406.1950,34853.5870,36204.5170
epi_cases_perM,FRO,,,3438.0440,3826.8700,3826.8700,3826.8700,4502.2000,8410.9280,9475.0840,10109.4850,10232.2730,
epi_cases_perM,GAB,,,3.1450,124.0040,1192.8680,2423.4770,3303.1890,3821.2220,3932.1970,4029.2430,4139.7690,4168.5240
epi_cases_perM,GBR,,0.4420,437.2180,2462.2160,3747.3110,4176.7220,4453.0680,4926.8920,6572.1350,14579.5150,24065.8300,25850.8510
epi_cases_perM,GEO,,0.5010,24.5660,129.6010,189.7640,232.6300,290.7870,372.7590,1470.4790,9760.4140,33987.9800,42527.3400
epi_cases_perM,GHA,,,4.8920,53.7770,249.9920,558.3960,1130.9520,1422.6200,1495.8990,1546.5220,1662.7650,1689.5730
epi_cases_perM,GIB,,,2048.0250,4185.0940,4778.7240,5253.6290,5550.4440,8459.2320,11605.4730,20569.2920,29651.8360,
epi_cases_perM,GIN,,,1.2180,102.8720,282.1940,407.4530,551.4440,713.5570,809.7290,919.2260,998.9500,1009.9910
epi_cases_perM,GNB,,,1.0160,39.1260,638.2120,820.1230,1006.6070,1120.4280,1180.8960,1221.0380,1240.3470,1241.8710
epi_cases_perM,GRC,,0.3840,116.2810,247.1440,279.6680,325.2410,422.2370,972.2680,1738.7410,3568.6270,10099.8210,11325.3730
epi_cases_perM,GRD,,,79.9860,177.7480,204.4100,204.4100,213.2970,213.2970,213.2970,248.8470,364.3830,382.1580
epi_cases_perM,GRL,,,176.1430,193.7570,228.9860,228.9860,246.6000,246.6000,246.6000,299.4430,317.0580,
epi_cases_perM,GTM,,,2.0090,32.6530,264.5190,971.7250,2725.3390,4125.5740,5077.5950,5991.3820,6813.1810,7059.3910
epi_cases_perM,GUM,,,355.4860,859.0910,1024.9850,1522.6650,2109.2170,7980.6620,14474.2070,27733.8360,40181.7720,
epi_cases_perM,GUY,,,10.1710,99.1660,193.2470,298.7700,509.8160,1568.8590,3618.2920,5267.2460,6872.9750,7246.7550
epi_cases_perM,HKG,,,,,,,,,,,,
epi_cases_perM,HND,,,14.2360,77.8430,514.3060,1899.9240,4182.4980,6075.3540,7683.0910,9782.1140,10929.5590,11278.2860
epi_cases_perM,HRV,,1.2180,192.4360,502.2810,547.1020,663.7810,1235.2420,2465.8560,3989.9950,11338.3580,31287.1170,37720.3140
epi_cases_perM,HTI,,,1.3150,6.6650,163.5600,520.3230,650.0310,719.9280,767.1100,794.0340,815.0820,824.2910
epi_cases_perM,HUN,,,50.9300,287.2570,400.2960,429.0730,466.3390,617.0580,2739.1350,7796.9220,22475.5830,26538.0650
epi_cases_perM,IDN,,,5.1700,35.7230,94.2260,201.4160,388.7630,629.0240,1033.6370,1487.7870,1970.1520,2145.4890
epi_cases_perM,IMN,,,493.9320,3680.9670,3951.4540,3951.4540,3951.4540,3951.4540,3998.4950,4151.3780,4339.5430,
epi_cases_perM,IND,0.0010,0.0020,0.9070,23.9490,131.9870,410.7520,1187.5830,2624.0820,4511.4080,5896.4440,6857.0860,7054.9410
epi_cases_perM,IRL,,,589.3320,4101.6280,5048.6090,5156.5520,5270.9750,5824.4610,7238.0470,12365.6380,14691.5750,15124.5620
epi_cases_perM,IRN,,4.6190,494.0300,1115.0580,1773.3630,2681.2370,3589.9440,4447.6350,5400.8940,7202.4140,11454.1750,12648.6440
epi_cases_perM,IRQ,,0.1740,15.6630,49.7980,153.6200,1172.2540,3014.8050,5747.4540,8907.7000,11700.7390,13737.3100,14124.8790
epi_cases_perM,ISL,,2.9300,3182.4180,5265.9340,5292.3080,5339.1940,5485.7140,6168.4980,7897.4360,14057.1430,15800.7330,16134.7990
epi_cases_perM,ISR,,0.8090,516.7790,1829.3480,1965.4460,2823.7400,8131.0920,13173.0650,27372.7550,36242.7950,38916.8050,40238.3860
epi_cases_perM,ITA,0.0500,14.6870,1682.6980,3367.2650,3848.1140,3976.6580,4087.8350,4436.1540,5177.0020,10712.1140,26488.6800,29066.1740
epi_cases_perM,JAM,,,12.8330,133.7310,196.2070,235.7180,291.7770,795.9720,2155.2360,3041.0370,3634.7230,3806.2770
epi_cases_perM,JEY,,,623.3120,2829.6380,3047.3020,3156.1350,3314.4360,3700.2960,4046.5800,5679.0640,9181.4830,
epi_cases_perM,JOR,,,26.2660,44.2020,71.9390,110.5540,116.7290,192.6860,984.8930,6792.6150,21506.1250,24221.0730
epi_cases_perM,JPN,0.1110,1.8190,15.4420,111.3880,133.2340,147.0080,267.0380,536.5820,656.3280,793.7600,1177.7840,1317.1780
epi_cases_perM,KAZ,,,17.3090,170.6900,578.2700,1162.0250,4744.0690,6959.3140,7493.7000,7972.5910,7048.5200,9678.0020
epi_cases_perM,KEN,,,0.9300,7.1410,35.1120,115.1170,370.3280,633.3680,713.7260,1000.4780,1555.0670,1657.0180
epi_cases_perM,KGZ,,,12.8750,114.3440,267.9260,811.7480,5488.0370,6728.4970,7153.2240,9024.5670,11216.4100,11601.4380
