variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
info_risk_index,BHR,0.158,0.195,0.182,0.192,0.195,0.183,0.225,0.159
info_risk_index,BHS,0.313,0.318,0.309,0.333,0.382,0.362,0.342,0.434
info_risk_index,BIH,0.457,0.403,0.382,0.321,0.309,0.223,0.373,0.238
info_risk_index,BJN,,,,,,,,
info_risk_index,BLM,0.231,0.135,0.266,0.205,0.207,0.200,0.199,0.261
info_risk_index,BLR,0.310,0.263,0.235,0.356,0.246,0.220,0.153,0.133
info_risk_index,BLZ,0.197,0.229,0.225,0.271,0.319,0.240,0.251,0.274
info_risk_index,BMU,0.537,0.295,0.448,0.569,0.371,0.473,0.417,0.442
info_risk_index,BOL,0.219,0.137,0.220,0.287,0.250,0.243,0.338,0.352
info_risk_index,BRA,0.286,0.127,0.109,0.219,0.283,0.298,0.303,0.289
info_risk_index,BRB,0.551,0.379,0.394,0.567,0.591,0.361,0.682,0.654
info_risk_index,BRN,0.308,0.229,0.261,0.263,0.176,0.193,0.213,0.211
info_risk_index,BTN,0.310,0.211,0.169,0.145,0.163,0.173,0.191,0.227
info_risk_index,BWA,0.463,0.420,0.420,0.483,0.381,0.282,0.405,0.495
info_risk_index,CAF,0.321,0.196,0.246,0.207,0.208,0.223,0.248,0.241
info_risk_index,CAN,0.070,0.080,0.113,0.108,0.088,0.070,0.114,0.135
info_risk_index,CHE,0.149,0.120,0.216,0.198,0.218,0.121,0.150,0.188
info_risk_index,CHL,0.154,0.051,0.111,0.124,0.078,0.054,0.128,0.038
info_risk_index,CHN,0.078,0.131,0.210,0.248,0.214,0.258,0.258,0.383
info_risk_index,CIV,0.249,0.282,0.398,0.457,0.369,0.274,0.319,0.408
info_risk_index,CLP,,,,,,,,
info_risk_index,CMR,0.166,0.256,0.310,0.289,0.225,0.191,0.180,0.141
info_risk_index,CNM,0.148,0.150,0.092,0.208,0.289,0.201,0.216,0.132
info_risk_index,COD,0.347,0.176,0.187,0.159,0.156,0.138,0.233,0.296
info_risk_index,COG,0.210,0.094,0.236,0.240,0.223,0.262,0.180,0.315
info_risk_index,COK,0.107,0.003,0.289,0.373,0.323,0.203,0.060,0.000
info_risk_index,COL,0.370,0.348,0.376,0.355,0.261,0.307,0.356,0.479
info_risk_index,COM,0.143,0.214,0.127,0.381,0.201,0.143,0.500,0.080
info_risk_index,CPV,0.157,0.254,0.251,0.169,0.162,0.246,0.405,0.129
info_risk_index,CRI,0.513,0.461,0.483,0.487,0.512,0.432,0.417,0.439
info_risk_index,CSI,,,,,,,,
info_risk_index,CUB,0.338,0.322,0.447,0.481,0.465,0.355,0.542,0.521
info_risk_index,CUW,0.297,0.478,0.358,0.294,0.285,0.253,0.422,0.596
info_risk_index,CYM,0.326,0.357,0.495,0.390,0.418,0.373,0.368,0.215
info_risk_index,CYN,0.315,0.178,0.184,0.200,0.154,0.147,0.155,0.186
info_risk_index,CYP,0.413,0.474,0.486,0.545,0.534,0.561,0.594,0.602
info_risk_index,CZE,0.273,0.205,0.234,0.219,0.236,0.171,0.195,0.127
info_risk_index,DEU,0.226,0.311,0.311,0.201,0.169,0.116,0.148,0.247
info_risk_index,DJI,0.270,0.105,0.188,0.177,0.381,0.276,0.260,0.228
info_risk_index,DMA,0.384,0.062,0.458,0.257,0.498,0.598,0.396,0.304
info_risk_index,DNK,0.102,0.119,0.202,0.178,0.186,0.203,0.206,0.230
info_risk_index,DOM,0.432,0.406,0.362,0.299,0.335,0.376,0.387,0.441
info_risk_index,DZA,0.419,0.141,0.221,0.131,0.162,0.061,0.240,0.205
info_risk_index,ECU,0.551,0.523,0.456,0.347,0.410,0.442,0.465,0.462
info_risk_index,EGY,0.167,0.068,0.098,0.067,0.077,0.083,0.089,0.135
info_risk_index,ERI,0.224,0.324,0.561,0.458,0.371,0.282,0.248,0.094
info_risk_index,ESB,0.333,0.400,0.150,0.248,0.377,0.253,0.308,0.424
info_risk_index,ESP,0.048,0.043,0.068,0.072,0.062,0.063,0.053,0.073
info_risk_index,EST,0.391,0.225,0.217,0.225,0.099,0.107,0.082,0.016
info_risk_index,ETH,0.189,0.163,0.201,0.207,0.181,0.207,0.171,0.280
info_risk_index,FIN,0.275,0.281,0.206,0.199,0.156,0.169,0.238,0.212
info_risk_index,FJI,0.322,0.373,0.343,0.428,0.362,0.281,0.366,0.330
info_risk_index,FLK,0.900,0.000,0.309,0.189,0.249,0.304,0.303,0.221
info_risk_index,FRA,0.014,0.015,0.020,0.013,0.011,0.010,0.016,0.017
info_risk_index,FRO,0.381,0.238,0.243,0.245,0.239,0.204,0.186,0.296
info_risk_index,FSM,0.158,0.178,0.268,0.223,0.388,0.213,0.381,0.201
info_risk_index,GAB,0.445,0.449,0.484,0.494,0.521,0.402,0.503,0.514
info_risk_index,GBR,0.156,0.130,0.133,0.115,0.123,0.124,0.112,0.122
info_risk_index,GEO,0.404,0.166,0.205,0.139,0.138,0.067,0.177,0.237
info_risk_index,GGY,0.362,0.080,0.173,0.176,0.128,0.133,0.068,0.027
info_risk_index,GHA,0.304,0.214,0.215,0.238,0.197,0.195,0.300,0.382
info_risk_index,GIB,0.439,0.352,0.381,0.308,0.330,0.237,0.219,0.275
info_risk_index,GIN,0.207,0.384,0.585,0.568,0.375,0.327,0.395,0.421
info_risk_index,GMB,0.093,0.192,0.078,0.064,0.086,0.210,0.038,0.060
info_risk_index,GNB,0.409,0.159,0.150,0.211,0.237,0.138,0.204,0.157
info_risk_index,GNQ,0.065,0.141,0.267,0.204,0.164,0.108,0.285,0.086
info_risk_index,GRC,0.286,0.200,0.186,0.160,0.228,0.181,0.176,0.194
info_risk_index,GRD,0.252,0.183,0.267,0.338,0.244,0.311,0.328,0.292
