variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
info_dyn_iri,AFG,0.2641,0.1910,0.2345,0.2354,0.2135,0.1647,0.2478,0.2818,0.3018,0.2178,0.2970
info_dyn_iri,AGO,0.3870,0.3267,0.3383,0.3198,0.3150,0.3251,0.3236,0.4087,0.3538,0.2875,0.3808
info_dyn_iri,ALB,0.3225,0.2467,0.3238,0.2915,0.2766,0.2385,0.3247,0.3769,0.3711,0.3064,0.2693
info_dyn_iri,AND,0.3571,0.2115,0.2757,0.2816,0.2941,0.2053,0.3643,0.2722,0.2121,0.3103,0.1667
info_dyn_iri,ARE,0.2719,0.1670,0.2479,0.2515,0.2252,0.1738,0.2486,0.2546,0.2515,0.2663,0.2331
info_dyn_iri,ARG,0.4207,0.2187,0.2158,0.1891,0.2129,0.1831,0.2570,0.1675,0.1918,0.1432,0.2528
info_dyn_iri,ARM,0.3289,0.1989,0.2199,0.2703,0.2822,0.1891,0.2418,0.3102,0.2834,0.4111,0.2195
info_dyn_iri,ASM,0.3855,0.1965,0.2458,0.2818,0.2611,0.2286,0.3531,0.2683,0.2673,0.2068,0.2652
info_dyn_iri,ATG,0.4322,0.3387,0.3299,0.3190,0.3063,0.1692,0.2500,0.3187,0.2637,0.2462,0.1707
info_dyn_iri,AUS,0.2135,0.1965,0.1966,0.1925,0.1790,0.1287,0.1499,0.1520,0.2212,0.2158,0.1904
info_dyn_iri,AUT,0.2704,0.1958,0.2224,0.2204,0.2283,0.1936,0.2391,0.2560,0.2565,0.2314,0.2144
info_dyn_iri,AZE,0.3754,0.2126,0.3650,0.4020,0.3647,0.2679,0.3899,0.3902,0.4087,0.4090,0.3491
info_dyn_iri,BDI,0.2283,0.2119,0.1435,0.2102,0.1575,0.1961,0.1287,0.2759,0.2609,0.3067,0.3103
info_dyn_iri,BEL,0.2374,0.2068,0.2159,0.1883,0.1726,0.1416,0.1602,0.1777,0.1751,0.1876,0.2382
info_dyn_iri,BEN,0.2025,0.2166,0.2459,0.2357,0.1882,0.1852,0.2391,0.2745,0.2718,0.3005,0.3175
info_dyn_iri,BFA,0.3014,0.3343,0.3211,0.3017,0.3118,0.2734,0.3238,0.3476,0.3337,0.3275,0.2909
info_dyn_iri,BGD,0.2983,0.2580,0.2556,0.2336,0.2080,0.1882,0.2322,0.2523,0.2443,0.2243,0.2467
info_dyn_iri,BGR,0.2289,0.1936,0.2477,0.3039,0.2301,0.1936,0.2446,0.2640,0.2823,0.2777,0.2714
info_dyn_iri,BHR,0.2236,0.2491,0.2350,0.2004,0.1739,0.2949,0.2356,0.4141,0.3211,0.1987,0.3333
info_dyn_iri,BHS,0.3090,0.2617,0.2411,0.2932,0.3094,0.2153,0.3472,0.3683,0.3631,0.3745,0.3294
info_dyn_iri,BIH,0.2870,0.2555,0.2685,0.2708,0.2866,0.2210,0.2818,0.2871,0.3257,0.2719,0.2918
info_dyn_iri,BLM,0.0857,0.1290,0.2593,0.2769,0.1515,0.1146,0.2346,0.2150,0.3826,0.2228,0.4109
info_dyn_iri,BLR,0.2927,0.2042,0.2185,0.2209,0.2185,0.1970,0.1917,0.2919,0.2684,0.2178,0.2463
info_dyn_iri,BLZ,0.3103,0.2453,0.3154,0.2710,0.2758,0.2624,0.1605,0.1193,0.1135,0.1244,0.1355
