variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
epi_deaths_new_perM,AFG,0.0000,0.0000,0.0050,0.0480,0.1566,0.4144,0.4458,0.1085,0.0479,0.0646,0.1775
epi_deaths_new_perM,AGO,,,0.0061,0.0000,0.0019,0.0070,0.0362,0.0578,0.0729,0.0942,0.0820
epi_deaths_new_perM,ALB,,,0.1812,0.2199,0.0224,0.2894,1.0760,1.4122,1.2044,1.3225,2.9761
epi_deaths_new_perM,AND,,,5.7522,14.6679,3.7574,0.4314,0.0000,0.4175,0.0000,9.1849,0.5627
epi_deaths_new_perM,ARE,0.0000,0.0000,0.0202,0.3134,0.5348,0.1751,0.1205,0.1010,0.1145,0.2411,0.2724
epi_deaths_new_perM,ARG,,,0.0212,0.1401,0.2242,0.5547,1.4497,3.6330,5.9872,10.1873,5.9740
epi_deaths_new_perM,ARM,0.0000,0.0000,0.0460,0.3260,1.0775,3.5097,3.2115,1.5130,0.9110,4.1694,9.3171
epi_deaths_new_perM,ASM,,,,,,,,,,,
epi_deaths_new_perM,ATG,,,0.0000,1.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4440
epi_deaths_new_perM,AUS,0.0000,0.0000,0.0240,0.0927,0.0151,0.0026,0.1075,0.5339,0.3543,0.0315,0.0000
epi_deaths_new_perM,AUT,0.0000,0.0000,0.3868,1.7470,0.3151,0.1295,0.0537,0.0537,0.2331,1.0135,5.4069
epi_deaths_new_perM,AZE,0.0000,0.0000,0.0165,0.0626,0.1210,0.4767,0.7476,0.2864,0.1940,0.4073,1.7710
epi_deaths_new_perM,BDI,,,,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
epi_deaths_new_perM,BEL,0.0000,0.0000,3.2509,18.9969,4.3866,0.7995,0.2199,0.5149,0.3567,2.7784,
epi_deaths_new_perM,BEN,,,0.0000,0.0055,0.0026,0.0439,0.0425,0.0133,0.0000,0.0026,0.0072
epi_deaths_new_perM,BFA,,,0.0303,0.0496,0.0155,0.0000,0.0000,0.0031,0.0048,0.0139,0.0021
epi_deaths_new_perM,BGD,,,0.0018,0.0320,0.0876,0.2375,0.2547,0.2281,0.1966,0.1344,0.1275
epi_deaths_new_perM,BGR,,,0.0524,0.2688,0.3530,0.3983,0.7011,1.1095,0.9643,2.0427,10.1743
epi_deaths_new_perM,BHR,0.0000,0.0000,0.0784,0.0784,0.1706,1.3124,1.1753,0.8152,1.1166,1.3839,0.4855
epi_deaths_new_perM,BHS,,,0.0000,0.9324,0.0000,0.0000,0.2461,2.3789,4.0688,4.1836,2.3218
epi_deaths_new_perM,BIH,,,0.1284,0.5691,0.8653,0.3150,1.4257,2.5957,2.4791,3.6969,14.1004
epi_deaths_new_perM,BLM,,,,,,,,,,,
epi_deaths_new_perM,BLR,0.0000,0.0000,0.0000,0.2961,0.4948,0.5573,0.5666,0.4197,0.5361,0.5085,0.5474
epi_deaths_new_perM,BLZ,,,0.0000,0.1677,0.0000,0.0000,0.0000,0.8924,1.0898,2.5961,6.3422
epi_deaths_new_perM,BMU,,,0.0000,3.2116,1.5540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
epi_deaths_new_perM,BOL,,,0.0271,0.1515,0.6937,2.1730,5.0378,5.7258,8.4668,2.1666,0.7040
epi_deaths_new_perM,BRA,0.0000,0.0000,0.0242,0.8322,3.5464,4.6230,5.0004,4.4868,3.4646,2.5125,1.6884
epi_deaths_new_perM,BRB,,,0.0000,0.8120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
epi_deaths_new_perM,BRN,,,0.1089,0.0000,0.0737,0.0762,0.0000,0.0000,0.0000,0.0000,0.0000
epi_deaths_new_perM,BWA,,,,0.0142,0.0000,0.0000,0.0137,0.0549,0.1417,0.1097,0.1294
epi_deaths_new_perM,CAF,,,0.0000,0.0000,0.0067,0.3174,0.0801,0.0134,0.0069,0.0000,0.0090
epi_deaths_new_perM,CAN,0.0000,0.0000,0.0760,2.5673,3.4846,1.3186,0.3101,0.1605,0.1535,0.6999,1.5494
epi_deaths_new_perM,CHE,0.0000,0.0000,1.0996,4.2829,0.9281,0.0963,0.0821,0.0784,0.2197,0.9468,7.6963
epi_deaths_new_perM,CHL,,,0.0154,0.3626,1.3179,7.9827,6.4158,3.1506,2.5825,2.4181,2.0719
epi_deaths_new_perM,CHN,0.0142,0.0629,0.0105,0.0307,0.0000,0.0001,0.0004,0.0014,0.0005,0.0000,0.0003
epi_deaths_new_perM,CIV,,,0.0021,0.0165,0.0233,0.0418,0.0417,0.0184,0.0063,0.0049,0.0116
epi_deaths_new_perM,CMR,,,0.0040,0.0742,0.1580,0.1532,0.0899,0.0292,0.0088,0.0097,0.0147
epi_deaths_new_perM,COD,,,0.0046,0.0085,0.0136,0.0363,0.0168,0.0154,0.0051,0.0125,0.0101
epi_deaths_new_perM,COG,,,0.0000,0.0543,0.0584,0.1268,0.0935,0.1286,0.0664,0.0175,0.0473
epi_deaths_new_perM,COL,,,0.0132,0.1730,0.3880,1.5284,4.1760,6.0569,4.2345,3.3645,3.5477
epi_deaths_new_perM,CRI,,,0.0163,0.0262,0.0253,0.0327,0.7915,1.7603,3.0231,3.1092,2.0228
epi_deaths_new_perM,CUB,,,0.0207,0.1591,0.0712,0.0088,0.0028,0.0199,0.0825,0.0171,0.0153
epi_deaths_new_perM,CYM,,,1.2680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6616
epi_deaths_new_perM,CYP,,,0.3996,0.3045,0.0737,0.0761,0.0000,0.0737,0.0381,0.1105,0.9928
epi_deaths_new_perM,CZE,0.0000,0.0000,0.0723,0.6319,0.2772,0.0902,0.0933,0.1325,0.6630,7.3559,16.7190
epi_deaths_new_perM,DEU,0.0000,0.0000,0.2245,2.2697,0.8515,0.1882,0.0648,0.0605,0.0756,0.3711,1.8993
epi_deaths_new_perM,DJI,,,0.0000,0.0675,0.6530,1.0457,0.1632,0.0653,0.0337,0.0000,0.0000
epi_deaths_new_perM,DNK,0.0000,0.0000,0.4288,2.1062,0.7130,0.1957,0.0558,0.0502,0.1497,0.3843,0.4880
epi_deaths_new_perM,DOM,0.0000,0.0000,0.1760,0.7713,0.6095,0.7220,1.2280,1.5909,1.2906,0.4015,0.2966
epi_deaths_new_perM,DZA,0.0000,0.0000,0.0308,0.3109,0.1486,0.1968,0.2170,0.2213,0.1710,0.1691,0.3162
epi_deaths_new_perM,ECU,0.0000,0.0000,0.1352,1.5511,4.4814,2.2067,2.1118,1.6419,8.9875,2.4135,1.4022
epi_deaths_new_perM,EGY,0.0000,0.0000,0.0146,0.1108,0.1679,0.6382,0.5997,0.1971,0.1677,0.1083,0.1231
epi_deaths_new_perM,ESP,0.0000,0.0000,5.0642,12.2647,1.7828,0.8754,0.0622,0.4477,1.9228,2.8198,6.7447
epi_deaths_new_perM,EST,0.0000,0.0000,0.0870,1.1812,0.3162,0.0000,0.0000,0.0243,0.0000,0.2189,0.4917
epi_deaths_new_perM,ETH,,,0.0000,0.0009,0.0015,0.0275,0.0449,0.1487,0.1154,0.0766,0.0691
epi_deaths_new_perM,FIN,0.0000,0.0000,0.0869,1.1610,0.6403,0.0721,0.0058,0.0349,0.0481,0.0873,0.1333
epi_deaths_new_perM,FJI,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0720,0.0000,0.0000,0.0000
epi_deaths_new_perM,FRA,0.0000,0.0010,1.4935,10.7563,2.3149,0.5321,0.2179,0.1739,0.6573,2.3088,8.1042
epi_deaths_new_perM,FRO,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
epi_deaths_new_perM,GAB,,,0.0249,0.0299,0.2029,0.3744,0.1015,0.0580,0.0150,0.0145,0.0781
epi_deaths_new_perM,GBR,0.0000,0.0000,0.9741,11.7839,5.3868,1.4514,0.3935,0.1568,0.2813,1.9753,5.4580
epi_deaths_new_perM,GEO,0.0000,0.0000,0.0000,0.0502,0.0485,0.0251,0.0162,0.0162,0.1170,2.2156,7.6838
