variable,iso,2020-11-23
epi_deaths_perM,AFG,43.5420
epi_deaths_perM,AGO,10.2540
epi_deaths_perM,ALB,242.8940
epi_deaths_perM,AND,983.6280
epi_deaths_perM,ARE,55.8120
epi_deaths_perM,ARG,818.7050
epi_deaths_perM,ARM,666.8390
epi_deaths_perM,ASM,
epi_deaths_perM,ATG,40.8460
epi_deaths_perM,AUS,35.5690
epi_deaths_perM,AUT,244.1600
epi_deaths_perM,AZE,111.5480
epi_deaths_perM,BDI,0.0840
epi_deaths_perM,BEL,
epi_deaths_perM,BEN,3.5470
epi_deaths_perM,BFA,3.2530
epi_deaths_perM,BGD,38.7880
epi_deaths_perM,BGR,414.4810
epi_deaths_perM,BHR,198.6390
epi_deaths_perM,BHS,414.4970
epi_deaths_perM,BIH,693.7300
epi_deaths_perM,BLM,
epi_deaths_perM,BLR,115.9870
epi_deaths_perM,BLZ,291.7350
epi_deaths_perM,BMU,144.5250
epi_deaths_perM,BOL,762.7840
epi_deaths_perM,BRA,795.9330
epi_deaths_perM,BRB,24.3590
epi_deaths_perM,BRN,6.8570
epi_deaths_perM,BWA,13.1820
epi_deaths_perM,CAF,13.0440
epi_deaths_perM,CAN,303.5070
epi_deaths_perM,CHE,412.1500
epi_deaths_perM,CHL,788.2840
epi_deaths_perM,CHN,3.2930
epi_deaths_perM,CIV,4.9660
epi_deaths_perM,CMR,16.3870
epi_deaths_perM,COD,3.6510
epi_deaths_perM,COG,16.6720
epi_deaths_perM,COL,693.4940
epi_deaths_perM,CRI,315.6580
epi_deaths_perM,CUB,11.6540
epi_deaths_perM,CYM,30.4320
epi_deaths_perM,CYP,50.2340
epi_deaths_perM,CZE,671.9590
epi_deaths_perM,DEU,168.4330
epi_deaths_perM,DJI,61.7410
epi_deaths_perM,DNK,135.3540
epi_deaths_perM,DOM,212.9440
epi_deaths_perM,DZA,51.8800
epi_deaths_perM,ECU,748.2260
epi_deaths_perM,EGY,63.9860
epi_deaths_perM,ESP,922.4940
epi_deaths_perM,EST,66.3380
epi_deaths_perM,ETH,14.3260
epi_deaths_perM,FIN,67.6810
epi_deaths_perM,FJI,2.2310
epi_deaths_perM,FRA,746.5820
epi_deaths_perM,FRO,
epi_deaths_perM,GAB,26.5080
epi_deaths_perM,GBR,806.5140
epi_deaths_perM,GEO,253.6870
epi_deaths_perM,GHA,10.3950
epi_deaths_perM,GIB,118.7260
epi_deaths_perM,GIN,5.7110
epi_deaths_perM,GNB,21.8500
epi_deaths_perM,GRC,156.3840
epi_deaths_perM,GRD,
epi_deaths_perM,GRL,
epi_deaths_perM,GTM,227.5120
epi_deaths_perM,GUM,628.0250
epi_deaths_perM,GUY,181.8050
epi_deaths_perM,HKG,
epi_deaths_perM,HND,288.4520
epi_deaths_perM,HRV,329.5770
epi_deaths_perM,HTI,20.3460
epi_deaths_perM,HUN,402.7800
epi_deaths_perM,IDN,58.0720
epi_deaths_perM,IMN,294.0070
epi_deaths_perM,IND,96.9110
epi_deaths_perM,IRL,409.4940
epi_deaths_perM,IRN,533.4020
epi_deaths_perM,IRQ,297.2960
epi_deaths_perM,ISL,76.1900
epi_deaths_perM,ISR,324.1850
epi_deaths_perM,ITA,824.0410
epi_deaths_perM,JAM,80.3740
epi_deaths_perM,JEY,316.6030
epi_deaths_perM,JOR,219.1480
epi_deaths_perM,JPN,15.6550
epi_deaths_perM,KAZ,126.3270
epi_deaths_perM,KEN,25.6640
epi_deaths_perM,KGZ,189.6020
epi_deaths_perM,KHM,
epi_deaths_perM,KOR,9.9280
epi_deaths_perM,KWT,202.7840
epi_deaths_perM,LBN,131.8600
epi_deaths_perM,LBR,16.2130
epi_deaths_perM,LBY,158.4860
epi_deaths_perM,LKA,4.0630
epi_deaths_perM,LSO,20.5390
epi_deaths_perM,LTU,141.7920
epi_deaths_perM,LUX,418.5460
epi_deaths_perM,LVA,81.1150
epi_deaths_perM,MAC,
epi_deaths_perM,MAR,142.3980
epi_deaths_perM,MDA,532.7270
epi_deaths_perM,MDG,9.0640
epi_deaths_perM,MDV,85.1000
epi_deaths_perM,MEX,788.5970
epi_deaths_perM,MKD,725.2640
epi_deaths_perM,MLI,7.0610
epi_deaths_perM,MLT,235.5400
epi_deaths_perM,MMR,31.9610
epi_deaths_perM,MNE,698.9760
epi_deaths_perM,MNG,
epi_deaths_perM,MOZ,3.9670
epi_deaths_perM,MSR,200.0400
epi_deaths_perM,MUS,7.8630
epi_deaths_perM,MWI,9.6710
epi_deaths_perM,MYS,10.3500
epi_deaths_perM,NAM,57.0660
epi_deaths_perM,NCL,
epi_deaths_perM,NER,2.8920
epi_deaths_perM,NGA,5.6610
epi_deaths_perM,NIC,24.0020
epi_deaths_perM,NLD,518.1830
epi_deaths_perM,NOR,56.4450
epi_deaths_perM,NPL,45.3380
epi_deaths_perM,NZL,5.1840
epi_deaths_perM,OMN,270.2370
epi_deaths_perM,PAK,34.8410
epi_deaths_perM,PAN,685.3210
epi_deaths_perM,PER,1079.5570
epi_deaths_perM,PHL,74.1280
epi_deaths_perM,PNG,0.7820
epi_deaths_perM,POL,359.8210
epi_deaths_perM,PRI,355.4900
epi_deaths_perM,PRK,
epi_deaths_perM,PRT,382.1820
epi_deaths_perM,PRY,232.3160
epi_deaths_perM,PSE,139.9610
epi_deaths_perM,QAT,81.9140
epi_deaths_perM,ROU,522.2560
epi_deaths_perM,RUS,250.3860
epi_deaths_perM,RWA,3.6290
epi_deaths_perM,SAU,166.0260
epi_deaths_perM,SDN,27.2070
epi_deaths_perM,SEN,19.7090
epi_deaths_perM,SGP,4.7860
epi_deaths_perM,SLE,9.2770
epi_deaths_perM,SLV,166.6620
epi_deaths_perM,SOM,7.1100
epi_deaths_perM,SRB,176.2040
epi_deaths_perM,SSD,5.3600
epi_deaths_perM,SUR,197.7380
epi_deaths_perM,SVK,122.9020
epi_deaths_perM,SVN,318.9140
epi_deaths_perM,SWE,
epi_deaths_perM,SWZ,103.4340
epi_deaths_perM,SYC,
epi_deaths_perM,SYR,21.4850
epi_deaths_perM,TCD,6.1490
epi_deaths_perM,TGO,7.7310
epi_deaths_perM,THA,0.8600
epi_deaths_perM,TLS,
epi_deaths_perM,TON,
epi_deaths_perM,TTO,82.1730
epi_deaths_perM,TUN,238.6910
epi_deaths_perM,TUR,146.5280
epi_deaths_perM,TWN,0.2940
epi_deaths_perM,TZA,0.3520
epi_deaths_perM,UGA,3.7600
epi_deaths_perM,UKR,247.2460
epi_deaths_perM,UMI,
epi_deaths_perM,URY,20.4390
epi_deaths_perM,USA,775.7700
epi_deaths_perM,UZB,18.0170
epi_deaths_perM,VEN,30.6300
epi_deaths_perM,VIR,220.2580
epi_deaths_perM,VNM,0.3600
epi_deaths_perM,XKX,472.8950
epi_deaths_perM,YEM,20.3850
epi_deaths_perM,ZAF,352.4440
epi_deaths_perM,ZMB,19.4190
epi_deaths_perM,ZWE,18.0310
