variable,iso,2020-12-08
info_tweets,AFG,939
info_tweets,AGO,1371
info_tweets,ALB,3171
info_tweets,AND,100
info_tweets,ARE,1642
info_tweets,ARG,30199
info_tweets,ARM,197
info_tweets,ASM,210
info_tweets,ATG,137
info_tweets,AUS,26943
info_tweets,AUT,3474
info_tweets,AZE,1093
info_tweets,BDI,210
info_tweets,BEL,8929
info_tweets,BEN,620
info_tweets,BFA,797
info_tweets,BGD,1579
info_tweets,BGR,746
info_tweets,BHR,402
info_tweets,BHS,615
info_tweets,BIH,685
info_tweets,BLM,586
info_tweets,BLR,315
info_tweets,BLZ,157
info_tweets,BMU,247
info_tweets,BOL,1595
info_tweets,BRA,104817
info_tweets,BRB,249
info_tweets,BRN,166
info_tweets,BWA,767
info_tweets,CAF,422
info_tweets,CAN,78031
info_tweets,CHE,7113
info_tweets,CHL,12886
info_tweets,CHN,3102
info_tweets,CIV,616
info_tweets,CMR,919
info_tweets,COD,1288
info_tweets,COG,228
info_tweets,COL,18110
info_tweets,CRI,1893
info_tweets,CUB,2794
info_tweets,CYM,266
info_tweets,CYP,1192
info_tweets,CZE,1416
info_tweets,DEU,29052
info_tweets,DJI,60
info_tweets,DNK,1951
info_tweets,DOM,2493
info_tweets,DZA,510
info_tweets,ECU,9608
info_tweets,EGY,1749
info_tweets,ESP,41813
info_tweets,EST,633
info_tweets,ETH,730
info_tweets,FIN,2627
info_tweets,FJI,404
info_tweets,FRA,48168
info_tweets,FRO,101
info_tweets,GAB,213
info_tweets,GBR,174103
info_tweets,GEO,191
info_tweets,GHA,1983
info_tweets,GIB,122
info_tweets,GIN,408
info_tweets,GNB,87
info_tweets,GRC,3546
info_tweets,GRD,306
info_tweets,GRL,96
info_tweets,GTM,2419
info_tweets,GUM,139
info_tweets,GUY,247
info_tweets,HKG,2295
info_tweets,HND,1417
info_tweets,HRV,773
info_tweets,HTI,1037
info_tweets,HUN,827
info_tweets,IDN,24209
info_tweets,IMN,184
info_tweets,IND,60921
info_tweets,IRL,11423
info_tweets,IRN,1414
info_tweets,IRQ,387
info_tweets,ISL,350
info_tweets,ISR,789
info_tweets,ITA,24270
info_tweets,JAM,1281
info_tweets,JEY,830
info_tweets,JOR,578
info_tweets,JPN,7494
info_tweets,KAZ,553
info_tweets,KEN,12836
info_tweets,KGZ,125
info_tweets,KHM,319
info_tweets,KOR,1074
info_tweets,KWT,522
info_tweets,LBN,910
info_tweets,LBR,606
info_tweets,LBY,126
info_tweets,LKA,2078
info_tweets,LSO,96
info_tweets,LTU,519
info_tweets,LUX,498
info_tweets,LVA,1288
info_tweets,MAC,107
info_tweets,MAR,2584
info_tweets,MDA,414
info_tweets,MDG,285
info_tweets,MDV,654
info_tweets,MEX,49794
info_tweets,MKD,224
info_tweets,MLI,431
info_tweets,MLT,771
info_tweets,MMR,428
info_tweets,MNE,228
info_tweets,MNG,1264
info_tweets,MOZ,911
info_tweets,MSR,107
info_tweets,MUS,235
info_tweets,MWI,409
info_tweets,MYS,9011
info_tweets,NAM,502
info_tweets,NCL,1074
info_tweets,NER,334
info_tweets,NGA,8660
info_tweets,NIC,835
info_tweets,NLD,11324
info_tweets,NOR,3203
info_tweets,NPL,1029
info_tweets,NZL,3987
info_tweets,OMN,220
info_tweets,PAK,8845
info_tweets,PAN,1098
info_tweets,PER,6438
info_tweets,PHL,9326
info_tweets,PNG,510
info_tweets,POL,6479
info_tweets,PRI,5553
info_tweets,PRK,148
info_tweets,PRT,4896
info_tweets,PRY,4329
info_tweets,PSE,549
info_tweets,QAT,414
info_tweets,ROU,1646
info_tweets,RUS,9922
info_tweets,RWA,523
info_tweets,SAU,1725
info_tweets,SDN,244
info_tweets,SEN,530
info_tweets,SGP,2591
info_tweets,SLE,278
info_tweets,SLV,1979
info_tweets,SOM,207
info_tweets,SRB,1426
info_tweets,SSD,189
info_tweets,SUR,59
info_tweets,SVK,388
info_tweets,SVN,1318
info_tweets,SWE,5314
info_tweets,SWZ,117
info_tweets,SYC,529
info_tweets,SYR,244
info_tweets,TCD,447
info_tweets,TGO,240
info_tweets,THA,8789
info_tweets,TLS,71
info_tweets,TON,180
info_tweets,TTO,491
info_tweets,TUN,648
info_tweets,TUR,18062
info_tweets,TWN,1907
info_tweets,TZA,462
info_tweets,UGA,3317
info_tweets,UKR,1350
info_tweets,UMI,97
info_tweets,URY,6232
info_tweets,USA,898517
info_tweets,UZB,149
info_tweets,VEN,21612
info_tweets,VIR,366
info_tweets,VNM,1055
info_tweets,XKX,374
info_tweets,YEM,275
info_tweets,ZAF,16402
info_tweets,ZMB,324
info_tweets,ZWE,1112
