rank,fact_type,count,domain,url
1,POLITICAL,1,thedailybeast.com,https://www.thedailybeast.com/qanon-conspiracy-theorists-magic-cure-for-coronavirus-is-drinking-lethal-bleach?ref=author
2,POLITICAL,1,eldiario.es,https://www.eldiario.es/sociedad/gran-bretana-confirma-infectados-coronavirus_0_990751053.html
3,CLICKBAIT,1,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/breaking-coronavirus-super-spreader-scout-21473330
4,POLITICAL,1,eldiario.es,https://www.eldiario.es/internacional/ultima-hora-coronavirus_13_999280065_39110.html
5,POLITICAL,1,thinkprogress.org,http://thinkprogress.org/politics/2016/07/14/3798417/mike-pence-tobacco-money/
6,CONSPIRACY/JUNKSCI,1,zerohedge.com,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
7,POLITICAL,1,rawstory.com,https://www.rawstory.com/2020/02/stephen-millers-new-wife-is-in-charge-of-approving-all-coronavirus-communications/
8,POLITICAL,1,rawstory.com,https://www.rawstory.com/2020/03/gop-blocking-coronavirus-bill-because-it-limits-how-much-drugmakers-can-charge-for-a-vaccine-report/
9,POLITICAL,1,pinknews.co.uk,https://www.pinknews.co.uk/2020/03/05/condoms-coronavirus-covid-19-australia-singapore-twitter-ryde-district-mums/
10,POLITICAL,1,cnn.com,https://www.cnn.com/2020/03/08/politics/2020-election-week-ahead/index.html
11,POLITICAL,1,eldiario.es,https://www.eldiario.es/sociedad/ultima-hora-coronavirus-mundo-espana_13_1000679924_41462.html
