country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr
The former Yugoslav Republic of Macedonia;MKD;2020-01-22;0;0;0;;;;;0.03142777777777778;0.1306696607814114;5.111544318181818;5.249637012987014;4.007491666666667;0.20743005263556802;0.1559959445188638;0.07674807175626433;0.0;0.0;-0.026220967948717946;-0.0007255384615384615;0.08161422179487181;0.0;0.0;0.007885569406132525;0.0007255384615384616;0.005430531762803822
The former Yugoslav Republic of Macedonia;MKD;2020-01-23;0;0;0;;;;;-0.08951724137931034;0.09647144592337127;5.633097898133612;5.303655328798186;4.599174123495553;0.21220844515094123;0.13324830416601516;0.09660633267031107;0.0;0.0;-0.01946075;0.0;0.08501920833333336;0.0;0.0;0.008508004018609877;0.0;0.008762242189781833
The former Yugoslav Republic of Macedonia;MKD;2020-01-24;0;0;0;;;;;0.30642400000000003;0.06699157745171692;6.212296316188618;5.651812537408127;4.428242619068743;0.1377314840810826;0.09550370362322447;0.08423055349598536;0.0019096818181818182;0.002367840909090909;-0.010306878246753241;0.0003566666666666669;0.04984710808080808;0.0019096818181818186;0.002367840909090909;0.006308261639770331;0.0020687945946942328;0.010104994998781761
The former Yugoslav Republic of Macedonia;MKD;2020-01-25;0;0;0;;;;;-0.15346093749999998;0.07368143980347987;5.381834270282188;5.228780753968255;4.304255566578484;0.10330351586116886;0.07542848716216155;0.07037992348148554;0.0009056888888888889;-0.0010917555555555556;-0.019389577777777767;-0.0002572444444444447;0.06624397901234569;0.0015791060904899478;0.0010917555555555554;0.005249815916348336;0.0019115035488664004;0.006364385410543641
The former Yugoslav Republic of Macedonia;MKD;2020-01-26;0;0;0;;;;;-0.23486562499999994;0.051459266164457555;5.278963640815203;5.16538931381119;4.2420777717652705;0.08890719033596574;0.06725057259172225;0.06624561059351101;0.0007150175438596491;-0.0008619122807017543;-0.022800470760233907;0.0011671929824561402;0.0759354466224808;0.001244669281305412;0.0008619122807017543;0.004400586233501674;0.0008179278598899069;0.004766538233033548
The former Yugoslav Republic of Macedonia;MKD;2020-01-27;0;0;0;;;;;-0.3123486486486487;0.06501590419284153;5.023099135938687;5.082989528299231;4.508174517439443;0.10293135397050275;0.08291089363251226;0.06093463430196462;-0.002374716049382716;-0.007997342592592592;-0.005735973765432097;0.005094552674897119;0.057217145121082634;0.0013459720858336622;0.0026427714851289686;0.005980493769715627;0.001703722596278547;0.007563447607738896
The former Yugoslav Republic of Macedonia;MKD;2020-01-28;0;0;0;;;;;-0.1617032786885246;0.07142232759860362;5.307763150380082;5.312004273504273;4.257907834101382;0.10001312528772205;0.07965070747327416;0.062157070997295324;-0.005975073170731707;-0.006012654471544716;-0.007715790069686414;0.0018884780487804867;0.047887462744572486;0.0022817953012523643;0.0030526147563286173;0.0064463450271949685;0.0028453449321516155;0.007836329978772354
The former Yugoslav Republic of Macedonia;MKD;2020-01-29;0;0;0;;;;;-0.06535510204081635;0.07468280214276084;5.354977008763593;5.2827141946209375;4.349586263330165;0.10539519608380982;0.07823792168004275;0.0795816665750501;-0.007971366666666667;-0.0032752666666666665;-0.01668616611111111;0.0065262222222222215;0.05195821563492064;0.003989592533347935;0.002275682575350699;0.008131136289734454;0.00248416750490427;0.007593621868996838
The former Yugoslav Republic of Macedonia;MKD;2020-01-30;0;0;0;;;;;-0.032294444444444466;0.05190089793735353;5.236006870958262;5.1375097268986165;4.307734424269147;0.0788371174817816;0.059978213649346836;0.049393876387297905;-0.003604966666666667;-0.0031878266666666667;-0.017870410158730154;0.003285197222222222;0.057585952277981294;0.0022102947470549845;0.001883961232206984;0.005351827448291786;0.002310896089416135;0.005327604428180369
The former Yugoslav Republic of Macedonia;MKD;2020-01-31;0;0;0;;;;;-0.09535675675675676;0.06450603437847408;5.30316065358253;5.265474224733601;4.358244984876236;0.09978033581796446;0.07400492471137217;0.054914782008699606;-0.0030242999999999997;-0.002847108641975308;-0.02577144469135801;-0.00011449629629629679;0.07038805448933784;0.0022012323349717656;0.0020137328767481128;0.004882940715895;0.002775648129412909;0.005303321925378863
The former Yugoslav Republic of Macedonia;MKD;2020-02-01;0;0;0;;;;;-0.06628620689655175;0.06834276368529765;5.407357198835645;5.335162810369709;4.380158866995073;0.10764421875660644;0.06865285400684717;0.06098749128955286;-0.002635081081081081;-0.002940642642642642;-0.027713959459459446;-0.0024513513513513513;0.07840489795249792;0.0018372225060139479;0.002050265126183856;0.005809246638250172;0.0017091230722216365;0.0046041915401072
The former Yugoslav Republic of Macedonia;MKD;2020-02-02;0;0;0;;;;;-0.17828139534883722;0.08288245156863264;5.162854332360146;5.268488002953118;4.504332100070472;0.12267963895326109;0.08437230677286883;0.06606166857469496;-0.006592698924731183;-0.006127677419354839;-0.024023693548387088;-0.006879935483870969;0.06899864439324117;0.004611411848543013;0.004260745808657654;0.006777620563837537;0.004750287883112129;0.00650818215953228
The former Yugoslav Republic of Macedonia;MKD;2020-02-03;0;0;0;;;;;-0.04696842105263157;0.14037007791907682;5.258679362304362;5.329253413253412;4.244824716949716;0.19174528251144174;0.13304384445978812;0.09663268227668313;0.0028472666666666665;0.0;-0.015676177777777776;-0.0011459333333333336;0.06230261352657005;0.0028472666666666665;0.0;0.009224112648099678;0.004159022832196302;0.008784303632540656
The former Yugoslav Republic of Macedonia;MKD;2020-02-04;0;0;0;;;;;-0.2929090909090909;0.09455733822667999;5.312257885632886;5.1000586589336585;4.243439954721206;0.17294328274816434;0.11211724059019823;0.08776876908907558;-0.0023741764705882355;-0.002889941176470588;-0.01277512745098039;0.0011588235294117636;0.054312807843137266;0.002374176470588235;0.0028899411764705877;0.011355660529425155;0.005075554112197776;0.010076689054796877
