date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;FAC_reliabile_num_local;FAC_reliabile_num_foreign;FAC_unreliabile_num_local;FAC_unreliabile_num_foreign;FAC_reliabile_fol_local;FAC_reliabile_fol_foreign;FAC_unreliabile_fol_local;FAC_unreliabile_fol_foreign;FAC_reliabile_num_00;FAC_reliabile_num_01;FAC_reliabile_num_10;FAC_reliabile_num_11;FAC_unreliabile_num_00;FAC_unreliabile_num_01;FAC_unreliabile_num_10;FAC_unreliabile_num_11;FAC_reliabile_fol_00;FAC_reliabile_fol_01;FAC_reliabile_fol_10;FAC_reliabile_fol_11;FAC_unreliabile_fol_00;FAC_unreliabile_fol_01;FAC_unreliabile_fol_10;FAC_unreliabile_fol_11;EMO_Sentiment;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;ECO_price_close
2020-01-22;555.0;17.0;28.0;333820.0;155492.0;242156.0;188440.0;132471.0;2497.0;10412.0;0.0;14196719953.0;443227140.0;989123330.0;357236413.0;12407133070.0;0.0;33530.0;20330.0;37938.0;2758980469.0;1168190683.0;5021065282.0;24413.0;9117.0;15763.0;4567.0;2588159177.0;170821292.0;1120773716.0;47416967.0;18144.0;13308.0;475.0;1603.0;12003.0;7754.0;97.0;476.0;52319484.0;86576697.0;59190422.0;2560893866.0;36663463.0;41559817.0;3389030.0;1086578373.0;-0.034558970090025475;5.30041156741993;5.238005053820113;4.229541531518104;-0.0011095919176393766;-0.0005142481199316344;-0.025485504151309797;-2.6822809561696202e-05;0.07906248788992849;0.0009128388776840121
2020-01-23;653.0;18.0;30.0;587408.0;288092.0;404182.0;335427.0;233970.0;3588.0;14243.0;180.0;19558011540.0;812268948.0;1622654065.0;656240476.0;16466848051.0;0.0;64787.0;34840.0;46779.0;4177266704.0;1521005723.0;6536337254.0;44399.0;20388.0;26395.0;8445.0;3894318863.0;282947841.0;1451700437.0;69305286.0;35815.0;25932.0;662.0;2371.0;20467.0;13528.0;165.0;675.0;98957343.0;157562657.0;81604302.0;3839142402.0;69704468.0;90993004.0;7022081.0;1353286170.0;-0.0824536753586622;5.473359285253746;5.313627642107803;4.386521109573406;-0.0010801998522048262;-0.0007989887384774235;-0.024126092131881757;0.00039163568800730937;0.07136948000239506;-0.00666185458324359
2020-01-24;941.0;26.0;36.0;1010113.0;518460.0;638876.0;581032.0;406333.0;5037.0;16993.0;718.0;21266967147.0;1189962375.0;2004195475.0;842129086.0;17230680211.0;0.0;99626.0;44777.0;66733.0;5338433173.0;1865400437.0;6560495469.0;66025.0;33601.0;33008.0;11769.0;4877252482.0;461180691.0;1800580656.0;64819781.0;55337.0;40282.0;943.0;3029.0;26402.0;17403.0;148.0;807.0;137725707.0;196802985.0;179473477.0;4824431004.0;90165160.0;127742888.0;4663710.0;1642828679.0;0.04170078979501911;5.621203272372598;5.420097683231558;4.356631878358025;-0.0017162286685228876;0.0004627931875202826;-0.02239675196370007;-0.00018782376261320609;0.061246196744940376;0.0024259861168583466
2020-01-25;1434.0;42.0;39.0;1511329.0;762288.0;843041.0;883800.0;611548.0;4030.0;11951.0;0.0;15597601636.0;1444664682.0;2010495255.0;635193073.0;11507248626.0;0.0;123905.0;38157.0;55485.0;3485655681.0;1073985504.0;4560528070.0;81540.0;42365.0;26576.0;11581.0;3119041757.0;366613924.0;990795173.0;83190331.0;70434.0;50775.0;708.0;1988.0;22636.0;14961.0;102.0;458.0;157131823.0;200754122.0;99240789.0;3028528947.0;73538393.0;93835906.0;6447575.0;900163630.0;-0.10834146464377496;5.405409226925952;5.289420315576494;4.295141399405154;-0.0015191150986641302;-0.0007246341050720394;-0.021802981310819543;0.0006565258119187626;0.060157582019437356;
2020-01-26;2118.0;56.0;52.0;1519995.0;932576.0;795491.0;901808.0;602054.0;3915.0;12218.0;0.0;15368117899.0;1505480185.0;2115673878.0;690163748.0;11056800088.0;0.0;108175.0;47839.0;69413.0;3554690431.0;1272058943.0;4269806761.0;69174.0;39001.0;32960.0;14879.0;3189029755.0;365660676.0;1196233978.0;75824965.0;61896.0;43518.0;687.0;2074.0;28302.0;18938.0;130.0;469.0;149888031.0;200181168.0;143213735.0;3061407497.0;120572874.0;104987779.0;7224994.0;1039273296.0;-0.14106037130626894;5.3057516303370384;5.224072977375511;4.293187159390685;-0.001177108751052805;-0.002006973962750185;-0.026732966730924877;0.000330508509434924;0.06685721486662036;
2020-01-27;2927.0;82.0;61.0;1204827.0;675099.0;739152.0;696250.0;485039.0;5530.0;18008.0;0.0;21655387776.0;1381859581.0;2360276341.0;954888829.0;16958363025.0;0.0;123467.0;40023.0;74239.0;4710790685.0;1608248926.0;6337696219.0;78363.0;45104.0;29549.0;10474.0;4301707561.0;409083124.0;1538665551.0;69583375.0;68768.0;51004.0;955.0;2740.0;23297.0;15929.0;163.0;634.0;172386831.0;235197671.0;206632971.0;4096573212.0;89187849.0;127828946.0;6314561.0;1384917570.0;-0.22227300777398412;5.196527817620463;5.213474846931698;4.35669994498911;-0.0021403493184347553;-0.005421040573427537;-0.020023249674447338;0.0019259096920611082;0.06018580899114445;-0.020383527677836532
2020-01-28;5578.0;131.0;107.0;1244838.0;664993.0;840943.0;713605.0;500118.0;7226.0;23889.0;0.0;27140738114.0;1584850092.0;2706042799.0;1013150226.0;21836694997.0;0.0;97082.0;52897.0;84487.0;5762113101.0;2002150226.0;7382858697.0;66121.0;30961.0;39284.0;13613.0;5337242351.0;424870750.0;1915275905.0;86874321.0;53212.0;39099.0;1058.0;3713.0;30613.0;21197.0;252.0;835.0;155801268.0;218217961.0;148352837.0;5239741035.0;107191868.0;151917916.0;10483766.0;1732556676.0;-0.14631496310707454;5.269041028523781;5.282973456670176;4.268287840732004;-0.004019349283257188;-0.0036957651379852484;-0.018601961404860326;0.0013205638743007133;0.057976677301358415;0.005014468174672305
2020-01-29;6166.0;133.0;126.0;1190640.0;637615.0;801287.0;680420.0;480435.0;6802.0;22983.0;0.0;26241415869.0;1504028083.0;2548276139.0;1097488498.0;21091623149.0;0.0;59566.0;31395.0;48283.0;3719531260.0;684400475.0;4918956942.0;36400.0;23166.0;23497.0;7898.0;3458519138.0;261012122.0;642973724.0;41426751.0;32785.0;23984.0;598.0;2199.0;18453.0;12376.0;101.0;465.0;86843514.0;125942201.0;114807594.0;3391937951.0;66090550.0;81915719.0;5026578.0;531367628.0;-0.11272273934742975;5.252961952822957;5.2166763136853005;4.338805962984244;-0.005618318817440786;-0.002335735297786638;-0.023542835536159046;0.00029237404327344866;0.06305210213482798;0.0008374668201412431
2020-01-30;8234.0;171.0;143.0;1676345.0;981514.0;1119512.0;956009.0;683656.0;8863.0;27817.0;0.0;32261167193.0;1923483847.0;3130786993.0;1559540576.0;25647355777.0;0.0;80194.0;41474.0;99840.0;3860440584.0;1244213287.0;6301550074.0;54707.0;25487.0;28695.0;12779.0;3438303035.0;422137549.0;1161386125.0;82827162.0;44795.0;31888.0;923.0;2588.0;24017.0;16765.0;143.0;549.0;124315189.0;160281148.0;206704191.0;3369140056.0;76202434.0;90415983.0;13931415.0;1063663455.0;-0.07642255811466894;5.256750970956985;5.243798294425085;4.265952588668079;-0.001999194525440053;-0.0013403287652989629;-0.027990633226923665;0.0012452892792646287;0.06743094979227868;-0.008146027983951734
2020-01-31;9927.0;213.0;222.0;1568923.0;904109.0;1088010.0;889513.0;642336.0;8572.0;28502.0;0.0;32989102473.0;1959027979.0;2985804082.0;1483762815.0;26560507597.0;0.0;72734.0;37093.0;70912.0;3759098522.0;1045325520.0;6735841320.0;50004.0;22730.0;25589.0;11504.0;3382634263.0;376464259.0;991719556.0;53605964.0;40230.0;29270.0;800.0;2434.0;21192.0;15098.0;103.0;700.0;112015747.0;143217572.0;136105938.0;3367759265.0;70488919.0;91789823.0;7318838.0;875727940.0;-0.14005719259278396;5.1956649974569995;5.23362578006725;4.320821760499511;-0.0026192184226844547;-0.0024695095766062757;-0.026787902635734863;-0.0002740340195302594;0.0660192697365467;-0.008951695488281881
