country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_reliable;FAC_unreliable;FAC_unknown
Pakistan;PAK;2020-01-22;0;0;0;;;;;-0.18915023923444985;0.020898249062902944;5.234590231913816;5.231207755947994;4.271518608531517;0.026143429318383104;0.018874210067763873;0.014431688312657419;-0.0002753677494199536;-0.0002094327146171693;-0.027017864611645168;-0.0008348259860788863;0.08550255948220996;0.0001634081912129685;0.00023785377722760283;0.0014503887636252873;0.00037597140238402883;0.0011066937429843166;1002.0;828.0;556.0;396.0;12.0;38.0;;36859458.0;1498346.0;2689320.0;2393285.0;30278507.0;;156.0;77.0;239.0
Pakistan;PAK;2020-01-23;0;0;0;;;;;-0.04097548161120905;0.015389213095817028;5.339775851716917;5.2593721838186775;4.370845084368268;0.025896542539620145;0.016481690460541425;0.012484996367158704;-0.000295905808477237;-0.00011628806907378335;-0.02586501049188915;-0.00018817987964416536;0.07762755031459452;0.00023025473321702846;0.00019380478788147908;0.0012017890018919974;0.00021878545200247206;0.0011131472356354344;1914.0;1561.0;1075.0;763.0;20.0;56.0;;48280584.0;1899105.0;9136869.0;3748315.0;33496295.0;;241.0;107.0;372.0
Pakistan;PAK;2020-01-24;0;0;0;;;;;0.008413226263580478;0.011878732372871962;5.400900608060825;5.322834214957032;4.38784696091893;0.02011890280017967;0.012971025689323335;0.0095969191562837;-0.0006959;0.0006351892720306518;-0.028157730983396863;0.0002450330268199233;0.07269417254675928;0.0002220882691275639;0.00024036280230685766;0.000867169342218171;0.0002245259851879033;0.0009422192574345418;3702.0;2824.0;2076.0;1524.0;32.0;70.0;;52264297.0;3131453.0;8778611.0;5586166.0;34768067.0;;340.0;177.0;659.0
Pakistan;PAK;2020-01-25;0;0;0;;;;;-0.09645950851717412;0.009708656945267938;5.253023412091049;5.2379808263344465;4.368767293342271;0.01519227335797836;0.010338207534610127;0.008024689661201947;-0.0007472244725479368;0.0007310059487998031;-0.018317124054064764;0.0020877549634722888;0.06743616508139401;0.00020017196126537203;0.0001989220620955153;0.0008091342624754782;0.00026041542617262573;0.0008207134514694957;6868.0;4950.0;3938.0;2806.0;33.0;91.0;;69737503.0;7491613.0;11604460.0;4805119.0;45836311.0;;474.0;220.0;938.0
Pakistan;PAK;2020-01-26;0;0;0;;;;;-0.004284095793675194;0.010213995948209213;5.378794179325899;5.270206981600161;4.2420449437129335;0.01575293189252354;0.010617810637256031;0.009188523168146877;-0.000414693690373828;-0.0006068744625967326;-0.02298373171395786;0.0006810524075666388;0.07156926637437293;0.0001477091772258179;0.00016377001969451434;0.0006863583767857518;0.0001847758898645308;0.0007064650325508649;5698.0;4632.0;3386.0;2206.0;23.0;83.0;;69054840.0;5178556.0;11102573.0;947879.0;51825832.0;;441.0;137.0;799.0
Pakistan;PAK;2020-01-27;0;0;0;;;;;-0.1013684028634908;0.00958005519679748;5.127681587972564;5.125995002303248;4.382855092629511;0.013008230460467344;0.010242439169520518;0.007710897968868234;-0.0006451524137177808;-0.001615020369156834;-0.02350437124836191;0.000883816076889473;0.07449532639136502;0.0001263997521816852;0.00018599791019393907;0.0005734648975282979;0.00014802325366359716;0.0006566655573207277;6397.0;5099.0;3555.0;2663.0;33.0;146.0;;119868473.0;6740836.0;16551923.0;4353456.0;92222258.0;;430.0;236.0;858.0
Pakistan;PAK;2020-01-28;0;0;0;;;;;-0.04214247897080633;0.008131225953979542;5.148080673954311;5.180285198521083;4.325520709630611;0.012152283574292927;0.00938662642930574;0.006659733828703393;-0.00100496687664042;-0.00127876377952756;-0.023799276283089685;0.0029943549424591236;0.06855471230195176;0.00013143293228344192;0.00014927891719126356;0.000717396713259051;0.00021195424085868327;0.000580255504998399;7080.0;5361.0;4025.0;2854.0;53.0;148.0;;123155012.0;7827617.0;16714660.0;7162164.0;91450571.0;;412.0;208.0;955.0
Pakistan;PAK;2020-01-29;0;0;0;;;;;-0.035862756332930984;0.009026232941636571;5.2883410023442625;5.2387904390992;4.320405797683264;0.014693166912419056;0.010520369678559195;0.008401895812292795;-0.0008876174684726762;-0.0005525162696559239;-0.02139311410277768;0.002165858418963108;0.06648526226217405;0.0001913339406126216;0.0001569201527782723;0.0008106594543793227;0.00022664626524329933;0.0007780038876362959;6487.0;4769.0;3564.0;2693.0;54.0;176.0;;134601414.0;6902237.0;14028790.0;7562031.0;106108356.0;;268.0;74.0;920.0
Pakistan;PAK;2020-01-30;0;0;0;;;;;0.025558575324883127;0.006946292198438269;5.318808159111246;5.245058079525059;4.299270277130016;0.009951047635172721;0.007171899326266034;0.0054230757359747285;-0.0006680676872279755;-0.0005463218144979732;-0.0239395671394274;0.000952930708764826;0.06876920099135339;0.00016229879478894062;0.0001547989551306044;0.0005204729223038154;0.00016814552179434305;0.00047395304196634814;10481.0;8208.0;5945.0;4276.0;56.0;204.0;;190344440.0;12588156.0;23324599.0;10776613.0;143655072.0;;471.0;172.0;1112.0
Pakistan;PAK;2020-01-31;0;0;0;;;;;-0.06417727149075106;0.0065076595601230285;5.204522481371423;5.1974388273861445;4.356401402098133;0.010301813581554952;0.007283189278971399;0.005585025971674696;-0.0005813885605818492;-0.0005973041816374039;-0.029798938922785317;0.0005574261558538422;0.06852607073130232;8.800109294193487e-05;9.084180602359267e-05;0.0004710414733181539;0.00013764487434383672;0.00046518316625043625;12058.0;9535.0;6927.0;4852.0;61.0;218.0;;193855250.0;14443857.0;30371047.0;14263263.0;134777083.0;;500.0;159.0;1538.0
