country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_reliable;FAC_unreliable;FAC_unknown
Israel;ISR;2020-01-22;0;0;0;;;;;-0.09798192771084337;0.06366859301062285;5.270963050092083;5.22844394196007;4.276583039720136;0.07745911605444555;0.04909269407776165;0.04111873131447903;0.00035689285714285695;0.0017319285714285715;-0.026434729166666653;-0.0008835625;0.07955918363095241;0.0015373353243409858;0.001213474107798286;0.0037107160902294014;0.0008835625000000002;0.0027368620417733123;160.0;110.0;74.0;85.0;1.0;;;605304.0;331426.0;267852.0;6026.0;;;36.0;16.0;16.0
Israel;ISR;2020-01-23;0;0;0;;;;;-0.1867287128712872;0.03408761795843942;5.2941316180654425;5.230000450721038;4.334357123430653;0.05429855030908028;0.03629337904044081;0.029501105333012218;0.0;0.0;-0.022507611772486783;0.0015258723544973546;0.07516346819098013;0.0;0.0;0.0029823273339776852;0.0006355976360269159;0.003075274451586289;372.0;270.0;259.0;112.0;;1.0;;1197595.0;998971.0;194959.0;;3665.0;;83.0;29.0;43.0
Israel;ISR;2020-01-24;0;0;0;;;;;-0.027852272727272708;0.032866049754943887;5.530345425752883;5.365331233376812;4.345590216490082;0.05052886821109588;0.032909302705032416;0.025373363154799586;-0.002136205882352941;0.0001380245098039213;-0.02362468991596639;-0.0009658447712418305;0.06345224738951137;0.0009630679873948428;0.0009342115139468774;0.002318363233397317;0.0008880149938405052;0.0028775268947656128;668.0;426.0;359.0;306.0;1.0;1.0;1.0;1991417.0;1167211.0;771805.0;7477.0;44924.0;0.0;85.0;31.0;79.0
Israel;ISR;2020-01-25;0;0;0;;;;;-0.1543062841530054;0.02824783426823145;5.287395221365296;5.200253270504857;4.340849597556091;0.043673347800396486;0.030857268007581536;0.025517886636641254;-0.0008729814049586777;-0.0007820123966942151;-0.02230515881542696;0.0008226976584022031;0.06336357669314167;0.0008749084336189842;0.0007158909431511916;0.002516444095414406;0.001044343612409498;0.0027350011070446088;883.0;510.0;557.0;322.0;;4.0;;1788127.0;1046774.0;595634.0;;145719.0;;92.0;24.0;73.0
Israel;ISR;2020-01-26;0;0;0;;;;;-0.24105369978858346;0.02088574610727864;5.311653204119123;5.209358810436375;4.198818796294824;0.03091056207968493;0.02253603915228292;0.0220583730441382;-0.0021598483213429256;-0.002034160071942446;-0.02426435059952035;-0.0006479593182596782;0.07192243324455322;0.0007724175160299806;0.0006800389598818647;0.0020399982019383245;0.0007502413731741612;0.0022315370031623745;977.0;664.0;536.0;433.0;2.0;6.0;;2535273.0;1222374.0;1035236.0;57195.0;220468.0;;87.0;27.0;89.0
Israel;ISR;2020-01-27;0;0;0;;;;;-0.2923893732970025;0.02616601431251185;5.169602641253928;5.169571355477267;4.279904393311348;0.03782977311163378;0.029504491547681595;0.023992238039334958;-0.00320309561752988;-0.0058128844621513935;-0.025732455511288124;-0.00020402988047808792;0.06551167362234922;0.0008238015733622907;0.0011170690305528617;0.0024114988870559484;0.0008721110113009037;0.0027387397541820072;682.0;476.0;418.0;254.0;3.0;7.0;;2282704.0;978075.0;939316.0;37105.0;328208.0;;109.0;34.0;65.0
Israel;ISR;2020-01-28;0;0;0;;;;;-0.1495173252279636;0.02847843882940935;5.264190241218348;5.2764339419620505;4.261900209176094;0.04894063490548879;0.0339136659710495;0.027285866333582324;-0.003431698347107438;-0.003380675619834709;-0.017979744264069283;0.0018651792964611141;0.06504423356815174;0.0007803237421820942;0.0008711255659101939;0.002329993620678221;0.0007416544834512995;0.002850175199249473;684.0;460.0;384.0;294.0;;6.0;;2346039.0;1279781.0;841102.0;;225156.0;;90.0;56.0;84.0
Israel;ISR;2020-01-29;0;0;0;;;;;-0.07748051470588238;0.03142173384298296;5.28663974083134;5.280830624595854;4.304958118808743;0.04277788690231823;0.03143856190787924;0.02634603667969364;-0.004359780423280424;-0.0010770740740740738;-0.02539537786596122;-0.0002809065255731923;0.0696525207105064;0.0015403591115269802;0.0008950522506418953;0.002307936630418432;0.0006078829126782175;0.0025918090648498647;623.0;393.0;362.0;255.0;;6.0;;1664371.0;939442.0;531926.0;;193003.0;;57.0;19.0;34.0
Israel;ISR;2020-01-30;0;0;0;;;;;-0.10387035398230098;0.024847080761310387;5.28947514723467;5.251293624078689;4.23092705686693;0.03929257387336327;0.02907964627900235;0.02236380079277529;-0.0019105052631578946;-0.0016512027412280699;-0.025992828409565537;0.000571661458333333;0.06840430148970178;0.0007178320921157312;0.0005871579486171009;0.001957460527559833;0.0006218206663607305;0.0021126004866196604;906.0;604.0;490.0;401.0;;15.0;;2300660.0;1148621.0;634161.0;;517878.0;;76.0;23.0;85.0
Israel;ISR;2020-01-31;0;0;0;;;;;-0.21659734748010606;0.027716808036298158;5.141415443965439;5.20379296697239;4.314349930872401;0.0430048124105113;0.03048229245531505;0.02482891011219855;-0.002643128225806452;-0.0022117570564516124;-0.026333964157706054;0.00013835766129032198;0.0684491890608831;0.0008398304511642397;0.0007092734616130194;0.0020263940047988357;0.0009514482053284398;0.0022628739154580482;771.0;495.0;443.0;320.0;1.0;7.0;;2082943.0;897074.0;920968.0;28675.0;236226.0;;80.0;15.0;58.0
