date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-01-22,SGP,869,200,18,651,758,169,31,183,0.155,80,95,1,168,0,1,27,2,1,,,,,,,,0.0035,0,0,0,0,,
2020-01-23,SGP,2405,379,57,1969,2193,387,107,294,0.2166,89,188,27,360,0,4,85,17,1,0.0203,0.0022,0.0003,0.0791,0.2486,0.1429,0.2507,-0.0053,0,0,0,0,,
2020-01-24,SGP,5329,787,73,4469,4741,485,97,369,0.1667,156,192,14,471,0,4,63,22,8,0.0081,0.0005,0.0292,0.2667,0.1919,0.2857,0.1904,0.0014,3,3,0,0,,
2020-01-25,SGP,6509,728,102,5679,5391,425,84,368,0.165,156,189,14,411,0,15,43,21,5,0.0157,0.0067,0.0037,0.3177,0.1875,0.0667,0.1929,,3,0,0,0,,
2020-01-26,SGP,7911,762,115,7034,6602,343,111,467,0.2445,113,256,5,338,0,23,51,24,13,0.0102,0.0005,0.0144,0.1565,0.2946,0.2,0.3006,,4,1,0,0,,
2020-01-27,SGP,4907,698,98,4111,4188,574,88,462,0.1329,150,258,13,561,0,0,65,16,7,0.0058,0.0014,0.0,0.1513,0.1492,0.0,0.1534,,4,0,0,0,,
2020-01-28,SGP,4982,1205,127,3650,4434,863,141,720,0.1404,232,447,19,844,1,25,84,24,7,0.0152,0.0121,0.1426,0.0382,0.1691,0.1,0.1711,0.0027,5,1,0,0,,
2020-01-29,SGP,4669,1191,110,3368,3974,333,76,877,0.1858,525,338,12,321,5,23,21,17,10,0.0055,0.003,0.1036,0.2979,0.2512,0.375,0.2462,0.0004,7,2,0,0,,
2020-01-30,SGP,5173,1305,150,3718,4359,394,133,619,0.2524,264,265,11,383,5,50,54,19,5,0.0079,0.0016,0.0013,0.123,0.3487,0.1111,0.3559,-0.0039,10,3,0,0,,
2020-01-31,SGP,5233,1331,123,3779,4599,613,123,793,0.1671,416,341,4,609,1,48,38,25,11,0.0034,0.0012,0.0194,0.1723,0.2129,0.125,0.2144,-0.0062,13,3,0,0,,
