ADM0_A3,date,num_bot,num_hum,pct_num_bot,num_unrel_fact,num_rel_fact,pct_unrel_fact,fol_unrel_exp,fol_rel_exp,risk_index,sentiment
CUB,2020-03-13,1566,2223,0.413,45,71,0.388,130668,118048,0.525,0.008
CYP,2020-03-13,377,532,0.415,17,43,0.283,378183,370694,0.505,-0.047
CZE,2020-03-13,625,768,0.449,15,44,0.254,19373,57263,0.253,0.004
DEU,2020-03-13,15072,19537,0.435,403,1547,0.207,12259584,20775557,0.371,-0.008
DJI,2020-03-13,41,93,0.306,1,5,0.167,1561,5040,0.236,-0.038
DNK,2020-03-13,1532,2065,0.426,30,121,0.199,32698,155236,0.174,-0.074
DOM,2020-03-13,1238,2088,0.372,35,77,0.313,39156,177956,0.18,-0.028
DZA,2020-03-13,354,551,0.391,10,38,0.208,6570,195991,0.032,-0.043
ECU,2020-03-13,4166,6873,0.377,189,177,0.516,511316,827379,0.382,0.026
EGY,2020-03-13,1370,2052,0.4,38,457,0.077,74407,1360706,0.052,0.043
ERI,2020-03-13,44,32,0.579,1,2,0.333,1905,1034,0.648,-0.111
ESP,2020-03-13,54850,79775,0.407,806,3084,0.207,5577897,47215473,0.106,0.001
EST,2020-03-13,438,565,0.437,14,41,0.255,23390,135175,0.148,-0.047
ETH,2020-03-13,515,717,0.418,13,46,0.22,35825,226630,0.136,0.075
FIN,2020-03-13,1624,2285,0.415,43,169,0.203,124301,1049088,0.106,-0.016
FJI,2020-03-13,140,205,0.406,8,21,0.276,11178,23175,0.325,-0.074
FRA,2020-03-13,38281,52769,0.42,2496,4455,0.359,4054232,115526202,0.034,-0.023
GAB,2020-03-13,133,187,0.416,4,14,0.222,23760,11208,0.679,-0.029
GBR,2020-03-13,58637,84460,0.41,1535,9117,0.144,81766667,588996768,0.122,0.014
GEO,2020-03-13,62,121,0.339,0,14,0,0,20517,0,-0.041
GHA,2020-03-13,3485,5748,0.377,73,422,0.147,104636,882899,0.106,0.115
GIN,2020-03-13,292,337,0.464,26,21,0.553,112236,28983,0.795,0.046
GMB,2020-03-13,16,30,0.348,0,4,0,0,6231,0,0.016
GNB,2020-03-13,89,135,0.397,1,9,0.1,220,17217,0.013,0.014
GNQ,2020-03-13,40,47,0.46,0,7,0,0,86910,0,0.045
GRC,2020-03-13,1626,2121,0.434,67,163,0.291,185212,427558,0.302,0.002
GTM,2020-03-13,1587,2688,0.371,61,61,0.5,115238,79371,0.592,-0.038
