iso,datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
TLS,2020-03-22,204,8,1,14,74017,5585,35864,0.07016,7,108,4,85,-0.02604,5.38832,4.26001,5.40255,-0.01007,-0.01628,-0.00825,0.03993,-0.02389,2,0,0,
TON,2020-03-22,122,3,3,15,528,1249,19726,0.70287,3,58,0,61,0.11922,5.41708,4.26032,5.54521,,,,,,,,,
TTO,2020-03-22,998,21,10,90,77850,21150,336076,0.21364,3,432,0,563,0.02625,5.40729,4.28195,5.48063,-0.06342,-0.06849,-0.05934,0.08122,-0.09034,50,1,0,
TUN,2020-03-22,1093,51,23,130,88125,19676,6057027,0.18252,8,431,3,651,0.00067,5.38637,4.24222,5.43668,0.01245,-0.01903,0.02191,0.01897,0.02354,75,1,3,
TUR,2020-03-22,22940,362,67,1197,1599540,627420,23281588,0.28174,193,8754,58,13935,0.01446,5.40027,4.26616,5.45813,-0.03718,-0.04904,-0.04265,0.06844,-0.03416,1236,0,30,
TUV,2020-03-22,,,,,,,,0,,,,,,,,,,,,,,,,,
TWN,2020-03-22,3118,92,37,179,147696,87422,1301003,0.37182,26,1324,3,1765,-0.00846,5.37488,4.2587,5.41501,-0.02547,-0.03964,-0.04184,0.06656,-0.03306,169,28,2,
TZA,2020-03-22,1559,62,17,72,747061,32597,1666372,0.04181,23,594,3,939,0.1081,5.45635,4.23396,5.55967,-0.04965,-0.05213,-0.05934,0.0828,-0.04446,12,0,0,
UGA,2020-03-22,7082,134,20,271,253938,184862,4180941,0.42129,61,2675,19,4325,0.14279,5.50659,4.13844,5.5295,-0.04318,-0.04387,-0.05934,0.08234,-0.03838,1,0,0,
UKR,2020-03-22,1927,50,21,168,54029,19563,7349840,0.26583,17,744,9,1157,0.03875,5.40062,4.28834,5.48699,-0.02921,-0.05741,-0.03305,0.06888,-0.05582,73,1,3,
UMI,2020-03-22,146,13,9,10,11808,12390,13698,0.51203,0,55,0,91,-0.11816,5.31876,4.303,5.35464,,,,,,,,,
URY,2020-03-22,7150,122,40,521,240355,143753,12846456,0.37425,83,2761,26,4280,0.17522,5.41267,4.28924,5.51653,-0.02104,-0.05013,-0.0156,0.033,-0.04195,135,0,0,
USA,2020-03-22,966572,48880,28806,66023,710522125,289492307,1109944824,0.28949,17211,394766,8576,545919,-0.01565,5.38229,4.27196,5.43513,-0.02812,-0.04443,-0.02591,0.05357,-0.04779,33272,0,417,
USG,2020-03-22,1,0,0,0,0,0,0,0,0,0,0,1,0.128,5.25667,3.63,4.77333,,,,,,,,,
UZB,2020-03-22,219,1,1,12,198,106,43170,0.34868,1,95,0,123,-0.02409,5.36224,4.25189,5.3756,,,,,,43,0,0,
VAT,2020-03-22,4,0,0,1,0,0,2006,0,0,0,0,4,0.2446,5.53267,3.99193,5.42104,,,,,,1,0,0,
VCT,2020-03-22,141,7,5,14,10258,23637,19035,0.69736,0,63,0,78,-0.04576,5.30078,4.31114,5.32911,-0.05343,-0.02627,-0.05934,0.08582,-0.04282,1,0,0,
VEN,2020-03-22,70737,546,2608,6659,4403446,87254056,1742692428,0.95196,1059,23291,221,46159,0.15837,5.37231,4.30177,5.4332,-0.03672,-0.04438,-0.03454,0.05768,-0.04392,70,15,0,
VGB,2020-03-22,59,2,0,7,2405,0,2665,0,0,27,0,32,0.02677,5.38309,4.22017,5.48573,,,,,,,,,
VIR,2020-03-22,475,29,13,28,1765117,33080,37056,0.0184,13,173,11,278,-0.03221,5.38541,4.30144,5.4197,,,,,,,,,
VNM,2020-03-22,1340,47,19,132,241475,154575,8870864,0.39029,16,529,4,791,0.05057,5.39782,4.26754,5.45443,,,,,,113,17,0,
VUT,2020-03-22,78,5,1,10,21059,46,41312,0.00218,0,32,0,46,0.11355,5.62784,4.38672,5.85082,,,,,,,,,
WLF,2020-03-22,1,0,0,0,0,0,0,0,0,1,0,0,-0.6486,,,,,,,,,,,,
WSB,2020-03-22,,,,,,,,0,,,,,,,,,,,,,,,,,
WSM,2020-03-22,48,1,0,2,170,0,1052,0,2,25,0,21,0.0705,5.3083,4.15155,5.41415,,,,,,,,,
YEM,2020-03-22,988,27,15,53,447603,15512,103801,0.03349,9,381,7,591,0.03696,5.38113,4.28596,5.49547,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,,,,
ZAF,2020-03-22,48134,1408,317,2978,955501835,4931636,49270576,0.00513,499,17643,231,29761,0.05259,5.4313,4.23903,5.53009,-0.02087,-0.04692,-0.01723,0.04567,-0.0433,274,0,0,
ZMB,2020-03-22,1192,28,7,42,53857,33266,134057,0.38183,6,471,1,713,0.08852,5.50931,4.21177,5.58027,0.00359,-0.01753,-0.01676,0.04977,-0.00854,3,0,0,
ZWE,2020-03-22,2475,71,18,176,1107137,106562,3207375,0.0878,24,986,17,1448,0.05889,5.42697,4.20092,5.50699,-0.04438,-0.0507,-0.0487,0.07425,-0.05231,3,0,0,
_WORLD,2020-03-22,3260762,111166,53557,247268,3290533453,1231090030,7175844189,0.27227,46035,1284181,18316,1911943,0.05606,5.41052,4.26165,5.4783,-0.02498,-0.04309,-0.02026,0.04985,-0.0377,335912,97704,14631,
