iso,datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
IRN,2020-03-22,2755,71,41,154,601651,1256612,1212013,0.67623,39,1099,4,1612,-0.03192,5.34079,4.33297,5.35203,-0.02801,-0.03466,-0.0275,0.05804,-0.03861,21638,7931,1685,
IRQ,2020-03-22,1031,24,14,63,919930,98403,97321,0.09663,19,442,0,565,0.02522,5.3831,4.25441,5.40558,-0.03188,-0.03555,-0.02741,0.06121,-0.05231,233,57,20,
ISL,2020-03-22,1213,41,10,81,68547,59014,157257,0.46263,3,534,2,674,-0.03025,5.35176,4.28579,5.42146,,,,,,568,36,1,
ISR,2020-03-22,1174,51,32,89,159908,171095,534149,0.5169,21,485,16,652,0.01137,5.36474,4.24017,5.36802,-0.00389,-0.00707,-0.03096,0.05907,-0.00405,1071,37,1,
ITA,2020-03-22,45139,1444,523,6284,74303987,2641279,89541066,0.03433,403,19123,128,25481,0.04003,5.35482,4.25633,5.3023,0.01521,-0.03157,0.03539,0.01286,0.02732,59138,7024,5476,
JAM,2020-03-22,3072,52,17,230,153841,21520,2978371,0.12272,17,1200,5,1850,0.01304,5.5697,4.06591,5.69565,-0.0502,-0.04661,-0.05934,0.08143,-0.04471,16,2,1,
JEY,2020-03-22,842,24,17,49,61528,37024,85778,0.37568,3,319,6,514,-0.02211,5.3829,4.26021,5.44677,-0.02782,-0.05408,-0.01676,0.05265,-0.05891,0,0,0,
JOR,2020-03-22,931,36,13,63,579904,18589,983723,0.03106,21,333,25,552,0.04091,5.41296,4.2217,5.45219,0.00681,-0.04307,0.02581,-0.00031,0.01857,112,1,0,
JPN,2020-03-22,11777,850,147,1328,6064182,335453,4052936,0.05242,70,4843,22,6840,0.02485,5.40293,4.26089,5.47199,-0.00602,-0.05463,0.00521,0.02609,-0.04414,1798,560,48,
KAB,2020-03-22,,,,,,,,0,,,,,,,,,,,,,,,,,
KAZ,2020-03-22,961,23,7,63,62151,7685,1206816,0.11004,8,376,2,575,0.05797,5.43206,4.23496,5.50281,-0.01898,-0.0206,-0.00544,0.04313,-0.00924,60,0,0,
KEN,2020-03-22,16053,340,90,1109,4022520,1087413,70292795,0.2128,274,5547,95,10127,0.05305,5.45836,4.24192,5.52135,-0.02226,-0.01915,-0.01802,0.05824,-0.01212,15,0,0,
KGZ,2020-03-22,144,2,2,7,1261,1042,40060,0.45245,5,60,1,78,0.06452,5.46157,4.28563,5.55307,,,,,,14,0,0,
KHM,2020-03-22,288,14,5,30,26171,6741,516486,0.20482,7,103,9,169,0.03277,5.35418,4.226,5.45078,,,,,,84,1,0,
KIR,2020-03-22,32,1,0,1,1258,0,1258,0,0,19,0,13,-0.18908,5.29549,4.22914,5.3325,,,,,,,,,
KNA,2020-03-22,76,2,0,9,456,0,63630,0,1,20,0,55,-0.15403,5.40326,4.20205,5.36326,,,,,,,,,
KOR,2020-03-22,4925,171,30,317,997047,171942,737158,0.14709,35,1820,15,3055,0.16686,5.37886,4.25617,5.47925,-0.0263,-0.01848,-0.00885,0.04888,-0.02432,8897,2909,104,
KOS,2020-03-22,848,7,258,54,5349,210413411,294529,0.99997,16,344,0,488,0.09597,5.36716,4.27766,5.46948,,,,,,,,,
KWT,2020-03-22,1061,17,8,90,148472,4522,1087040,0.02956,28,371,15,647,0.0917,5.45285,4.27877,5.52573,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,188,27,0,
LAO,2020-03-22,980,27,16,65,90566,42504,218903,0.31941,29,417,20,514,-0.0174,5.31503,4.33303,5.41982,-0.06755,-0.0698,0.00613,0.02052,-0.11107,,,,
LBN,2020-03-22,1921,60,24,137,332839,31817,3047947,0.08725,61,788,10,1062,0.07655,5.4529,4.24039,5.4992,-0.01736,-0.02365,0.00452,0.03369,-0.02918,248,8,4,
LBR,2020-03-22,830,22,7,40,122722,12921,136756,0.09526,4,354,0,472,0.05566,5.42357,4.2578,5.47236,,,,,,3,0,0,
LBY,2020-03-22,513,13,6,31,35861,35901,229574,0.50028,12,204,2,295,0.01271,5.39656,4.20986,5.40131,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,,,,
LCA,2020-03-22,133,1,0,15,137,0,23524,0,0,62,0,71,0.0056,5.44822,4.15174,5.53265,,,,,,2,0,0,
LIE,2020-03-22,113,2,2,10,1103,370,223778,0.25119,0,47,0,66,-0.05119,5.2274,4.3343,5.22625,,,,,,37,0,0,
LKA,2020-03-22,2470,79,23,253,191748,110607,1379636,0.36582,38,926,6,1500,0.00544,5.4035,4.24549,5.45418,-0.04198,-0.03733,-0.03274,0.07524,-0.05626,82,3,0,
LSO,2020-03-22,191,2,2,10,1390,1506,14162,0.52003,0,57,0,134,0.03193,5.39672,4.15228,5.49014,0.00445,-0.02658,-0.01676,0.0526,-0.01594,,,,
LTU,2020-03-22,677,19,8,35,41137,9625,120817,0.18961,3,277,2,395,-0.03967,5.30865,4.25956,5.3887,,,,,,131,1,1,
LUX,2020-03-22,713,23,12,84,133393,54427,284724,0.28978,15,341,1,356,0.07965,5.44178,4.19326,5.48157,,,,,,798,6,8,
LVA,2020-03-22,1401,28,14,204,43124,36233,2236425,0.45658,86,532,13,770,0.08512,5.40162,4.24708,5.48705,,,,,,139,1,0,
MAC,2020-03-22,165,10,3,14,10867,5853,20184,0.35006,0,59,0,106,-0.04229,5.34947,4.24881,5.32542,,,,,,,,,
MAF,2020-03-22,66,4,0,11,938,0,10235,0,0,27,0,39,0.07061,5.30191,4.51236,5.28086,,,,,,,,,
MAR,2020-03-22,4078,128,62,312,238260,92078,2387802,0.27874,31,1594,3,2450,0.00743,5.36681,4.26368,5.48273,-0.04165,-0.05331,-0.01531,0.05572,-0.06626,115,3,4,
MCO,2020-03-22,63,1,2,5,171,2120,72347,0.92536,1,33,0,29,-0.07001,5.30273,4.33268,5.41804,0.03023,-0.04022,0.03891,0.03206,0.04879,23,1,0,
MDA,2020-03-22,630,22,5,88,45189,3130,189301,0.06478,2,264,1,363,-0.0127,5.32485,4.24499,5.43606,-0.04765,-0.04913,-0.05934,0.05939,-0.0407,94,1,1,
MDG,2020-03-22,488,12,2,31,6106,488,191916,0.07401,4,129,0,355,0.14106,5.41166,4.23178,5.52694,,,,,,3,0,0,
MDV,2020-03-22,1910,61,12,278,247936,29848,4315519,0.10745,32,767,12,1099,0.09267,5.46211,4.19507,5.53635,-0.02642,-0.04796,-0.02869,0.05748,-0.02978,13,0,0,
MEX,2020-03-22,102728,1660,906,10402,26202747,22282956,600626601,0.45958,1784,38236,495,62208,0.187,5.37797,4.29079,5.48243,-0.01768,-0.04183,-0.0023,0.03514,-0.02986,251,4,2,
MHL,2020-03-22,,,,,,,,0,,,,,,,,,,,,,,,,,
MKD,2020-03-22,404,14,5,47,775374,748604,956283,0.49122,1,157,1,245,0.00909,5.38472,4.21549,5.44769,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,114,1,1,
MLI,2020-03-22,839,16,6,49,43690,22378,145292,0.33871,11,373,5,450,0.0411,5.41288,4.27293,5.49082,,,,,,,,,
MLT,2020-03-22,837,17,13,81,15897,14138,348209,0.47072,4,338,1,494,0.06091,5.41165,4.22949,5.53064,-0.05714,-0.04633,-0.05934,0.08528,-0.08124,90,2,0,
MMR,2020-03-22,629,17,5,55,20019,13715,846916,0.40656,4,240,0,385,0.0112,5.34426,4.27755,5.41072,-0.04829,-0.05045,-0.05934,0.0854,-0.04316,,,,
MNE,2020-03-22,317,7,1,19,28287,2076,215977,0.06837,5,128,0,184,-0.00036,5.31884,4.31373,5.45887,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,21,0,0,
MNG,2020-03-22,1153,58,21,79,322684,109342,553007,0.25309,13,463,8,669,0.00943,5.37473,4.2754,5.46346,-0.02697,-0.03213,-0.015,0.07051,-0.06777,10,0,0,
MNP,2020-03-22,84,3,2,4,8483,9274,32429,0.52227,0,33,0,51,0.08953,5.51813,4.35444,5.56167,,,,,,,,,
MOZ,2020-03-22,1233,28,13,90,108059,12848,210201,0.10626,2,515,3,713,0.04069,5.36302,4.26117,5.462,-0.04609,-0.04877,-0.05934,0.08709,-0.04186,1,0,0,
MRT,2020-03-22,105,0,2,1,0,775,7938,1.0,1,42,0,62,0.01743,5.40902,4.20225,5.40909,,,,,,2,0,0,
MSR,2020-03-22,160,5,5,6,6119,95175,2337,0.93959,0,71,0,89,0.05177,5.47658,4.17802,5.51823,,,,,,,,,
MUS,2020-03-22,474,18,5,53,19231,16751,131874,0.46554,4,186,0,284,0.0518,5.42583,4.21136,5.48905,,,,,,18,0,1,
MWI,2020-03-22,822,23,4,40,62119,6155,84822,0.09015,4,280,0,538,0.12174,5.43762,4.19053,5.57842,0.03327,-0.04913,0.06839,-0.04401,-0.0407,,,,
MYS,2020-03-22,87125,2196,89,5758,25666381,18058742,85480554,0.41301,270,33302,75,53477,0.10886,5.46114,4.21944,5.63131,-0.0338,-0.04063,-0.01942,0.04925,-0.03879,1306,139,10,
NAM,2020-03-22,940,31,5,114,13682,2105,165070,0.13334,2,360,0,578,-0.01182,5.42653,4.24622,5.5235,0.03218,-0.04913,0.06839,-0.00316,-0.01163,3,0,0,
NCL,2020-03-22,974,50,40,48,118913,152483,142338,0.56185,2,370,1,601,-0.056,5.34544,4.2928,5.36646,-0.04563,-0.00069,-0.05934,0.08143,-0.01515,,,,
