rank,iso,country,tweets_day,risk_index,reliability,reliability_exposure,bot_unverified
1,SGP,Singapore,4248.4,0.005,89.83%,99.65%,40.57%
2,ZAF,South Africa,16936.4,0.005,78.98%,99.54%,38.6%
3,FRA,France,71536.8,0.023,72.59%,97.63%,41.71%
4,IRL,Ireland,7026.6,0.026,83.68%,97.47%,38.78%
5,HKG,Hong Kong S.A.R.,9155.9,0.029,86.07%,98.04%,40.16%
6,MYS,Malaysia,35261.8,0.042,91.38%,96.37%,38.98%
7,NGA,Nigeria,12815.0,0.047,76.33%,94.67%,35.86%
8,CAF,Central African Republic,1189.7,0.053,79.1%,95.1%,41.64%
9,ESP,Spain,68248.4,0.056,73.68%,94.61%,40.34%
10,JPN,Japan,11541.3,0.065,87.81%,93.66%,42.05%
11,AUS,Australia,24960.7,0.066,80.45%,93.65%,40.12%
12,KOR,South Korea,4454.6,0.076,77.23%,93.76%,40.05%
13,CHL,Chile,16111.1,0.083,65.16%,93.3%,36.28%
14,THA,Thailand,32969.6,0.085,82.36%,94.19%,40.25%
15,CAN,Canada,42512.0,0.089,77.79%,91.23%,40.63%
16,EGY,Egypt,2044.7,0.089,78.99%,92.42%,39.03%
17,BEL,Belgium,7705.3,0.105,78.91%,89.82%,40.61%
18,ITA,Italy,44612.9,0.107,74.84%,94.9%,42.93%
19,GBR,United Kingdom,86138.5,0.138,76.74%,86.21%,40.25%
20,BRA,Brazil,37298.5,0.141,61.89%,85.72%,40.69%
21,PRI,Puerto Rico,3759.4,0.142,64.6%,94.54%,40.45%
22,SWE,Sweden,11531.8,0.147,69.93%,87.5%,41.63%
23,COM,Comoros,1618.3,0.148,68.61%,87.33%,44.46%
24,PAK,Pakistan,8265.1,0.154,77.71%,91.06%,40.37%
25,ARE,United Arab Emirates,2061.8,0.155,77.47%,92.12%,39.19%
26,LBN,Lebanon,1048.9,0.156,75.65%,79.88%,39.38%
27,DNK,Denmark,1931.4,0.159,77.69%,83.57%,43.03%
28,UGA,Uganda,1520.9,0.159,77.81%,84.16%,37.88%
29,KEN,Kenya,5994.9,0.163,77.09%,84.35%,34.63%
30,NPL,Nepal,1247.2,0.171,75.56%,85.9%,39.87%
31,PRT,Portugal,6600.9,0.173,70.63%,80.73%,41.14%
32,CHE,Switzerland,6463.2,0.177,77.52%,87.81%,41.75%
33,SAU,Saudi Arabia,2658.3,0.182,79.72%,81.85%,34.99%
34,BOL,Bolivia,2191.5,0.183,62.71%,83.13%,42.87%
35,CHN,China,6626.8,0.186,77.11%,88.21%,37.63%
36,UKR,Ukraine,1050.3,0.186,77.32%,85.34%,41.38%
37,ROU,Romania,1697.8,0.188,74.31%,77.25%,43.6%
38,JAM,Jamaica,1366.6,0.198,79.69%,80.75%,40.21%
39,NZL,New Zealand,3322.5,0.198,76.94%,80.55%,41.38%
40,GRC,Greece,2629.0,0.205,75.72%,82.17%,41.02%
41,ARG,Argentina,46183.6,0.207,76.41%,79.02%,40.54%
42,IDN,Indonesia,34768.3,0.214,75.82%,71.62%,33.69%
43,LKA,Sri Lanka,1247.3,0.216,74.99%,78.53%,39.78%
44,POL,Poland,4564.2,0.216,76.97%,76.18%,41.78%
45,TUR,Turkey,8614.1,0.217,75.58%,80.63%,39.55%
46,COD,Democratic Republic of the Congo,1476.8,0.218,73.3%,76.47%,39.77%
47,MAR,Morocco,2214.0,0.223,74.37%,78.17%,42.47%
48,MDV,Maldives,1299.8,0.227,77.47%,76.53%,40.6%
49,GHA,Ghana,3320.3,0.228,74.91%,78.87%,38.02%
50,AUT,Austria,3649.5,0.229,77.6%,77.16%,42.36%
