country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment_x;EMO_Sentiment_stderr_x;EMO_VAD_V_x;EMO_VAD_A_x;EMO_VAD_D_x;EMO_VAD_V_stderr_x;EMO_VAD_A_stderr_x;EMO_VAD_D_stderr_x;EMO_Big5_O_x;EMO_Big5_C_x;EMO_Big5_E_x;EMO_Big5_A_x;EMO_Big5_N_x;EMO_Big5_O_stderr_x;EMO_Big5_C_stderr_x;EMO_Big5_E_stderr_x;EMO_Big5_A_stderr_x;EMO_Big5_N_stderr_x;EMO_Sentiment_y;EMO_Sentiment_stderr_y;EMO_VAD_V_y;EMO_VAD_A_y;EMO_VAD_D_y;EMO_VAD_V_stderr_y;EMO_VAD_A_stderr_y;EMO_VAD_D_stderr_y;EMO_Big5_O_y;EMO_Big5_C_y;EMO_Big5_E_y;EMO_Big5_A_y;EMO_Big5_N_y;EMO_Big5_O_stderr_y;EMO_Big5_C_stderr_y;EMO_Big5_E_stderr_y;EMO_Big5_A_stderr_y;EMO_Big5_N_stderr_y
Iran (Islamic Republic of);IRN;2020-01-22;0;0;0;;;;;0.25029453124999995;0.052266245747359434;5.554657390228816;5.423460630540093;4.172562573438465;0.07384754215210246;0.041309659955577366;0.034153748416532466;-0.0011946918604651164;-0.0005786511627906976;-0.02075435542635658;-0.001108168604651163;0.08108743225359916;0.001095247679425297;0.0009890086319549387;0.0028987722550664835;0.0007795572957785315;0.0018358476340563762;0.25029453124999995;0.05226624574735943;5.554657390228816;5.423460630540094;4.172562573438465;0.07384754215210246;0.04130965995557737;0.03415374841653246;-0.0011946918604651164;-0.0005786511627906976;-0.02075435542635658;-0.001108168604651163;0.08108743225359916;0.001095247679425297;0.0009890086319549387;0.0028987722550664835;0.0007795572957785315;0.0018358476340563762
Iran (Islamic Republic of);IRN;2020-01-23;0;0;0;;;;;0.10313911111111107;0.037075933412514;5.763148350807231;5.459295378387918;4.497690300594749;0.0638281075765993;0.0383690390630602;0.03389804737493598;0.0;-8.983760683760678e-05;-0.020739983618233624;0.0007779722222222222;0.07315296525049025;0.0;0.0006227668587940522;0.002968765592690947;0.0008654100815383129;0.00322999267878287;0.10313911111111107;0.037075933412514;5.763148350807231;5.459295378387918;4.497690300594748;0.0638281075765993;0.0383690390630602;0.033898047374935986;0.0;-8.983760683760678e-05;-0.020739983618233624;0.0007779722222222221;0.07315296525049025;0.0;0.0006227668587940523;0.002968765592690947;0.0008654100815383129;0.00322999267878287
Iran (Islamic Republic of);IRN;2020-01-24;0;0;0;;;;;0.118197393364929;0.027320292995852542;5.79908435853255;5.539746739523874;4.399640408537616;0.051408945255038835;0.030927249240429975;0.02562687071210285;-0.0018394580152671753;-0.00023565458015267177;-0.021086008269720104;-0.0009527639949109416;0.0566621178616867;0.0007066860037850131;0.0006587994179629084;0.0020594493334636288;0.0007050023873349883;0.0026787268759492487;0.118197393364929;0.02732029299585254;5.79908435853255;5.539746739523874;4.399640408537616;0.05140894525503884;0.030927249240429975;0.02562687071210285;-0.0018394580152671753;-0.00023565458015267177;-0.021086008269720104;-0.0009527639949109416;0.0566621178616867;0.0007066860037850131;0.0006587994179629084;0.002059449333463629;0.0007050023873349884;0.0026787268759492495
Iran (Islamic Republic of);IRN;2020-01-25;0;0;0;;;;;-0.10277946287519753;0.022792446133498682;5.397494364257149;5.303366368014697;4.2785290099201205;0.031213644586817493;0.02113554592474261;0.02031650677293509;-0.0008355159817351597;-0.0008639737442922374;-0.02090299595201855;0.0012329566971080665;0.05592888059517212;0.00046038036698880586;0.0003845659172175436;0.0018412806147189609;0.0006492205323448261;0.002350407760100601;-0.10277946287519753;0.022792446133498682;5.397494364257148;5.303366368014697;4.27852900992012;0.031213644586817496;0.021135545924742608;0.020316506772935092;-0.0008355159817351597;-0.0008639737442922374;-0.02090299595201855;0.0012329566971080665;0.05592888059517212;0.00046038036698880586;0.00038456591721754363;0.0018412806147189607;0.0006492205323448261;0.0023504077601006006
Iran (Islamic Republic of);IRN;2020-01-26;0;0;0;;;;;-0.16498939597315426;0.02009315532096386;5.2122401466083685;5.138859370430887;4.368544022202954;0.031354786263754764;0.023540947279399;0.021540858527111916;-0.0014992885714285714;-0.002896479393939394;-0.023766057636363715;0.00043925787878787854;0.06646818095007502;0.0005536444456915781;0.0005517000228542191;0.0014516084746690578;0.0004355381959783181;0.0017543706526512422;-0.16498939597315423;0.020093155320963865;5.2122401466083685;5.138859370430887;4.368544022202954;0.031354786263754764;0.023540947279398997;0.021540858527111913;-0.0014992885714285717;-0.002896479393939394;-0.023766057636363715;0.0004392578787878785;0.06646818095007502;0.0005536444456915781;0.000551700022854219;0.0014516084746690578;0.0004355381959783181;0.0017543706526512422
Iran (Islamic Republic of);IRN;2020-01-27;0;0;0;;;;;-0.3251634508348791;0.023824091336428814;5.088160357362042;5.114352358268162;4.471428563957412;0.033779330770118486;0.02769730761671916;0.02286106845591988;-0.0023427358359402162;-0.006962654501216542;-0.01689736516626106;0.0027805704785077053;0.059756102614605996;0.000583069374795802;0.0009176039310476836;0.0020309763842112014;0.0006322272574664872;0.002480538831005265;-0.3251634508348791;0.023824091336428814;5.088160357362042;5.114352358268162;4.471428563957412;0.033779330770118486;0.02769730761671916;0.02286106845591988;-0.002342735835940216;-0.006962654501216542;-0.016897365166261065;0.0027805704785077053;0.059756102614606;0.000583069374795802;0.0009176039310476837;0.0020309763842112014;0.0006322272574664873;0.002480538831005265
Iran (Islamic Republic of);IRN;2020-01-28;0;0;0;;;;;-0.08905611353711794;0.025782210878261;5.258093584541207;5.300451708898243;4.228740193871394;0.0390357831103874;0.02759718445167271;0.02147557002082006;-0.0037518981191222585;-0.003492689655172413;-0.02115179155844148;0.0012597104653966713;0.055489588247308284;0.0007549886650323884;0.0007212806301843341;0.0022552545220941274;0.0008408128738756133;0.002681630395711685;-0.08905611353711794;0.025782210878261002;5.258093584541207;5.300451708898243;4.228740193871394;0.0390357831103874;0.02759718445167271;0.02147557002082006;-0.0037518981191222585;-0.003492689655172413;-0.02115179155844148;0.0012597104653966713;0.055489588247308284;0.0007549886650323884;0.0007212806301843341;0.0022552545220941274;0.0008408128738756133;0.002681630395711685
Iran (Islamic Republic of);IRN;2020-01-29;0;0;0;;;;;-0.1161102040816327;0.027335784105096173;5.2308015336427625;5.167180798993009;4.341218015133896;0.042826382781670135;0.03125515191180496;0.02611309381191191;-0.008456943181818184;-0.003158234090909091;-0.0263425162121212;-0.0014144086489898992;0.06262510715712319;0.0017734769214512761;0.0010544096866009383;0.0021844476255447496;0.0007444476980387777;0.0026406047770178953;-0.1161102040816327;0.027335784105096173;5.230801533642763;5.167180798993009;4.3412180151338955;0.042826382781670135;0.03125515191180496;0.02611309381191191;-0.008456943181818184;-0.0031582340909090912;-0.026342516212121202;-0.0014144086489898992;0.06262510715712319;0.001773476921451276;0.0010544096866009385;0.0021844476255447496;0.0007444476980387777;0.0026406047770178953
Iran (Islamic Republic of);IRN;2020-01-30;0;0;0;;;;;-0.05259588400374187;0.01699911020861449;5.2223171043170895;5.232202800497358;4.2399280469054315;0.02451825156954136;0.018958947842665504;0.015207206739572581;-0.0021564850364963503;-0.0014623958637469587;-0.02509955558533884;0.0024507145985401533;0.0625991385956595;0.0004794493372180946;0.0003657341144498218;0.0014999014037299905;0.00058059377845843;0.0015344316105215358;-0.05259588400374187;0.01699911020861449;5.2223171043170895;5.232202800497359;4.239928046905431;0.02451825156954136;0.018958947842665504;0.015207206739572581;-0.0021564850364963503;-0.0014623958637469587;-0.02509955558533884;0.0024507145985401537;0.0625991385956595;0.00047944933721809466;0.00036573411444982174;0.0014999014037299905;0.00058059377845843;0.0015344316105215358
Iran (Islamic Republic of);IRN;2020-01-31;0;0;0;;;;;-0.07926312217194569;0.0198676926291646;5.253138602889169;5.274684362999272;4.2872935655623605;0.030160409136665223;0.02081176226678417;0.016737027970557827;-0.002298643928571429;-0.002636141904761904;-0.02755188997023821;-0.0006740707270408168;0.0639551748913832;0.00046589354676697723;0.00048305215035811104;0.0014398536145837212;0.0005415805419269146;0.0016190542752171195;-0.07926312217194569;0.019867692629164605;5.253138602889169;5.274684362999271;4.2872935655623605;0.030160409136665227;0.020811762266784172;0.016737027970557827;-0.002298643928571429;-0.002636141904761904;-0.027551889970238212;-0.0006740707270408167;0.0639551748913832;0.00046589354676697723;0.00048305215035811104;0.0014398536145837212;0.0005415805419269146;0.0016190542752171195
