geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
qqwv0,-7.5,110.8,36.0,27.0,209.0,155.0,243.0,115.0,115.0,99.0,102.0
qqwv1,-7.5,110.8,83.0,133.0,775.0,250.0,330.0,270.0,328.0,564.0,311.0
qqwv2,-7.5,110.8,33.0,15.0,172.0,178.0,144.0,135.0,140.0,117.0,170.0
qqwv3,-7.5,110.8,18.0,32.0,124.0,114.0,107.0,72.0,76.0,73.0,140.0
qqwv4,-7.5,110.9,132.0,107.0,573.0,362.0,383.0,325.0,395.0,360.0,327.0
qqwv5,-7.5,110.9,22.0,49.0,385.0,357.0,473.0,212.0,171.0,146.0,212.0
qqwv7,-7.5,110.9,9.0,1.0,2.0,,2.0,3.0,1.0,,3.0
qqwv8,-7.4,110.8,3.0,2.0,12.0,4.0,7.0,7.0,4.0,1.0,3.0
qqwvb,-7.4,110.8,21.0,5.0,108.0,88.0,136.0,49.0,57.0,83.0,181.0
qqwvf,-7.4,110.9,115.0,37.0,706.0,1081.0,1293.0,519.0,362.0,499.0,854.0
qqwvg,-7.4,110.9,4.0,2.0,2.0,1.0,1.0,5.0,,1.0,3.0
qqwvh,-7.5,110.9,2.0,,10.0,9.0,18.0,9.0,8.0,6.0,15.0
qqwvj,-7.5,111.0,3.0,1.0,8.0,13.0,4.0,3.0,,5.0,4.0
qqwvk,-7.5,110.9,8.0,,57.0,83.0,202.0,36.0,21.0,40.0,180.0
qqwvm,-7.5,111.0,2.0,2.0,6.0,2.0,,1.0,,,
qqwvn,-7.5,111.0,1.0,,5.0,2.0,7.0,5.0,9.0,6.0,1.0
qqwvp,-7.5,111.1,6.0,1.0,10.0,9.0,4.0,6.0,4.0,2.0,3.0
qqwvr,-7.5,111.1,2.0,11.0,13.0,3.0,5.0,2.0,4.0,1.0,4.0
qqwvs,-7.4,110.9,16.0,1.0,14.0,4.0,4.0,2.0,2.0,3.0,4.0
qqwvt,-7.4,111.0,146.0,137.0,1599.0,3291.0,2175.0,774.0,675.0,1041.0,1839.0
qqwvu,-7.4,110.9,1.0,,10.0,5.0,14.0,2.0,2.0,6.0,3.0
qqwvv,-7.4,111.0,5.0,7.0,96.0,132.0,70.0,29.0,23.0,33.0,51.0
qqwvw,-7.4,111.0,12.0,28.0,296.0,446.0,219.0,67.0,61.0,206.0,191.0
qqwvy,-7.4,111.0,8.0,7.0,420.0,859.0,321.0,78.0,79.0,215.0,599.0
qqwvz,-7.4,111.1,3.0,2.0,13.0,17.0,13.0,5.0,2.0,10.0,9.0
qqww1,-7.4,110.5,1.0,5.0,6.0,9.0,19.0,6.0,10.0,11.0,40.0
qqww2,-7.3,110.4,4.0,5.0,21.0,10.0,28.0,9.0,4.0,4.0,6.0
qqww3,-7.3,110.5,18.0,11.0,51.0,40.0,24.0,13.0,16.0,15.0,33.0
qqww4,-7.4,110.5,7.0,10.0,55.0,38.0,60.0,37.0,39.0,35.0,33.0
qqww5,-7.4,110.5,2.0,4.0,12.0,3.0,2.0,3.0,5.0,,5.0
qqww6,-7.3,110.5,464.0,378.0,2239.0,1875.0,1951.0,1248.0,1275.0,1105.0,1554.0
qqww8,-7.3,110.4,19.0,10.0,198.0,163.0,154.0,72.0,80.0,50.0,80.0
qqww9,-7.3,110.5,21.0,67.0,171.0,69.0,81.0,53.0,47.0,34.0,56.0
qqwwb,-7.2,110.4,15.0,14.0,80.0,54.0,56.0,27.0,34.0,33.0,17.0
qqwwd,-7.3,110.5,2.0,,14.0,8.0,20.0,4.0,7.0,5.0,4.0
qqwwe,-7.3,110.5,2.0,2.0,21.0,50.0,15.0,15.0,21.0,11.0,8.0
qqwwh,-7.4,110.6,29.0,31.0,49.0,81.0,22.0,13.0,19.0,6.0,1.0
qqwwk,-7.3,110.6,46.0,18.0,134.0,54.0,40.0,28.0,45.0,26.0,33.0
qqwwn,-7.4,110.7,1.0,21.0,24.0,3.0,13.0,14.0,2.0,1.0,2.0
qqwwp,-7.4,110.7,6.0,6.0,27.0,20.0,49.0,16.0,35.0,19.0,14.0
qqwwr,-7.3,110.7,1.0,1.0,1.0,1.0,,,,1.0,
qqwwt,-7.3,110.6,7.0,1.0,4.0,2.0,13.0,9.0,1.0,19.0,16.0
qqwwu,-7.2,110.6,7.0,1.0,4.0,3.0,7.0,2.0,2.0,1.0,3.0
qqwww,-7.3,110.7,186.0,230.0,782.0,931.0,747.0,536.0,437.0,436.0,670.0
qqwx0,-7.2,110.4,12.0,12.0,96.0,27.0,7.0,15.0,25.0,22.0,82.0
qqwx1,-7.2,110.5,4.0,2.0,19.0,28.0,13.0,21.0,10.0,5.0,13.0
qqwx2,-7.1,110.4,113.0,115.0,741.0,616.0,610.0,407.0,407.0,317.0,438.0
qqwx3,-7.1,110.5,1.0,,3.0,4.0,13.0,7.0,9.0,5.0,1.0
qqwx8,-7.1,110.4,6.0,9.0,87.0,369.0,212.0,168.0,226.0,131.0,107.0
qqwx9,-7.1,110.5,11.0,6.0,2.0,,1.0,,,,
qqwxb,-7.1,110.4,148.0,156.0,735.0,607.0,572.0,429.0,332.0,406.0,454.0
qqwxc,-7.1,110.5,68.0,69.0,349.0,209.0,294.0,167.0,211.0,127.0,194.0
qqwxf,-7.1,110.5,1.0,,9.0,8.0,15.0,8.0,5.0,3.0,8.0
qqwxg,-7.1,110.5,2.0,1.0,6.0,18.0,24.0,31.0,7.0,5.0,6.0
qqwxu,-7.1,110.6,3.0,4.0,6.0,12.0,8.0,5.0,13.0,12.0,18.0
qqwxv,-7.1,110.6,3.0,9.0,58.0,222.0,299.0,122.0,31.0,20.0,19.0
qqwxw,-7.1,110.7,7.0,,34.0,85.0,86.0,113.0,80.0,81.0,100.0
qqwxy,-7.1,110.7,3.0,9.0,36.0,10.0,40.0,27.0,27.0,15.0,9.0
qqwxz,-7.1,110.7,9.0,3.0,64.0,63.0,73.0,92.0,123.0,123.0,163.0
qqwy0,-7.4,110.8,4.0,,13.0,15.0,25.0,22.0,18.0,40.0,35.0
qqwy4,-7.4,110.9,134.0,321.0,439.0,82.0,90.0,71.0,134.0,81.0,35.0
qqwy6,-7.3,110.9,2.0,2.0,80.0,307.0,34.0,11.0,22.0,58.0,2.0
qqwyc,-7.2,110.8,1.0,,1.0,,,,,,
qqwyj,-7.4,111.0,1.0,3.0,26.0,16.0,12.0,17.0,21.0,19.0,17.0
qqwyn,-7.4,111.0,170.0,923.0,2235.0,1334.0,1488.0,934.0,903.0,1110.0,1044.0
qqwyp,-7.4,111.1,1.0,,1.0,6.0,7.0,,2.0,1.0,3.0
qqwyr,-7.3,111.1,1.0,,8.0,11.0,9.0,12.0,7.0,9.0,
qqwyt,-7.3,111.0,13.0,4.0,51.0,62.0,52.0,41.0,30.0,30.0,59.0
qqwyu,-7.2,110.9,1.0,,,,35.0,1.0,,,1.0
qqwyw,-7.3,111.0,6.0,2.0,37.0,15.0,18.0,6.0,24.0,15.0,36.0
qqwyx,-7.3,111.1,6.0,6.0,41.0,90.0,211.0,22.0,21.0,35.0,29.0
qqwz7,-7.1,110.9,3.0,1.0,24.0,30.0,42.0,5.0,10.0,8.0,14.0
qqwz8,-7.1,110.8,1.0,2.0,5.0,2.0,1.0,6.0,7.0,15.0,7.0
qqwzb,-7.1,110.8,18.0,11.0,36.0,24.0,13.0,18.0,7.0,9.0,19.0
qqwzd,-7.1,110.9,2.0,1.0,13.0,9.0,12.0,7.0,3.0,17.0,10.0
qqwze,-7.1,110.9,51.0,49.0,392.0,608.0,552.0,382.0,245.0,350.0,523.0
qqwzg,-7.1,110.9,4.0,2.0,3.0,4.0,3.0,13.0,4.0,3.0,3.0
qqwzm,-7.1,111.0,2.0,,5.0,12.0,6.0,2.0,,,2.0
qqwzp,-7.2,111.1,33.0,13.0,55.0,46.0,51.0,24.0,33.0,34.0,21.0
qqwzr,-7.1,111.1,2.0,6.0,9.0,1.0,3.0,2.0,,,3.0
qqwzs,-7.1,110.9,1.0,1.0,245.0,78.0,39.0,79.0,83.0,119.0,166.0
qqwzu,-7.1,110.9,2.0,,4.0,4.0,2.0,36.0,7.0,8.0,
qqwzw,-7.1,111.0,2.0,2.0,15.0,6.0,8.0,14.0,5.0,2.0,
qqwzx,-7.1,111.1,3.0,1.0,14.0,11.0,22.0,14.0,14.0,13.0,7.0
qqx12,-8.2,111.1,1.0,1.0,13.0,46.0,24.0,19.0,401.0,17.0,12.0
qqx13,-8.2,111.2,5.0,5.0,25.0,14.0,21.0,13.0,16.0,33.0,15.0
qqx17,-8.2,111.2,1.0,,2.0,,,1.0,1.0,2.0,
qqx1b,-8.1,111.1,1.0,1.0,,3.0,1.0,,1.0,3.0,2.0
qqx1d,-8.2,111.2,43.0,21.0,161.0,121.0,122.0,58.0,67.0,60.0,88.0
qqx1e,-8.2,111.2,1.0,,,2.0,,,,3.0,
qqx1h,-8.2,111.3,1.0,2.0,4.0,1.0,,5.0,1.0,,2.0
qqx1k,-8.2,111.3,9.0,7.0,43.0,27.0,14.0,19.0,27.0,23.0,13.0
qqx1s,-8.2,111.3,3.0,5.0,28.0,23.0,40.0,35.0,23.0,18.0,31.0
qqx1z,-8.1,111.4,25.0,11.0,36.0,55.0,33.0,19.0,24.0,43.0,49.0
qqx28,-8.3,111.5,1.0,,,,,1.0,,1.0,
qqx2g,-8.3,111.6,1.0,,2.0,,,1.0,7.0,2.0,1.0
qqx2y,-8.3,111.7,8.0,1.0,180.0,5.0,18.0,8.0,2.0,10.0,8.0
qqx33,-8.2,111.5,1.0,2.0,11.0,1.0,1.0,2.0,,1.0,
qqx3c,-8.1,111.5,1.0,1.0,,1.0,,1.0,2.0,,
qqx3h,-8.2,111.6,2.0,6.0,1.0,,,,5.0,2.0,
qqx3m,-8.2,111.7,2.0,,12.0,4.0,11.0,13.0,6.0,4.0,9.0
qqx3n,-8.2,111.7,9.0,5.0,38.0,12.0,4.0,5.0,1.0,7.0,2.0
qqx3q,-8.2,111.7,7.0,1.0,51.0,13.0,29.0,86.0,71.0,37.0,41.0
qqx3u,-8.1,111.6,25.0,61.0,235.0,180.0,193.0,187.0,158.0,88.0,125.0
qqx3x,-8.2,111.8,2.0,,2.0,39.0,24.0,8.0,12.0,10.0,5.0
qqx4m,-8.0,111.3,21.0,8.0,3.0,6.0,3.0,,,2.0,
qqx4p,-8.1,111.4,4.0,2.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0
qqx4r,-8.0,111.4,4.0,1.0,4.0,4.0,12.0,10.0,24.0,17.0,12.0
qqx4v,-7.9,111.3,2.0,,5.0,3.0,6.0,1.0,,2.0,
qqx4x,-8.0,111.4,3.0,,12.0,4.0,6.0,10.0,18.0,12.0,7.0
qqx53,-7.8,111.2,23.0,38.0,146.0,73.0,35.0,44.0,35.0,24.0,52.0
qqx54,-7.9,111.2,1.0,,,,,,,,
qqx55,-7.9,111.2,1.0,,6.0,14.0,7.0,3.0,,3.0,3.0
qqx56,-7.8,111.2,18.0,32.0,38.0,29.0,13.0,33.0,19.0,1.0,5.0
qqx57,-7.8,111.2,1.0,,17.0,4.0,4.0,2.0,,,2.0
qqx58,-7.8,111.1,5.0,8.0,132.0,139.0,154.0,137.0,88.0,94.0,133.0
qqx5d,-7.8,111.2,1.0,,14.0,7.0,24.0,14.0,3.0,8.0,8.0
qqx5e,-7.8,111.2,48.0,59.0,115.0,64.0,126.0,117.0,73.0,78.0,68.0
qqx5g,-7.8,111.2,1.0,2.0,18.0,7.0,20.0,6.0,11.0,4.0,4.0
qqx5j,-7.9,111.3,1.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,
qqx5n,-7.9,111.4,1.0,1.0,4.0,45.0,1.0,3.0,5.0,4.0,2.0
qqx5q,-7.8,111.4,1.0,,6.0,4.0,2.0,13.0,3.0,,
qqx5r,-7.8,111.4,2.0,12.0,14.0,5.0,10.0,2.0,2.0,1.0,1.0
qqx5s,-7.8,111.3,2.0,3.0,7.0,,1.0,,,,
qqx5u,-7.8,111.3,2.0,,4.0,1.0,,,,,
qqx5v,-7.8,111.3,2.0,17.0,172.0,311.0,252.0,131.0,60.0,221.0,239.0
qqx5w,-7.8,111.4,1.0,,7.0,3.0,4.0,,1.0,2.0,23.0
qqx63,-8.0,111.5,1.0,,,1.0,,17.0,2.0,1.0,
qqx69,-8.0,111.5,1.0,,8.0,1.0,,,,,1.0
qqx6b,-7.9,111.5,7.0,33.0,16.0,6.0,1.0,9.0,17.0,16.0,20.0
qqx6d,-8.0,111.6,6.0,,27.0,7.0,15.0,5.0,12.0,8.0,8.0
qqx6j,-8.1,111.7,41.0,19.0,262.0,94.0,83.0,69.0,42.0,35.0,74.0
qqx6m,-8.0,111.7,117.0,86.0,2596.0,4760.0,3291.0,2437.0,1742.0,1294.0,3007.0
qqx6n,-8.1,111.7,7.0,4.0,26.0,66.0,52.0,39.0,64.0,73.0,160.0
qqx6r,-8.0,111.8,1.0,1.0,3.0,,,2.0,2.0,,
qqx6v,-7.9,111.7,1.0,1.0,2.0,3.0,2.0,,1.0,3.0,1.0
qqx6x,-8.0,111.8,1.0,4.0,22.0,2.0,,,2.0,,2.0
qqx6y,-7.9,111.7,58.0,13.0,69.0,72.0,18.0,10.0,17.0,7.0,20.0
qqx70,-7.9,111.5,5.0,2.0,32.0,28.0,25.0,16.0,9.0,14.0,8.0
qqx71,-7.9,111.5,1.0,,2.0,4.0,7.0,4.0,10.0,2.0,4.0
qqx72,-7.8,111.5,209.0,133.0,1238.0,1014.0,1275.0,778.0,938.0,773.0,1284.0
qqx73,-7.8,111.5,7.0,4.0,24.0,23.0,20.0,12.0,18.0,10.0,3.0
qqx78,-7.8,111.5,31.0,8.0,27.0,37.0,51.0,21.0,28.0,21.0,48.0
qqx79,-7.8,111.5,10.0,21.0,26.0,30.0,15.0,16.0,17.0,17.0,23.0
qqx7b,-7.8,111.5,12.0,1.0,124.0,152.0,163.0,104.0,107.0,67.0,52.0
qqx7f,-7.8,111.6,3.0,,12.0,12.0,5.0,5.0,12.0,8.0,5.0
qqx7h,-7.9,111.6,1.0,,3.0,4.0,10.0,4.0,1.0,,2.0
qqx7j,-7.9,111.7,2.0,,17.0,2.0,9.0,5.0,4.0,6.0,4.0
qqx7m,-7.8,111.7,2.0,1.0,1.0,,,,,,
qqx7u,-7.8,111.6,1.0,4.0,18.0,34.0,38.0,12.0,12.0,5.0,13.0
qqx7z,-7.8,111.8,1.0,,1.0,2.0,2.0,,1.0,,1.0
qqx8y,-8.3,112.1,1.0,1.0,9.0,3.0,8.0,5.0,,,2.0
qqx92,-8.2,111.8,2.0,1.0,,,1.0,,,1.0,
qqx99,-8.2,111.9,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,
qqx9b,-8.1,111.8,11.0,1.0,424.0,2588.0,3282.0,1218.0,296.0,452.0,211.0
qqx9d,-8.2,111.9,41.0,7.0,12.0,8.0,4.0,8.0,5.0,3.0,8.0
qqx9e,-8.2,112.0,10.0,5.0,5.0,7.0,1.0,1.0,2.0,2.0,10.0
qqx9g,-8.1,112.0,54.0,54.0,287.0,142.0,212.0,179.0,213.0,238.0,161.0
qqx9p,-8.2,112.1,5.0,4.0,12.0,5.0,10.0,8.0,6.0,4.0,3.0
qqx9s,-8.2,112.0,1.0,,5.0,2.0,4.0,,2.0,4.0,
qqx9u,-8.1,112.0,13.0,10.0,68.0,27.0,32.0,31.0,17.0,9.0,24.0
qqx9v,-8.1,112.0,1.0,,8.0,11.0,5.0,1.0,7.0,3.0,2.0
qqx9x,-8.2,112.1,2.0,3.0,9.0,44.0,101.0,47.0,48.0,32.0,31.0
qqxbb,-8.3,112.2,1.0,,2.0,2.0,2.0,1.0,2.0,,1.0
qqxbg,-8.3,112.3,1.0,,,,,1.0,,,
qqxbx,-8.3,112.5,9.0,6.0,6.0,2.0,4.0,,,,
qqxc3,-8.2,112.2,1.0,2.0,8.0,4.0,5.0,,,2.0,
qqxc9,-8.2,112.2,7.0,4.0,17.0,28.0,11.0,6.0,10.0,7.0,12.0
qqxcb,-8.1,112.2,313.0,209.0,2099.0,1658.0,2094.0,1402.0,1356.0,1381.0,1718.0
qqxcc,-8.1,112.2,4.0,8.0,61.0,59.0,69.0,27.0,21.0,31.0,12.0
qqxce,-8.2,112.3,1.0,,2.0,,1.0,1.0,,,4.0
