geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
snvvy,39.0,8.4,1.0,,5.0,2.0,3.0,2.0,3.0,1.0,1.0
snvzn,39.2,8.4,3.0,42.0,96.0,55.0,28.0,46.0,42.0,202.0,27.0
snyjg,39.0,8.6,10.0,5.0,5.0,4.0,6.0,3.0,7.0,,
snyjx,39.0,8.8,1.0,1.0,3.0,5.0,2.0,3.0,1.0,,
snymu,39.0,9.0,3.0,17.0,20.0,19.0,10.0,6.0,7.0,14.0,1.0
snyn5,39.0,8.6,28.0,121.0,130.0,80.0,82.0,62.0,50.0,158.0,41.0
snyn9,39.1,8.5,15.0,147.0,317.0,176.0,164.0,170.0,118.0,337.0,116.0
snynf,39.2,8.5,2.0,1.0,2.0,2.0,6.0,5.0,4.0,6.0,
snyng,39.2,8.6,5.0,14.0,3.0,10.0,9.0,8.0,3.0,19.0,
snynj,39.0,8.7,4.0,22.0,26.0,4.0,,2.0,,1.0,
snynk,39.1,8.6,17.0,11.0,63.0,40.0,46.0,37.0,45.0,27.0,7.0
snynu,39.2,8.6,1.0,4.0,4.0,1.0,1.0,3.0,,1.0,
snyny,39.2,8.7,1.0,,2.0,1.0,2.0,1.0,1.0,,
snyp0,39.2,8.5,1.0,5.0,5.0,3.0,,,,,
snyp1,39.2,8.5,1.0,17.0,5.0,1.0,1.0,3.0,8.0,17.0,6.0
snyp2,39.3,8.5,2.0,13.0,14.0,25.0,9.0,1.0,,1.0,2.0
snypd,39.3,8.5,41.0,221.0,292.0,223.0,283.0,200.0,205.0,273.0,42.0
snype,39.3,8.6,14.0,3.0,55.0,58.0,76.0,53.0,204.0,104.0,9.0
snyps,39.3,8.6,2.0,1.0,5.0,,1.0,1.0,1.0,1.0,1.0
snyq2,39.1,8.8,2.0,1.0,2.0,,,1.0,,,
snyqs,39.1,9.0,3.0,19.0,24.0,42.0,25.0,39.0,38.0,29.0,6.0
snyqt,39.1,9.0,1.0,34.0,54.0,94.0,92.0,27.0,42.0,92.0,28.0
snyqu,39.2,9.0,8.0,77.0,148.0,43.0,98.0,87.0,17.0,69.0,18.0
snyre,39.3,8.9,8.0,6.0,70.0,52.0,55.0,68.0,84.0,33.0,11.0
snyrp,39.2,9.1,1195.0,5045.0,7646.0,5308.0,4583.0,3078.0,2672.0,5284.0,1407.0
snyrq,39.3,9.1,2.0,35.0,43.0,7.0,8.0,6.0,6.0,8.0,
snyrr,39.3,9.1,6.0,15.0,38.0,32.0,43.0,49.0,54.0,63.0,33.0
snyrs,39.3,9.0,24.0,81.0,174.0,165.0,126.0,64.0,49.0,91.0,14.0
snyrt,39.3,9.0,1.0,,4.0,5.0,9.0,4.0,,3.0,
snyru,39.4,9.0,8.0,39.0,34.0,23.0,14.0,9.0,7.0,13.0,2.0
snyrw,39.3,9.1,21.0,63.0,280.0,151.0,110.0,152.0,275.0,188.0,43.0
snyrx,39.3,9.1,2.0,1.0,8.0,5.0,5.0,3.0,3.0,7.0,2.0
snywb,39.2,9.2,6.0,5.0,24.0,3.0,4.0,,6.0,2.0,
snywv,39.2,9.4,4.0,4.0,6.0,,1.0,1.0,1.0,1.0,1.0
snyx1,39.2,9.2,10.0,139.0,183.0,222.0,128.0,130.0,105.0,125.0,41.0
snyx2,39.3,9.2,18.0,90.0,181.0,165.0,203.0,190.0,137.0,118.0,27.0
snyx5,39.2,9.3,2.0,,1.0,1.0,,,,1.0,
snyx9,39.3,9.2,1.0,3.0,4.0,1.0,1.0,12.0,3.0,2.0,1.0
snyxd,39.3,9.3,11.0,23.0,45.0,15.0,19.0,4.0,2.0,,
snyy8,39.1,9.5,1.0,9.0,18.0,4.0,4.0,,1.0,24.0,3.0
spjbp,39.4,8.4,8.0,24.0,53.0,60.0,67.0,57.0,57.0,81.0,16.0
spjyv,40.6,8.3,2.0,3.0,10.0,22.0,26.0,18.0,18.0,7.0,7.0
spjzh,40.6,8.3,2.0,,1.0,,,,,,
spjzy,40.8,8.4,4.0,104.0,93.0,54.0,24.0,18.0,15.0,88.0,180.0
spmbg,40.9,8.2,1.0,4.0,17.0,9.0,9.0,8.0,1.0,1.0,
spmbr,40.8,8.4,1.0,65.0,110.0,29.0,17.0,25.0,40.0,60.0,15.0
spmct,41.1,8.3,3.0,9.0,2.0,1.0,,,,,
spn0b,39.5,8.5,7.0,10.0,29.0,34.0,13.0,25.0,9.0,10.0,3.0
spn0t,39.5,8.7,2.0,,2.0,,,,,,
spn0u,39.5,8.6,13.0,33.0,70.0,21.0,25.0,8.0,2.0,13.0,2.0
spn0x,39.5,8.8,1.0,,,,5.0,,,,
spn10,39.6,8.5,3.0,2.0,6.0,8.0,25.0,19.0,24.0,18.0,5.0
spn1u,39.7,8.6,12.0,52.0,57.0,14.0,11.0,6.0,15.0,25.0,4.0
spn1v,39.7,8.7,1.0,2.0,18.0,7.0,5.0,,5.0,14.0,2.0
spn27,39.4,8.9,8.0,52.0,51.0,57.0,114.0,125.0,224.0,352.0,76.0
spn2d,39.5,8.9,35.0,105.0,154.0,71.0,86.0,82.0,87.0,124.0,28.0
spn2j,39.4,9.0,1.0,3.0,10.0,3.0,1.0,7.0,,3.0,3.0
spn2n,39.4,9.1,6.0,18.0,48.0,48.0,48.0,25.0,24.0,25.0,7.0
spn2y,39.5,9.1,2.0,20.0,14.0,14.0,9.0,2.0,8.0,11.0,2.0
spn34,39.6,8.9,4.0,17.0,43.0,17.0,8.0,10.0,5.0,21.0,1.0
spn37,39.6,8.9,3.0,17.0,14.0,2.0,4.0,1.0,,,
spn47,39.8,8.6,13.0,8.0,14.0,8.0,13.0,33.0,11.0,4.0,2.0
spn4h,39.7,8.6,3.0,12.0,16.0,7.0,3.0,2.0,4.0,5.0,11.0
spn4k,39.8,8.6,1.0,,1.0,,,,,,
spn54,39.9,8.5,2.0,45.0,65.0,14.0,19.0,5.0,11.0,16.0,1.0
spn55,39.9,8.6,17.0,167.0,317.0,180.0,190.0,109.0,100.0,230.0,60.0
spn5q,40.0,8.7,8.0,63.0,244.0,311.0,328.0,186.0,115.0,137.0,18.0
spn60,39.7,8.8,3.0,24.0,26.0,12.0,6.0,6.0,7.0,8.0,3.0
spn66,39.8,8.9,1.0,2.0,,,,,1.0,1.0,
spn6e,39.8,8.9,3.0,,,,,2.0,,,
spn6k,39.8,9.0,1.0,13.0,19.0,7.0,7.0,5.0,5.0,3.0,
spn6q,39.8,9.1,1.0,8.0,8.0,4.0,,,,,
spn73,40.0,8.9,1.0,4.0,19.0,2.0,1.0,1.0,1.0,,1.0
spn75,39.9,8.9,4.0,7.0,18.0,5.0,3.0,1.0,1.0,2.0,1.0
spn7g,40.1,8.9,2.0,2.0,2.0,,,,,,
spn7s,40.0,9.0,150.0,783.0,566.0,727.0,687.0,70.0,56.0,78.0,50.0
spn7w,40.0,9.1,1.0,,2.0,,,,,1.0,3.0
spn81,39.4,9.2,1.0,2.0,8.0,7.0,5.0,,1.0,3.0,1.0
spn8b,39.5,9.2,1.0,,2.0,,2.0,5.0,6.0,,
spn8c,39.5,9.2,1.0,18.0,18.0,3.0,1.0,,2.0,13.0,3.0
spn9f,39.7,9.3,6.0,43.0,70.0,16.0,24.0,22.0,20.0,26.0,3.0
spnb6,39.4,9.6,8.0,52.0,82.0,45.0,49.0,20.0,18.0,34.0,13.0
spndm,39.8,9.4,1.0,5.0,4.0,5.0,3.0,3.0,,2.0,1.0
spne2,40.0,9.2,115.0,185.0,411.0,300.0,245.0,229.0,266.0,298.0,24.0
spne3,40.0,9.2,2.0,2.0,2.0,,,,,,
spne8,40.0,9.2,1.0,6.0,13.0,12.0,13.0,3.0,1.0,6.0,
spnf2,39.8,9.5,9.0,8.0,23.0,12.0,19.0,11.0,12.0,4.0,3.0
spnf6,39.8,9.6,6.0,5.0,22.0,3.0,4.0,7.0,4.0,4.0,1.0
spnfb,39.9,9.5,3.0,18.0,10.0,2.0,6.0,1.0,3.0,11.0,1.0
spng0,39.9,9.5,2.0,7.0,57.0,28.0,19.0,76.0,43.0,15.0,6.0
spng5,39.9,9.6,3.0,18.0,38.0,20.0,13.0,9.0,2.0,10.0,3.0
spng7,40.0,9.6,5.0,22.0,49.0,58.0,72.0,31.0,13.0,26.0,7.0
spnge,40.0,9.6,1.0,1.0,8.0,1.0,2.0,3.0,3.0,,
spngh,39.9,9.7,1.0,8.0,9.0,,2.0,6.0,4.0,6.0,1.0
spngk,40.0,9.7,4.0,14.0,32.0,24.0,30.0,17.0,35.0,42.0,10.0
spnhk,40.1,8.6,1.0,2.0,,1.0,1.0,,1.0,2.0,
spnj1,40.3,8.5,3.0,14.0,26.0,15.0,6.0,14.0,7.0,14.0,3.0
spnj3,40.3,8.5,10.0,4.0,3.0,,,,1.0,1.0,
spnj4,40.3,8.5,2.0,8.0,12.0,2.0,6.0,1.0,3.0,,2.0
spnjp,40.3,8.8,2.0,7.0,4.0,,,,1.0,3.0,
spnju,40.4,8.6,20.0,37.0,13.0,5.0,,,,,
spnk5,40.1,8.9,2.0,1.0,,5.0,8.0,,,,
spnkj,40.1,9.0,1049.0,6150.0,7666.0,5158.0,4602.0,3017.0,2873.0,5110.0,1159.0
spnmm,40.3,9.0,1.0,1.0,7.0,4.0,,1.0,3.0,6.0,
spnmr,40.3,9.1,5.0,1.0,2.0,3.0,1.0,,,,1.0
spnmv,40.4,9.0,8.0,14.0,209.0,173.0,76.0,57.0,46.0,54.0,24.0
spnn7,40.5,8.6,1.0,30.0,17.0,16.0,7.0,2.0,,2.0,2.0
spnn8,40.5,8.5,4.0,17.0,12.0,8.0,8.0,2.0,2.0,,
spnnr,40.5,8.8,1.0,15.0,16.0,3.0,5.0,5.0,4.0,2.0,1.0
spnp6,40.7,8.5,1.0,13.0,4.0,8.0,2.0,12.0,6.0,10.0,
spnp7,40.7,8.6,3.0,35.0,75.0,57.0,67.0,25.0,25.0,36.0,11.0
spnp8,40.7,8.5,4.0,,4.0,,,,,,
spnpd,40.7,8.5,194.0,1298.0,1573.0,1853.0,1823.0,1048.0,1183.0,2330.0,411.0
spnpe,40.7,8.6,3.0,8.0,18.0,15.0,15.0,26.0,36.0,23.0,10.0
spnpm,40.7,8.7,2.0,24.0,74.0,99.0,108.0,39.0,15.0,29.0,16.0
spnq9,40.5,8.9,6.0,40.0,49.0,65.0,92.0,84.0,64.0,68.0,11.0
spnqu,40.6,9.0,5.0,19.0,48.0,37.0,42.0,29.0,13.0,55.0,13.0
spnqy,40.6,9.1,3.0,1.0,,,,,,,
spnqz,40.6,9.1,4.0,6.0,36.0,22.0,45.0,60.0,41.0,29.0,10.0
spnrg,40.8,8.9,2.0,11.0,7.0,5.0,8.0,17.0,24.0,18.0,
spns3,40.1,9.2,2.0,11.0,31.0,14.0,10.0,4.0,8.0,14.0,
spns4,40.1,9.3,3.0,17.0,9.0,11.0,10.0,3.0,8.0,12.0,
spnsg,40.2,9.3,2.0,,20.0,9.0,1.0,4.0,3.0,8.0,1.0
spnss,40.2,9.3,1.0,8.0,21.0,,,,,,
spnst,40.2,9.4,11.0,31.0,28.0,36.0,15.0,7.0,12.0,21.0,3.0
spnt7,40.3,9.3,4.0,42.0,103.0,68.0,65.0,44.0,33.0,16.0,3.0
spntk,40.3,9.3,21.0,275.0,482.0,415.0,189.0,105.0,100.0,237.0,68.0
spntn,40.3,9.4,5.0,8.0,13.0,4.0,4.0,1.0,7.0,6.0,1.0
spnv4,40.3,9.6,4.0,27.0,39.0,19.0,17.0,9.0,5.0,24.0,1.0
spnvs,40.4,9.7,1.0,6.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0
spnw3,40.5,9.2,1.0,,,1.0,1.0,,,,
spnwm,40.5,9.4,9.0,8.0,9.0,4.0,,2.0,2.0,2.0,3.0
spnwv,40.6,9.4,2.0,1.0,6.0,,,2.0,,1.0,
spnwy,40.6,9.4,2.0,3.0,,,,,1.0,60.0,42.0
spnyc,40.6,9.6,13.0,34.0,101.0,73.0,49.0,35.0,44.0,29.0,4.0
spnyu,40.6,9.7,2.0,,1.0,,,1.0,1.0,,
spnz1,40.6,9.6,1.0,,3.0,2.0,3.0,5.0,17.0,21.0,3.0
spnze,40.7,9.6,1.0,,5.0,1.0,1.0,,,,
spnzg,40.8,9.6,1.0,,2.0,,,,3.0,1.0,
spnzu,40.8,9.7,7.0,17.0,52.0,18.0,13.0,15.0,18.0,16.0,4.0
spq05,40.8,8.6,1.0,20.0,38.0,7.0,8.0,4.0,5.0,12.0,2.0
spq21,40.8,8.9,1.0,,7.0,8.0,,,,1.0,
spq2e,40.9,8.9,1.0,3.0,7.0,,1.0,6.0,1.0,2.0,
spq2y,40.9,9.1,1.0,,1.0,1.0,1.0,,,1.0,
spq8b,40.9,9.2,7.0,12.0,20.0,15.0,4.0,7.0,7.0,6.0,1.0
spq8h,40.8,9.3,1.0,11.0,24.0,11.0,14.0,23.0,18.0,12.0,2.0
spq8z,40.9,9.5,2.0,34.0,49.0,10.0,3.0,3.0,4.0,4.0,
spq99,41.1,9.2,11.0,60.0,60.0,51.0,101.0,110.0,106.0,105.0,31.0
spq9v,41.1,9.4,1.0,3.0,3.0,,,2.0,5.0,,2.0
spqb2,40.8,9.5,6.0,8.0,23.0,13.0,14.0,7.0,20.0,15.0,3.0
spqb9,40.9,9.6,1.0,66.0,45.0,102.0,57.0,33.0,19.0,61.0,27.0
spqbb,40.9,9.5,121.0,568.0,799.0,507.0,405.0,302.0,228.0,359.0,64.0
spqbh,40.8,9.7,3.0,8.0,27.0,16.0,8.0,12.0,5.0,6.0,2.0
spqc9,41.1,9.6,1.0,,,,,,2.0,,
spqd8,41.2,9.2,1.0,1.0,,,,,,,
spqdk,41.2,9.3,1.0,2.0,8.0,4.0,4.0,13.0,8.0,11.0,1.0
spqdm,41.2,9.4,23.0,41.0,112.0,140.0,88.0,78.0,84.0,113.0,24.0
spqdq,41.2,9.4,6.0,42.0,37.0,25.0,32.0,19.0,12.0,33.0,4.0
spugy,44.3,7.0,2.0,3.0,8.0,6.0,10.0,4.0,5.0,3.0,1.0
spuzf,45.0,6.8,6.0,21.0,30.0,199.0,236.0,72.0,13.0,14.0,3.0
spuzg,45.0,6.8,1.0,,,,1.0,3.0,,4.0,
spuzq,44.9,7.0,1.0,2.0,4.0,2.0,1.0,5.0,4.0,2.0,
spuzu,45.0,6.9,1.0,30.0,16.0,7.0,4.0,4.0,,2.0,
spv3e,43.9,7.5,2.0,26.0,18.0,86.0,195.0,17.0,43.0,92.0,4.0
spv3g,43.9,7.5,1.0,,4.0,1.0,,1.0,,,
spv3h,43.8,7.6,4.0,,4.0,4.0,3.0,4.0,17.0,19.0,6.0
spv3j,43.8,7.6,2.0,11.0,18.0,5.0,,2.0,,,1.0
spv3k,43.8,7.6,6.0,18.0,26.0,8.0,11.0,38.0,25.0,16.0,2.0
spv3m,43.8,7.6,3.0,1.0,8.0,10.0,12.0,6.0,12.0,5.0,2.0
spv3p,43.8,7.7,48.0,40.0,112.0,40.0,48.0,37.0,51.0,47.0,1.0
spv3q,43.8,7.7,1.0,5.0,9.0,3.0,8.0,4.0,3.0,5.0,1.0
