geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
esgjv,27.8,-18.0,1.0,4.0,6.0,12.0,4.0,5.0,7.0,13.0,1.0
esgjw,27.7,-18.0,2.0,13.0,35.0,14.0,8.0,2.0,6.0,14.0,3.0
esgjy,27.8,-18.0,9.0,70.0,165.0,307.0,357.0,220.0,244.0,330.0,102.0
esgjz,27.8,-18.0,1.0,7.0,13.0,27.0,7.0,5.0,12.0,18.0,7.0
esgmb,27.8,-17.9,2.0,3.0,5.0,2.0,1.0,,,,
esgq0,27.8,-17.9,6.0,29.0,87.0,131.0,262.0,115.0,70.0,107.0,73.0
esgxv,28.1,-17.3,3.0,16.0,277.0,731.0,45.0,29.0,31.0,27.0,11.0
esgxw,28.1,-17.3,2.0,,,,,,,,
esgxx,28.1,-17.2,285.0,1219.0,4351.0,5148.0,5313.0,3784.0,2774.0,3002.0,1801.0
esgxz,28.1,-17.2,1.0,5.0,4.0,1.0,1.0,2.0,8.0,1.0,
esgz9,28.1,-17.2,28.0,33.0,86.0,26.0,22.0,10.0,12.0,12.0,19.0
esgzc,28.1,-17.2,4.0,,5.0,3.0,3.0,2.0,9.0,9.0,6.0
esgzf,28.1,-17.1,44.0,51.0,61.0,35.0,27.0,22.0,15.0,33.0,14.0
esupe,28.1,-16.7,91.0,302.0,923.0,1447.0,816.0,1021.0,1246.0,644.0,362.0
esupf,28.1,-16.8,3.0,19.0,24.0,8.0,5.0,12.0,10.0,12.0,1.0
esupg,28.1,-16.7,55.0,208.0,434.0,398.0,385.0,258.0,227.0,430.0,221.0
esupk,28.0,-16.7,33.0,100.0,204.0,139.0,149.0,162.0,132.0,195.0,114.0
esupm,28.0,-16.6,48.0,75.0,160.0,139.0,131.0,95.0,180.0,165.0,80.0
esups,28.1,-16.7,11.0,54.0,123.0,114.0,112.0,108.0,132.0,195.0,82.0
esupt,28.1,-16.6,1.0,9.0,34.0,35.0,55.0,22.0,13.0,33.0,12.0
esupu,28.1,-16.7,105.0,294.0,858.0,881.0,828.0,432.0,273.0,386.0,184.0
esupv,28.1,-16.6,4.0,27.0,69.0,96.0,125.0,44.0,58.0,120.0,43.0
esupx,28.1,-16.5,279.0,889.0,2713.0,2441.0,2076.0,2173.0,1879.0,2401.0,1263.0
esupy,28.1,-16.6,38.0,106.0,275.0,334.0,290.0,411.0,255.0,391.0,219.0
esupz,28.1,-16.5,2.0,15.0,39.0,40.0,69.0,33.0,29.0,47.0,23.0
esuvv,27.8,-15.6,73.0,247.0,841.0,938.0,924.0,762.0,843.0,1049.0,570.0
esuy4,27.8,-15.7,14.0,10.0,39.0,26.0,28.0,40.0,76.0,97.0,16.0
esuy6,27.8,-15.7,1.0,14.0,19.0,3.0,6.0,29.0,6.0,18.0,23.0
esuy8,27.9,-15.8,4.0,2.0,11.0,4.0,2.0,4.0,5.0,11.0,2.0
esuyd,27.9,-15.7,3.0,22.0,36.0,17.0,10.0,11.0,11.0,12.0,16.0
esuye,27.9,-15.7,17.0,24.0,19.0,39.0,27.0,22.0,16.0,14.0,3.0
esuyq,27.8,-15.5,4.0,43.0,110.0,148.0,43.0,41.0,44.0,114.0,63.0
esuyv,27.9,-15.6,43.0,153.0,281.0,254.0,252.0,190.0,275.0,611.0,246.0
esuyx,27.9,-15.5,10.0,37.0,145.0,82.0,81.0,29.0,30.0,52.0,23.0
esuyy,27.9,-15.5,57.0,174.0,399.0,370.0,491.0,346.0,222.0,319.0,184.0
esuz0,28.0,-15.8,34.0,102.0,110.0,127.0,88.0,80.0,48.0,77.0,31.0
esuz6,28.0,-15.7,1.0,,2.0,3.0,,,7.0,7.0,
esuz7,28.0,-15.7,12.0,17.0,39.0,24.0,21.0,24.0,13.0,14.0,8.0
esuze,28.1,-15.7,1.0,2.0,2.0,,1.0,,,,
esuzf,28.1,-15.7,5.0,8.0,47.0,37.0,40.0,17.0,16.0,21.0,9.0
esuzg,28.1,-15.7,8.0,41.0,140.0,147.0,171.0,157.0,171.0,355.0,145.0
esuzn,28.0,-15.5,5.0,14.0,44.0,41.0,20.0,12.0,21.0,29.0,11.0
esuzp,28.0,-15.5,9.0,52.0,172.0,217.0,160.0,138.0,141.0,107.0,69.0
esuzq,28.0,-15.5,11.0,21.0,42.0,16.0,23.0,24.0,27.0,28.0,14.0
esuzr,28.0,-15.5,3520.0,10332.0,20830.0,16453.0,17238.0,13980.0,12572.0,18298.0,9372.0
esuzt,28.1,-15.6,90.0,395.0,706.0,428.0,491.0,503.0,481.0,654.0,370.0
esuzu,28.1,-15.6,2.0,4.0,12.0,7.0,19.0,14.0,17.0,23.0,1.0
esuzv,28.1,-15.6,48.0,137.0,289.0,213.0,215.0,246.0,247.0,359.0,156.0
esuzw,28.1,-15.5,23.0,66.0,193.0,215.0,184.0,106.0,112.0,162.0,70.0
esuzx,28.1,-15.5,7.0,53.0,161.0,131.0,163.0,131.0,78.0,120.0,80.0
esuzy,28.1,-15.5,65.0,190.0,370.0,176.0,168.0,147.0,190.0,317.0,130.0
esuzz,28.1,-15.5,26.0,92.0,274.0,359.0,233.0,171.0,156.0,207.0,73.0
esvn2,27.8,-15.4,33.0,120.0,327.0,399.0,371.0,336.0,351.0,424.0,159.0
esvn3,27.8,-15.4,7.0,42.0,89.0,24.0,45.0,43.0,23.0,54.0,21.0
esvn8,27.9,-15.4,23.0,106.0,289.0,252.0,225.0,173.0,151.0,280.0,136.0
esvn9,27.9,-15.4,1.0,,10.0,,8.0,2.0,,,
esvnb,27.9,-15.4,7.0,23.0,86.0,75.0,265.0,157.0,114.0,170.0,79.0
esvnc,27.9,-15.4,71.0,518.0,829.0,411.0,282.0,344.0,415.0,435.0,224.0
esvp0,28.0,-15.4,4.0,24.0,183.0,57.0,91.0,162.0,100.0,74.0,130.0
esvp1,28.0,-15.4,135.0,418.0,1219.0,1349.0,1104.0,905.0,831.0,1364.0,825.0
esvp2,28.0,-15.4,13.0,14.0,9.0,27.0,26.0,44.0,22.0,19.0,8.0
esvp3,28.0,-15.4,5.0,20.0,67.0,49.0,49.0,21.0,22.0,37.0,14.0
esvp8,28.1,-15.4,4.0,43.0,96.0,120.0,153.0,132.0,108.0,113.0,31.0
esvpb,28.1,-15.4,74.0,247.0,1080.0,4061.0,820.0,697.0,455.0,1364.0,673.0
esvpc,28.1,-15.4,1038.0,3259.0,7497.0,7182.0,6962.0,5009.0,4325.0,7314.0,3608.0
esvzd,28.1,-14.3,5.0,7.0,9.0,4.0,2.0,14.0,10.0,17.0,6.0
et54z,28.6,-18.0,14.0,63.0,148.0,83.0,59.0,67.0,79.0,110.0,72.0
et55p,28.7,-18.0,78.0,19.0,21.0,7.0,12.0,8.0,8.0,8.0,5.0
et55r,28.7,-18.0,4.0,1.0,11.0,8.0,8.0,8.0,2.0,8.0,1.0
et561,28.5,-17.9,2.0,,5.0,4.0,8.0,7.0,6.0,5.0,1.0
et569,28.6,-17.9,1.0,4.0,5.0,,2.0,13.0,15.0,8.0,3.0
et56b,28.6,-17.9,59.0,227.0,701.0,949.0,944.0,689.0,690.0,795.0,350.0
et56c,28.6,-17.9,6.0,16.0,52.0,34.0,20.0,13.0,14.0,57.0,17.0
et56e,28.6,-17.8,7.0,13.0,76.0,29.0,29.0,34.0,38.0,18.0,2.0
et56f,28.6,-17.8,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0
et56g,28.6,-17.8,111.0,143.0,222.0,118.0,99.0,98.0,140.0,121.0,66.0
et570,28.7,-17.9,25.0,144.0,283.0,235.0,256.0,285.0,330.0,615.0,262.0
et571,28.7,-17.9,9.0,40.0,211.0,220.0,291.0,161.0,127.0,146.0,80.0
et575,28.7,-17.8,222.0,830.0,1932.0,1612.0,1931.0,1463.0,1125.0,1677.0,739.0
et576,28.7,-17.8,3.0,25.0,49.0,17.0,4.0,11.0,4.0,5.0,7.0
