country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_reliable;FAC_unreliable;FAC_unknown
Denmark;DNK;2020-01-22;0;0;0;;;;;0.08799540636042405;0.034577860536267616;5.531655561247691;5.339045229796875;4.237571061758044;0.05459845749000131;0.03451271046041314;0.024242032846506386;-0.0013925231213872831;-0.0006309682080924855;-0.02481705635838152;-0.000534986512524085;0.07642052183227822;0.0007819679863274008;0.0005979110206852809;0.0022623187875027736;0.0005785315726920591;0.002088934005346812;413.0;329.0;222.0;180.0;;11.0;;1400378.0;347057.0;195714.0;;857607.0;;48.0;7.0;70.0
Denmark;DNK;2020-01-23;0;0;0;;;;;0.06709664268585129;0.02702683329095651;5.757649127160997;5.460067474426415;4.474133460578188;0.04794957488021796;0.02943055972074567;0.024145780187052414;-0.00047642512077294687;0.00022082125603864727;-0.02518117150908673;0.0005372020933977456;0.06774595718694892;0.0003453726497108161;0.00022082125603864727;0.0022100423738474198;0.0006702539677762678;0.0023492636376132017;718.0;507.0;410.0;285.0;7.0;16.0;;1474970.0;607896.0;302698.0;55762.0;508614.0;;82.0;31.0;129.0
Denmark;DNK;2020-01-24;0;0;0;;;;;0.1370718274111667;0.01984506356320364;5.8510773714837185;5.52923488579439;4.388215359241563;0.037622064341536025;0.022114684123059152;0.018125231910080586;-0.002670054406130268;-0.0011244778017241376;-0.019363031238026844;-0.0014450742097701153;0.05469067669420497;0.0006560087642052434;0.000510222541971336;0.0014934874912303755;0.0005887423509805879;0.002012082290536793;1413.0;986.0;829.0;562.0;5.0;11.0;6.0;1619923.0;775246.0;423187.0;11455.0;410035.0;0.0;126.0;29.0;156.0
Denmark;DNK;2020-01-25;0;0;0;;;;;0.0553879038939516;0.016690778168494395;5.432918859439414;5.3037899778700925;4.247887086968444;0.02261217231174705;0.015055375250750371;0.013546551348336787;-0.001432812914593698;-0.000859195895522388;-0.017885946800718745;-0.004583477529021563;0.06970366914085767;0.00037625317395673666;0.00029563146131343475;0.001297559894488518;0.0006545689893410801;0.001659037016117149;2193.0;1534.0;1217.0;953.0;7.0;16.0;;2748257.0;1129291.0;933700.0;53161.0;632105.0;;144.0;32.0;183.0
Denmark;DNK;2020-01-26;0;0;0;;;;;-0.2329508567931446;0.013314162682493727;5.214458878673323;5.231711043138741;4.383245024474959;0.018496305715521112;0.012832680199397754;0.011431238082219556;-0.0016057261035522287;-0.008121341584423203;-0.029197809185474467;-0.0011300401273483796;0.06319344350944492;0.0003978242553035044;0.0006133465165140267;0.0010104175902411103;0.0003798283447845202;0.0012082362081640569;2596.0;2107.0;1500.0;1070.0;7.0;19.0;;2906746.0;1353151.0;933891.0;84121.0;535583.0;;269.0;49.0;310.0
Denmark;DNK;2020-01-27;0;0;0;;;;;-0.3418185659410984;0.012945298750214234;5.1124897459218674;5.2489133906890295;4.437607102801996;0.0166867841149332;0.012315223210748464;0.010951077705489577;-0.0024126343223736953;-0.014825166746859138;-0.02743279602474481;-0.0003749071103982881;0.05703743122257327;0.00034431455258603484;0.0007052070078099003;0.000963549348064116;0.0002998768756397682;0.0012396500592525427;2238.0;1803.0;1243.0;978.0;1.0;16.0;;3251252.0;1203643.0;878077.0;8810.0;1160722.0;;424.0;45.0;230.0
Denmark;DNK;2020-01-28;0;0;0;;;;;-0.1542324448529411;0.016950804031958318;5.165012049834777;5.275046230249571;4.250144453784825;0.026666054357032426;0.016828517846107657;0.014324554272276128;-0.007561065450733766;-0.008832580814615146;-0.017982052009583846;-0.0005030022012578575;0.05107365310056792;0.0006469736885396429;0.0007078612045899806;0.0013397668296806279;0.0005669051162205133;0.00171294557502256;2063.0;1352.0;1187.0;827.0;2.0;47.0;;6071026.0;1308672.0;2077762.0;5544.0;2679048.0;;186.0;48.0;407.0
Denmark;DNK;2020-01-29;0;0;0;;;;;-0.2544961320754712;0.015814721859380564;5.033277658617366;5.104164294647532;4.355658072267679;0.026006388497030655;0.01766253716551876;0.014239524799970225;-0.0053377315292096215;-0.003603606529209621;-0.03190053011577483;-0.0010194010738831618;0.06776127171494016;0.0008157100104756;0.0006319848383314033;0.001432866871565185;0.00048200941231985733;0.001571355725847224;1891.0;1337.0;1040.0;810.0;13.0;28.0;;4166553.0;1108948.0;945340.0;496013.0;1616252.0;;76.0;28.0;187.0
Denmark;DNK;2020-01-30;0;0;0;;;;;-0.2126826163818504;0.013025648239093015;5.1051064123110645;5.189182710472082;4.309634199797266;0.019756196642745145;0.01346433405247248;0.01083221230738567;-0.002296801269560083;-0.001537375715972837;-0.032639681251845;5.599562191572784e-05;0.07116128016232523;0.00036790076567999814;0.00028867279457815763;0.0010039487345280408;0.00037162590870399047;0.0009527070176114755;2736.0;2068.0;1452.0;1252.0;8.0;24.0;;4851793.0;1469147.0;1425259.0;59338.0;1898049.0;;127.0;49.0;237.0
Denmark;DNK;2020-01-31;0;0;0;;;;;-0.3032035125066514;0.013026622140132095;4.8956467668619945;5.086187744464357;4.47462993017526;0.02221100383273321;0.014369412806073944;0.011348064939222002;-0.009126513391557522;-0.00984148410480348;-0.01924230751646206;-0.004443600014556032;0.058775079519078274;0.0005844167170009004;0.000631492628239912;0.0009274495993473164;0.0006079618026419343;0.0011634098396166948;2792.0;2186.0;1537.0;1211.0;5.0;39.0;;4067394.0;1345012.0;1400897.0;75696.0;1245789.0;;142.0;46.0;145.0
Denmark;DNK;2020-02-01;0;0;0;;;;;-0.2388090588235293;0.0189611013199414;5.010870273702267;5.139144489443658;4.3980134051052335;0.030428216508584974;0.021182559157840168;0.016130203952649837;-0.010627184530029357;-0.010613214965749466;-0.022018948877942056;-0.004923889408866994;0.06440889430327901;0.0008616192053189839;0.0008909269393141895;0.0012629891842015242;0.0006889234562440568;0.001474998714367259;1385.0;1029.0;806.0;556.0;8.0;15.0;;2549827.0;731388.0;568208.0;29454.0;1220777.0;;75.0;28.0;131.0
Denmark;DNK;2020-02-02;0;0;0;;;;;-0.14882606149341152;0.02228466495749538;5.153653179443674;5.171484007622836;4.35106292440871;0.03091275785247563;0.021606975718363067;0.01750206485316593;-0.0014661966807909602;-0.001353250058851224;-0.028272833121469013;-9.4352048022599e-05;0.0702483020459588;0.0005514827785660394;0.00039628140264384335;0.0015796157677370613;0.0005346193511419901;0.0015364700424877456;1235.0;876.0;704.0;489.0;14.0;28.0;;2649002.0;747266.0;680532.0;51158.0;1170046.0;;69.0;10.0;118.0
Denmark;DNK;2020-02-03;0;0;0;;;;;-0.2034861759425494;0.024177106770196702;5.100837567896848;5.10789891983044;4.407194397099269;0.0367407159526057;0.025773077771847498;0.020754402174974186;-0.0019025097517730496;-0.0019492818262411343;-0.02900179937943265;-0.00017179095744680856;0.07190632621897154;0.0006649368293414939;0.0006052288701348058;0.001739343456075655;0.0005854848377903548;0.001807145621632482;1062.0;706.0;611.0;421.0;2.0;28.0;;2930464.0;651004.0;626457.0;1342.0;1651661.0;;76.0;18.0;92.0
