ADM0_A3,date,num_bot,num_hum,pct_num_bot,num_unrel_fact,num_rel_fact,pct_unrel_fact,fol_unrel_exp,fol_rel_exp,risk_index,sentiment
AFG,2020-03-10,3358,6018,0.358,119,229,0.342,158556,362217,0.304,-0.025
AGO,2020-03-10,881,1424,0.382,21,55,0.276,75439,109088,0.409,-0.065
ALB,2020-03-10,789,920,0.462,22,44,0.333,149588,58865,0.718,-0.053
ARE,2020-03-10,1207,1752,0.408,23,121,0.16,49741,1381666,0.035,-0.002
ARG,2020-03-10,22726,32636,0.41,297,1447,0.17,4246918,43420593,0.089,-0.025
ARM,2020-03-10,82,132,0.383,0,15,0,0,17427,0,-0.008
AUS,2020-03-10,14792,20707,0.417,548,2010,0.214,2905379,27033568,0.097,-0.063
AUT,2020-03-10,2720,3683,0.425,60,248,0.195,139425,448710,0.237,-0.005
AZE,2020-03-10,398,563,0.414,18,36,0.333,49324,70050,0.413,-0.072
BDI,2020-03-10,123,127,0.492,3,10,0.231,1990,13471,0.129,-0.071
BEL,2020-03-10,5183,7370,0.413,141,546,0.205,973992,7648474,0.113,-0.029
BEN,2020-03-10,353,391,0.474,4,17,0.19,1625,15283,0.096,-0.006
BFA,2020-03-10,465,768,0.377,18,38,0.321,100940,106060,0.488,-0.085
BGD,2020-03-10,1017,1375,0.425,31,103,0.231,23569,151870,0.134,0.021
BGR,2020-03-10,482,611,0.441,8,51,0.136,11059,154527,0.067,-0.01
BHR,2020-03-10,195,287,0.405,2,15,0.118,2955,39210,0.07,0.014
BHS,2020-03-10,243,365,0.4,13,19,0.406,26973,762185,0.034,-0.042
BIH,2020-03-10,295,501,0.371,8,32,0.2,10549,100498,0.095,-0.031
BLR,2020-03-10,151,217,0.41,5,19,0.208,49967,30088,0.624,-0.081
BLZ,2020-03-10,99,81,0.55,4,9,0.308,1885,61069,0.03,0.035
BOL,2020-03-10,970,1656,0.369,28,63,0.308,19751,113036,0.149,-0.037
BRA,2020-03-10,10619,14512,0.423,370,933,0.284,7507220,50419228,0.13,-0.083
BRB,2020-03-10,191,254,0.429,2,8,0.2,3727,10504,0.262,-0.078
BRN,2020-03-10,305,399,0.433,0,5,0,0,1173,0,0.205
BTN,2020-03-10,80,63,0.559,1,3,0.25,1347,5052,0.211,0.092
BWA,2020-03-10,464,597,0.437,10,33,0.233,14034,87861,0.138,-0.061
CAF,2020-03-10,519,842,0.381,9,54,0.143,90862,1820731,0.048,-0.025
CAN,2020-03-10,23355,30966,0.43,993,3375,0.227,4843815,34855219,0.122,-0.049
CHE,2020-03-10,3844,5481,0.412,97,340,0.222,248142,834089,0.229,-0.016
CHL,2020-03-10,4084,6389,0.39,116,255,0.313,201310,6864058,0.028,-0.056
CHN,2020-03-10,2916,4469,0.395,58,249,0.189,203724,664489,0.235,0.004
CIV,2020-03-10,452,687,0.397,17,29,0.37,18936,38187,0.331,-0.048
CMR,2020-03-10,698,1076,0.393,16,58,0.216,77116,160082,0.325,-0.033
COD,2020-03-10,926,1463,0.388,24,38,0.387,37659,122408,0.235,-0.011
COG,2020-03-10,156,216,0.419,2,10,0.167,1834,10300,0.151,-0.043
COL,2020-03-10,10804,16677,0.393,262,457,0.364,605770,1624544,0.272,-0.004
COM,2020-03-10,1178,1400,0.457,55,106,0.342,1397909,9956307,0.123,-0.027
CPV,2020-03-10,155,37,0.807,8,24,0.25,3923,8514,0.315,0.077
CRI,2020-03-10,1702,2363,0.419,32,104,0.235,107181,227978,0.32,-0.04
CUB,2020-03-10,1997,3468,0.365,66,69,0.489,558047,383916,0.592,0.008
CYP,2020-03-10,493,719,0.407,11,50,0.18,161037,274052,0.37,-0.087
CZE,2020-03-10,704,951,0.425,19,52,0.268,14250,167069,0.079,-0.026
DEU,2020-03-10,17376,22251,0.438,587,1636,0.264,19607090,36870477,0.347,-0.022
DJI,2020-03-10,74,91,0.448,0,7,0,0,18935,0,-0.058
DNK,2020-03-10,1538,2093,0.424,26,104,0.2,47575,123002,0.279,-0.044
DOM,2020-03-10,1083,1962,0.356,41,90,0.313,365989,487735,0.429,-0.005
DZA,2020-03-10,380,535,0.415,8,21,0.276,4102,132824,0.03,0.072
ECU,2020-03-10,5424,9240,0.37,203,201,0.502,193872,396941,0.328,0.006
EGY,2020-03-10,1214,1862,0.395,21,123,0.146,67418,1472451,0.044,0.03
ERI,2020-03-10,40,49,0.449,1,4,0.2,8845,2991,0.747,-0.047
ESP,2020-03-10,84480,123422,0.406,2095,4235,0.331,5484175,75857567,0.067,0.001
EST,2020-03-10,477,590,0.447,11,29,0.275,9029,283008,0.031,-0.082
ETH,2020-03-10,485,776,0.385,8,46,0.148,37844,219664,0.147,0.012
FIN,2020-03-10,1599,2181,0.423,39,173,0.184,160345,759711,0.174,-0.005
FJI,2020-03-10,160,245,0.395,13,26,0.333,19573,24143,0.448,-0.09
FRA,2020-03-10,41585,56894,0.422,1323,2734,0.326,2898123,151249307,0.019,-0.046
GAB,2020-03-10,129,224,0.365,5,6,0.455,29174,15318,0.656,-0.091
GBR,2020-03-10,58550,82358,0.416,1920,6397,0.231,111123556,843234902,0.116,-0.032
GEO,2020-03-10,103,85,0.548,3,18,0.143,10707,13899,0.435,0.031
GHA,2020-03-10,1407,2058,0.406,28,93,0.231,57549,185815,0.236,-0.043
GIN,2020-03-10,182,309,0.371,33,9,0.786,54380,28781,0.654,-0.063
GMB,2020-03-10,8,20,0.286,0,2,0,0,3710,0,0.041
GNB,2020-03-10,124,102,0.549,3,8,0.273,11130,11656,0.488,-0.037
GNQ,2020-03-10,52,40,0.565,1,2,0.333,2400,960,0.714,0.027
GRC,2020-03-10,1974,2566,0.435,68,249,0.215,140330,691513,0.169,-0.025
GTM,2020-03-10,1179,1952,0.377,59,48,0.551,566373,141551,0.8,-0.051
GUY,2020-03-10,79,104,0.432,2,12,0.143,9489,30281,0.239,0.04
HKG,2020-03-10,2346,3083,0.432,61,467,0.116,222862,18025790,0.012,-0.11
HND,2020-03-10,637,940,0.404,40,26,0.606,49975,53761,0.482,-0.076
HRV,2020-03-10,325,462,0.413,9,32,0.22,11618,59662,0.163,-0.064
