datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-03-20,99,4,3,18,240672,240452,16178,2,36,0,61,0.0806029411764706,5.2651607018712285,4.131377203692993,5.343839258694522,,,,,,,,,
2020-03-20,233,22,8,32,309111,310663,258811,3,104,0,126,-0.04683428571428571,5.29509799831017,4.40542837206653,5.519456361073137,,,,,,,,,
2020-03-20,425,35,10,64,285454,7492,280130,5,187,0,233,0.06974891774891775,5.469619637098714,4.421093238758632,5.806761961810245,,,,,,,,,
2020-03-20,739,42,13,91,37251,5557,106007,0,350,0,389,-0.10031008174386921,5.274927264858727,4.291715137777801,5.3567705244421955,,,,,,,,,
2020-03-20,853,43,22,82,28154,18270,351947,8,353,0,492,-0.18058635170603674,5.1572280443915055,4.303080617755556,5.225427484701679,-0.008006666666666665,-0.048287750000000004,-0.009694124999999994,0.062787,-0.043087464285714284,,,,
2020-03-20,556,49,6,83,72984,7857,140664,0,223,0,333,-0.23278333333333331,5.1773622623416236,4.365762746791261,5.18780938589493,-0.05252325,-0.050950499999999996,-0.05934,0.08923337499999999,-0.05372075,,,,
2020-03-20,509,29,13,71,49548,12816,276838,1,217,0,291,-0.1525220640569395,5.254693937235604,4.271574032118675,5.194267155904061,-0.052503,-0.050851,-0.05934,0.089987,-0.061556,,,,
2020-03-20,582,16,14,73,32949,8409,159240,1,267,0,314,-0.14961746575342466,5.171038802744389,4.400136634103275,5.145219394282956,-0.05758116666666666,-0.0660365,-0.05934,0.08168791666666667,-0.07672375000000001,,,,
2020-03-20,1034,38,21,122,274534,56821,187331,4,438,0,592,-0.0770421768707483,5.18390880723674,4.2884043867690975,5.217120128995348,-0.019141416666666664,-0.08682133333333335,-0.0014228888888888878,0.01626437037037037,-0.10703383333333333,,,,
2020-03-20,706,25,16,83,14392,10646,129543,0,276,0,430,-0.11591896955503513,5.254958136764692,4.337736263950274,5.179118650914924,-0.05875186666666666,-0.06604891666666667,-0.04514811111111111,0.06930566666666667,-0.08102766666666666,,,,
2020-03-20,411,10,6,56,7238,94509,95229,0,172,0,239,-0.19058870967741934,5.213221878904571,4.328379819610589,5.136177059526419,,,,,,,,,
2020-03-20,375,23,3,45,19409,2853,151602,9,107,0,259,-0.15584886877828052,5.142286967003736,4.3315049105502945,5.102576767125092,-0.05048950000000001,-0.0521315,-0.05934,0.0837025,-0.044458,,,,
2020-03-20,295,14,5,50,453326,3267,276207,2,105,0,188,-0.19803954802259885,5.1370125226625225,4.329289052378268,5.078690090392541,,,,,,,,,
2020-03-20,290,11,4,60,248807,2052,497838,3,100,0,187,-0.12474777777777778,5.1580211557765905,4.324229012382545,5.181796387036876,,,,,,,,,
2020-03-20,289,13,1,41,9230,771,99437,0,96,0,193,-0.1382489010989011,5.195324479679228,4.319588392830013,5.196299067320017,-0.072006,-0.08329900000000001,-0.05934,0.08347,-0.11158850000000001,,,,
2020-03-20,237,14,7,42,441141,5049,180119,4,93,0,140,-0.13231311475409835,5.114344486270608,4.346874000771542,5.042488857801196,,,,,,,,,
2020-03-20,274,41,2,35,27712,757,449670,3,94,0,177,-0.1862124183006536,5.151525104094872,4.384926485228811,5.093941874877921,,,,,,,,,
2020-03-20,299,48,2,45,51032,2094,52284,0,108,0,191,-0.08314161490683229,5.144441245451838,4.3317280876489015,5.044732809263044,,,,,,,,,
2020-03-20,243,18,5,40,53566,3298,160032,0,65,0,178,-0.11715912408759123,5.210232821864825,4.296202701198324,5.129230534573321,,,,,,,,,
2020-03-20,212,22,4,25,8728,733,12478,0,60,0,152,-0.15863712121212123,5.3088899471740385,4.279800830482649,5.3155989086670905,,,,,,,,,
2020-03-20,235,17,6,8,33260,6144,3916,2,75,0,158,-0.1623296052631579,5.234046654932369,4.321590339818911,5.2878378885003885,-0.052372,-0.0593935,-0.05934,0.0808792,-0.03790766666666667,,,,
2020-03-20,168,7,4,10,4448,13601,7332,2,35,0,131,-0.13186272727272727,5.126762173742437,4.369154394825447,5.047289910382015,,,,,,,,,
2020-03-20,191,14,6,17,270743,436947,84118,3,59,0,129,-0.19145533980582524,5.2311578799287135,4.286926575739075,5.259247308761197,-0.046094,-0.048774,-0.05934,0.0797686,-0.041859,,,,
2020-03-20,183,7,4,28,31402,423,90121,0,70,0,113,-0.13229574468085106,5.333453857253858,4.260127732056303,5.297393834472405,-0.046094,-0.048774,-0.05934,0.0797686,-0.041859,,,,
2020-03-20,203,8,4,39,2846,966,68949,1,65,0,137,-0.028464285714285713,5.232246856861776,4.326140564856291,5.207621821279079,,,,,,,,,
2020-03-20,244,42,4,23,58524,1281,73951,3,84,1,156,-0.046550505050505044,5.195751709075239,4.3251017756753045,5.242115851196734,,,,,,,,,
2020-03-20,192,16,4,25,10468,3631,66832,1,64,0,127,-0.06749897959183673,5.2512320539542765,4.3142899759705315,5.25152871190024,,,,,,,,,
2020-03-20,187,6,5,24,849316,4243,87997,2,67,0,118,-0.16788571428571428,5.247211202377869,4.380326937372392,5.280724811664205,,,,,,,,,
2020-03-20,182,6,2,28,2627,391,185660,2,78,0,102,-0.18127938144329897,5.239656838343063,4.416643349847432,5.36057426077324,,,,,,,,,
2020-03-20,154,15,1,14,32187,221,5433,0,82,0,72,-0.21071685393258424,5.146674096406239,4.37619567271353,5.072438311688312,-0.054885,-0.055489,-0.05934,0.0850286,-0.047057,,,,
2020-03-20,207,14,5,22,5578,2052,75411,0,74,0,133,-0.1507242105263158,5.20940372559733,4.295086687302164,5.241951126876169,,,,,,,,,
2020-03-20,255,28,0,30,35301,0,18912,0,104,0,151,-0.24028880597014926,5.225145184662832,4.289901104120448,5.138603301671514,,,,,,,,,
2020-03-20,286,19,1,24,8618,312,44105,2,86,0,198,-0.17572795031055902,5.259351921355531,4.309389789577624,5.270984077968971,,,,,,,,,
2020-03-20,520,25,7,34,11906,27878,41194,2,132,2,384,-0.1693085409252669,5.278534506397493,4.276084864860589,5.26861215504874,,,,,,,,,
2020-03-20,616,27,7,61,87255,12291,365881,7,239,0,370,-0.1456207756232687,5.341269876351792,4.271198405549513,5.327003428953171,-0.026048499999999995,-0.072857,0.004523500000000003,0.018875,-0.076917,,,,
2020-03-20,545,24,7,53,27251,432565,48810,2,211,0,332,-0.09286514522821578,5.338237972509722,4.305451231308374,5.366319288547723,,,,,,,,,
2020-03-20,683,28,15,66,451397,12470,120997,9,240,0,434,-0.05040691358024691,5.325264983691355,4.260645961234628,5.3769597492715135,,,,,,,,,
2020-03-20,770,23,22,56,467757,21679,443535,13,271,0,486,-0.051703298969072164,5.278139350885675,4.34278012734998,5.304320038937686,-0.060695,-0.073906,-0.05934,0.08347,-0.100386,,,,
2020-03-20,661,34,10,52,449730,7223,73895,6,287,0,368,-0.05490742574257426,5.361853502893306,4.328839477700662,5.443023817374147,-0.0492009375,-0.049294000000000004,-0.051357062499999995,0.0745595125,-0.054823,,,,
2020-03-20,644,23,9,53,865616,429845,52756,12,288,0,344,-0.0631541450777202,5.289059689703726,4.290724553438195,5.345650181425517,,,,,,,,,
2020-03-20,784,37,20,111,272790,24705,375755,1,314,4,465,-0.06886675749318802,5.40185016155477,4.314969081895758,5.512102724866692,-0.070862,-0.023968500000000004,-0.05643183333333333,0.08478016666666667,-0.07935149999999999,,,,
2020-03-20,668,21,8,61,10232,4832,84608,9,269,0,390,-0.1194032,5.222006270551456,4.338888792287039,5.257985173470992,-0.05058422807017544,-0.046872701754385966,-0.05281965789473684,0.07694227631578947,-0.08023580701754386,,,,
2020-03-20,788,28,13,65,24764,31435,165873,1,324,1,462,-0.07583600917431194,5.351629193730653,4.276907899771324,5.375621306164572,-0.033535546666666666,-0.06227020000000001,-0.049760475,0.055270234523809525,-0.10368885000000001,,,,
2020-03-20,792,28,14,91,45395,11035,105149,5,284,4,499,-0.04708207547169812,5.369835253565175,4.2688973567457165,5.4504271395879735,-0.030302333333333334,-0.056292,-0.05934,0.05721716666666666,-0.110044,,,,
2020-03-20,753,32,11,109,872794,7079,144651,4,303,6,440,-0.07418051044083526,5.199261083443709,4.3800566342215035,5.158602427976284,-0.069836,-0.07051650000000001,-0.05934,0.08347,-0.080351,,,,
2020-03-20,797,38,20,65,25317,38152,365873,7,326,0,464,-0.1738893442622951,5.2206717299966945,4.352024206569049,5.134806070759358,-0.0425365,-0.056608375,-0.051357062499999995,0.06627507916666667,-0.0734525,,,,
2020-03-20,794,34,10,46,269413,431263,98705,8,355,1,430,-0.04989793814432989,5.360445313958007,4.336892140998885,5.391208707876483,-0.046094,-0.048774,-0.05933999999999999,0.0728129,-0.041859,,,,
2020-03-20,870,23,11,79,31232,9647,157314,16,389,0,465,-0.06706829745596869,5.388243807891192,4.308486288917878,5.441660062550907,-0.06997975000000001,-0.06318625,-0.05934,0.08464333333333333,-0.06545025,,,,
2020-03-20,843,31,8,67,272613,6029,764854,14,337,0,492,-0.012824267782426778,5.367872509773607,4.270863672389538,5.366733559399927,-0.031418812500000004,-0.03442941666666667,-0.034602499999999994,0.05153875,-0.035852499999999995,,,,
