iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_diff_market_cap;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown
ARE;2020-01-22;0;0;0;;;;;;-0.06755575221238941;0.031097372227602643;5.255599554118457;5.241767151421559;4.216486685233538;0.039531991773175436;0.02788689085733204;0.021072060599774543;-3.259192825112109e-05;0.00024426905829596417;-0.020004023473200943;0.001002102338244715;0.07933416865969105;0.00024952710590218257;0.0004010964364064506;0.001976109587273993;0.0003671850677690277;0.0017769476940339586;561.0;413.0;310.0;220.0;1.0;30.0;;25709001.0;1081400.0;681162.0;13021.0;23933418.0;;60.0;22.0;88.0;1658756.0;11476792.0;6447341.0
ARE;2020-01-23;0;0;0;;;;;;-0.02070740103270222;0.02134245245389844;5.469723555638084;5.347224704348492;4.386340360182988;0.03600739951929127;0.023255022737129292;0.017797051120843926;-0.00017721286231884054;-0.0002510489130434783;-0.02355618817934781;8.883106884057967e-05;0.07613392164473509;0.00021514016405078885;0.00027392689030591847;0.0016746030125241141;0.00031791262209791984;0.001555992494750806;1123.0;809.0;597.0;430.0;4.0;92.0;;122360625.0;2450605.0;1159010.0;47374.0;118703636.0;;128.0;50.0;123.0;5700227.0;90218654.0;10581435.0
ARE;2020-01-24;0;0;0;;;;;;0.05035746124030978;0.017769312863299497;5.620144607151908;5.389314263440559;4.382281488977079;0.031233530856305237;0.019576295734130826;0.015024249879952866;-0.0013038510638297873;0.00028685866261398183;-0.0217953234983356;0.0004280494934143865;0.0634323366249334;0.0003733418857444471;0.0003248194261639197;0.0012665932660009464;0.00037536465266880414;0.0015495338983590925;2016.0;1374.0;1101.0;870.0;4.0;41.0;;93864748.0;3143152.0;2826560.0;84632.0;87810404.0;;170.0;92.0;134.0;3083098.0;67991937.0;7600204.0
ARE;2020-01-25;0;0;0;;;;;;-0.11052246171298916;0.013585168928092086;5.438109808222634;5.305082126503597;4.297797424345975;0.02095129369746416;0.013680956841857978;0.011643449426244986;-0.0011832038495188102;-0.0005482353455818021;-0.017386154157813524;0.0016791568095654752;0.056784916897634964;0.0003303680044007277;0.0002477819406705485;0.0011489690534746946;0.0004208441431154377;0.0013749136392896145;3635.0;2480.0;2179.0;1409.0;8.0;39.0;;35531766.0;5029494.0;1960001.0;118431.0;28423840.0;;269.0;79.0;153.0;4222140.0;11527841.0;10315363.0
ARE;2020-01-26;0;0;0;;;;;;-0.04707641558441554;0.013346989353889026;5.4233017841144635;5.272981675975107;4.252737123412362;0.018581863908649226;0.013241881070249772;0.011740982436828534;-0.001112668693740122;-0.0013119282106782105;-0.02566353164124209;0.0008283466098055381;0.06972443979449279;0.00023984111354678663;0.0002540990283784693;0.0009356466898017187;0.00026251022171936225;0.0009845240765519985;3842.0;2881.0;2226.0;1491.0;13.0;112.0;;82315519.0;5424053.0;2738104.0;391037.0;73762325.0;;244.0;87.0;194.0;9233176.0;34074539.0;7097247.0
ARE;2020-01-27;0;0;0;;;;;;-0.16977727002967374;0.01407477822029058;5.197136140240572;5.3103701654679565;4.295731758993708;0.014982046158847503;0.012621358720679087;0.010117241210512771;-0.0011624927628058914;-0.003248060319337665;-0.011658024061558362;0.010785250581509986;0.048531720280493636;0.0002003054439157156;0.0003227642690681145;0.0008775567566615557;0.00041934701926845525;0.0011186721462955508;3241.0;2615.0;1865.0;1293.0;7.0;76.0;;98501218.0;3613662.0;1880150.0;107432.0;92899974.0;;273.0;79.0;184.0;8712719.0;67632447.0;10202353.0
ARE;2020-01-28;0;0;0;;;;;;-0.14598497523390278;0.012166134216344585;5.264321149742457;5.32532913639333;4.242204611632794;0.015118828969468815;0.011518840059110762;0.008683210705819915;-0.0018000746089049339;-0.0016737232250300849;-0.009891709297461412;0.01033521513633782;0.04743199307859863;0.00023951878225115077;0.00023707821357937003;0.000936945926190061;0.00043185136865987967;0.0011053065776666466;3325.0;2702.0;1842.0;1394.0;11.0;78.0;;90136060.0;3591363.0;3317637.0;150614.0;83076446.0;;194.0;82.0;212.0;11009182.0;56377276.0;5880641.0
ARE;2020-01-29;4;0;0;;;;;;-0.06622082957619466;0.010812238712447728;5.377424579501189;5.296659109920304;4.305070559776957;0.016963865209023533;0.012543888767110576;0.010271808997836394;-0.004349466946778713;-0.0026179141876750693;-0.018194897968520668;0.000990494813079078;0.0610903512123231;0.0005687755321116969;0.00041511370015795163;0.0011178684889575252;0.0004067930428387463;0.0012744007907508088;4715.0;3576.0;2805.0;1666.0;25.0;219.0;;105137144.0;6401630.0;4482682.0;376254.0;93876578.0;;270.0;51.0;223.0;7793380.0;90078.0;14361496.0
ARE;2020-01-30;4;0;0;;;;;;-0.02680908145580596;0.009918382817436849;5.322578299145623;5.2713586907968395;4.264996096101916;0.015363337203091274;0.011292195063696287;0.008559131290599539;-0.0011803558016877645;-0.0007279612605485231;-0.025939960181208272;0.001702209859053575;0.06575001652845792;0.0002421453611921981;0.00018585920925734764;0.0008275972184672598;0.0002533215827495489;0.0008233321099123522;5041.0;3811.0;2887.0;1984.0;31.0;139.0;;85179371.0;5849208.0;2977455.0;854453.0;75498255.0;;255.0;113.0;347.0;4867907.0;325468.0;10266579.0
ARE;2020-01-31;4;0;0;;;;;;-0.11690619434765752;0.010953348954945277;5.221229153705369;5.249080336278391;4.3028617002009915;0.016969841652287657;0.011630286335869544;0.00993619955039853;-0.0015627434173669465;-0.0013981106942777114;-0.028039837012207185;0.0006765263447686768;0.06668581267925779;0.0002732483894253445;0.0002445854528841136;0.0008278727829009065;0.00029141018779712364;0.0009012529792847113;4405.0;3477.0;2491.0;1771.0;18.0;125.0;;68288855.0;5463710.0;6403890.0;783542.0;55637713.0;;209.0;53.0;287.0;2004602.0;275414.0;11619879.0
ARE;2020-02-01;4;0;0;;;;;;-0.08027137699845296;0.012237963600391684;5.235906580418972;5.267437817030744;4.29264762544914;0.01789904323127254;0.012439121513317023;0.01027496403513435;-0.0018801042370702255;-0.0010188694491703038;-0.02847835549679033;-0.00029828922565771666;0.07059158471910255;0.00035120217944763574;0.00031872257137993936;0.0009073538050034472;0.00031811746240576985;0.0009475057358954334;3132.0;2579.0;1949.0;1096.0;8.0;79.0;;48158242.0;7665650.0;4057383.0;176896.0;36258313.0;;108.0;42.0;180.0;2063266.0;78508.0;12041385.0
ARE;2020-02-02;5;0;0;;;;;;-0.01552012094557454;0.012810889070784894;5.327683412969685;5.299003242332802;4.32441995184702;0.01883459051738118;0.012483660362663736;0.010207311530030409;-0.0007781071620274518;-0.0006257000779592568;-0.027658638539989105;0.0010717362050456263;0.07153874445282153;0.0002295600191229208;0.00019463558552179768;0.0009547550051066438;0.0002825678123394005;0.0008813706611397319;3052.0;2315.0;1760.0;1138.0;15.0;139.0;;66079481.0;5434434.0;2350320.0;1465923.0;56828804.0;;147.0;23.0;140.0;2529293.0;123551.0;12127473.0
ARE;2020-02-03;5;0;0;;;;;;-0.02133300835654597;0.014511116303131606;5.249845188367092;5.236433674837664;4.3523533084193815;0.020496299427419918;0.015188237488378603;0.011868490273188318;-0.00047177908415841583;1.450618811881185e-05;-0.023976200171088518;0.0006087478341584153;0.07255502358375752;0.00021248614205129224;0.0001662889207344214;0.0011681517705226;0.0003542055833504149;0.0011635298678802498;2434.0;1911.0;1348.0;930.0;16.0;140.0;;75568798.0;4410347.0;4862110.0;380107.0;65916234.0;;123.0;33.0;161.0;2223558.0;156126.0;15058586.0
ARE;2020-02-04;5;0;0;;;;;;-0.12886565961732124;0.01709921703549304;5.193544457837533;5.205761270898498;4.342373673400989;0.02581798037788338;0.018332612804609686;0.014096011678063904;-0.0008501395184135977;-0.0003238385269121814;-0.024097822481901225;0.00025382872993389983;0.07226475654552382;0.0002750559207421377;0.0002705221703667562;0.0012066551388279544;0.0003551476262549248;0.0012174902711726352;1753.0;1350.0;1044.0;583.0;10.0;116.0;;75763040.0;3602851.0;1273716.0;182212.0;70704261.0;;86.0;23.0;104.0;3784663.0;22579406.0;6893182.0
ARE;2020-02-05;5;0;0;;;;;;-0.038687326943557004;0.01780627183254762;5.295641203358341;5.246012699777909;4.318221939779958;0.026387677607519845;0.018436567065908918;0.014695809188345;-0.0005799355371900827;-0.0002832157024793388;-0.024890962391447027;-0.000505405785123967;0.07287808088368923;0.0002830691608363773;0.00019900425258917583;0.0012844738210127545;0.0003815728427225253;0.0012509336558941824;1511.0;1193.0;890.0;517.0;9.0;95.0;;48169341.0;2823073.0;1260914.0;35782.0;44049572.0;;80.0;17.0;99.0;1809796.0;10805.0;7010267.0
ARE;2020-02-06;5;0;0;;;;;;-0.19388991769547312;0.016581371909584662;5.156366434864093;5.172599923359236;4.395912197783951;0.027783469743325028;0.018645286007345063;0.015372245283296945;-0.001058723470661673;-0.0001981797752808988;-0.024493863295880217;0.0003430432584269661;0.07201793914080604;0.0004072706875191458;0.00039720631162301737;0.0014003427892956973;0.0004526387935138465;0.0013367325935928988;1523.0;1215.0;862.0;560.0;9.0;92.0;;59196133.0;2731802.0;1924036.0;197465.0;54342830.0;;101.0;26.0;79.0;4589267.0;11410547.0;5254767.0
ARE;2020-02-07;5;0;0;;;;;;-0.11839659982563212;0.01654656704897704;5.173414152187448;5.177168544170296;4.37250542541423;0.02491260493580526;0.01758673790969671;0.013948540058062365;-0.0012910902872777018;-0.0002562790697674418;-0.023935158331704832;0.0006531267897856813;0.07216111276127736;0.00033945942747720177;0.0003261753556701268;0.0012262575998246265;0.00035036138870274836;0.0012075271904761198;1896.0;1629.0;1100.0;729.0;10.0;57.0;;30548364.0;2426824.0;1984652.0;84568.0;26052320.0;;376.0;16.0;98.0;1448484.0;105932.0;8094343.0
ARE;2020-02-08;7;0;0;;;;;;-0.0553596203623814;0.015739880344707316;5.1288720440064814;5.14170112571352;4.371252714955221;0.02795130705216685;0.018557471033736242;0.013649145610077287;-0.002343408843537416;-0.0020315003401360533;-0.016921894470359616;-0.0010705525170068033;0.07331942620594438;0.0003853311972459226;0.00040343015529175486;0.0010919813222135036;0.00045168663895312893;0.001110904147696486;1862.0;1584.0;1095.0;677.0;12.0;78.0;;45221499.0;2607256.0;1946747.0;241394.0;40426102.0;;343.0;18.0;162.0;2361043.0;8479.0;17603222.0
ARE;2020-02-09;7;0;0;;;;;;-0.06819586077140186;0.016409168499878453;5.285162266629074;5.239653068827894;4.3169758515766965;0.02839580092025206;0.01883116487748564;0.013752627296720605;-0.0007272990041928721;-0.00023337028301886791;-0.020280374532045585;0.001224728825995807;0.06905061397208602;0.00025929171286485453;0.0002300170365528645;0.0013562843904973724;0.0004004779731574679;0.0014607804564970481;1739.0;1440.0;1084.0;565.0;6.0;84.0;;39212965.0;3000085.0;1149115.0;66582.0;34997183.0;;120.0;19.0;164.0;327343.0;32867.0;7119195.0
ARE;2020-02-10;8;0;0;;;;;;-0.0853744939271256;0.016275417217423437;5.279496515759472;5.2389125528663465;4.269204081922214;0.02514721729273537;0.019608905450471118;0.013848737697328051;-0.0006761303986710963;0.00019433554817275745;-0.019954493909191615;0.0007740539867109633;0.07214734020215183;0.0002936250446307054;0.0003117815795361663;0.0013425444780908262;0.0003478495731623827;0.0013837737020853168;1672.0;1379.0;886.0;679.0;13.0;94.0;;85402211.0;3796718.0;1844520.0;199936.0;79561037.0;;145.0;23.0;147.0;5526094.0;11403558.0;9170036.0
ARE;2020-02-11;8;0;0;;;;;;-0.0791200995024875;0.01709224278750907;5.162473332697688;5.226520990616447;4.261466285745489;0.026728681778602343;0.01934637382316218;0.013627482261926746;-0.001124848551791851;-0.0011218880706921944;-0.01975316143838985;0.003306913549337268;0.06829851698808008;0.0002965776331025412;0.00036774942764640213;0.0012917803799854155;0.0005797234881871017;0.0012458843009831519;1606.0;1339.0;942.0;577.0;7.0;80.0;;73924402.0;3244140.0;897971.0;83366.0;69698925.0;;95.0;25.0;108.0;2122973.0;11381005.0;11704386.0
ARE;2020-02-12;8;0;1;;;;;;-0.12671398104265388;0.018352092689144128;5.189123962129162;5.182470678845529;4.361987203360124;0.02870871212845462;0.019279398467680058;0.017634747858847815;-0.0007700424005218525;-0.0008073705153294193;-0.026452932736930484;0.0005834753750815391;0.07341800544372977;0.00030256600902120565;0.00028431412679520186;0.0014982060639274933;0.0003894242731573892;0.0013307289549702042;1295.0;1093.0;669.0;531.0;9.0;86.0;;72287791.0;2026558.0;1030021.0;37534.0;69193678.0;;96.0;22.0;109.0;767909.0;22600353.0;8084319.0
ARE;2020-02-13;8;0;1;;;;;;-0.09730073260073263;0.017775991625487545;5.2680223853822135;5.264597438586714;4.297632406891983;0.02666211119599645;0.0190943152218564;0.01656066905071755;-0.0015723578856152508;-0.001315391681109185;-0.02487931221837097;-0.0007215816002310809;0.07535642148820383;0.0003729550149007826;0.0004359567359226096;0.0013627562339986864;0.0003909461251034537;0.001213569654584266;1359.0;1145.0;702.0;576.0;8.0;73.0;;68247513.0;1516668.0;1116232.0;52363.0;65562250.0;;75.0;32.0;68.0;1540982.0;22595483.0;5214247.0
ARE;2020-02-14;8;0;1;;;;;;-0.016654830614805608;0.019510489777414902;5.356603423274242;5.297028677438061;4.344177103306135;0.028538745426834083;0.020035734146043312;0.01593206413225533;-0.0015846650390624994;-0.0020395693359375;-0.019735506764036768;-0.0001837562174479173;0.06933832727775169;0.0003776856800102848;0.0004789162245994248;0.0015011833684214705;0.0005231031231382887;0.001501871470704158;1219.0;1048.0;537.0;597.0;10.0;75.0;;68508491.0;901988.0;3342055.0;103229.0;64161219.0;;80.0;32.0;67.0;2312320.0;22571438.0;4914857.0
ARE;2020-02-15;8;0;3;;;;;;-0.0999537414965988;0.022546052002214944;5.324070190920184;5.261629564083466;4.308484825534206;0.037217412944563086;0.025264413513011803;0.018493604711860786;-0.0007152095490716182;-9.06366047745359e-06;-0.02486038501326261;0.0004217679045092837;0.07569893416487722;0.00032839416976184925;0.00026243913180080876;0.0017305417004924086;0.0005428378227458391;0.0016160736102897955;1044.0;805.0;578.0;411.0;2.0;53.0;;83402295.0;1801421.0;3440222.0;20792.0;78139860.0;;112.0;9.0;42.0;820141.0;15848.0;2785416.0
