country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown
Austria;AUT;2020-01-22;0;0;0;-0.00411340494748202;-0.00153626393693251;0.00147048613901646;-0.00121968826746688;0.06232583892617442;0.03395042757722215;5.436085823943663;5.348787862192267;4.1663474999038765;0.044850367344947635;0.0309142460118302;0.024244250140809345;-0.00028958421052631585;-0.0005809157894736842;-0.02055253402255641;0.00033235676691729314;0.07955232894736845;0.00022671117235636078;0.00036977104383395363;0.0021571886794462805;0.00024944115489457843;0.0017093218760167884;698.0;347.0;373.0;299.0;6.0;20.0;;2272123.0;682948.0;514465.0;170628.0;904082.0;;67.0;38.0;66.0;191219.0;188025.0;330191.0
Austria;AUT;2020-01-23;0;0;0;-0.00206941615839895;-0.0026616195793582893;-0.0065943316217609285;-0.0104259792598675;-0.018183466135458147;0.024949700721929792;5.616510833616972;5.379962966177349;4.4273161618717936;0.04369699468873793;0.02747356983798771;0.02304116823855084;-0.0018834192090395481;-0.0012005677966101696;-0.022845525601291338;-0.0007484694915254241;0.07035744955435283;0.0006496511931782942;0.00045027551673156523;0.0018698205896535702;0.0006505971136442001;0.0020482946237317;1241.0;612.0;728.0;486.0;5.0;22.0;;3634670.0;1156389.0;1331165.0;193948.0;953168.0;;135.0;56.0;80.0;502957.0;237972.0;345229.0
Austria;AUT;2020-01-24;0;0;0;-0.009652341637002241;0.0020300412602587397;0.00150689741589716;0.00748953908287575;0.13940213243546504;0.01834037921875738;5.84185507863503;5.544010421350504;4.358766896349883;0.03478537160045485;0.020755211098880046;0.017793023320897567;-0.001813191194968553;-0.0006639726415094341;-0.02042496688679249;-0.0007487056603773586;0.055938371666666535;0.0004906240528478272;0.0005035498518434446;0.0014231045595379376;0.00046175547788906876;0.001817911455858905;2529.0;1154.0;1525.0;968.0;6.0;27.0;3.0;5248913.0;2411376.0;1261077.0;147058.0;1429402.0;0.0;232.0;82.0;124.0;384556.0;258679.0;350684.0
Austria;AUT;2020-01-25;0;0;0;;;;;-0.06237040737893921;0.01557456403356892;5.400266897417011;5.297707557523632;4.27963806120259;0.02312282536244135;0.015741640194190897;0.013773098015197624;-0.0021172778409090922;-0.001558117992424242;-0.020605938495671047;-0.0003258542613636364;0.059215003163484034;0.0004718528327459711;0.00039533331818872265;0.0012274258377163018;0.0005290435679529084;0.0015716640708539813;3971.0;1802.0;2460.0;1493.0;4.0;14.0;;5768323.0;3117894.0;1934241.0;103264.0;612924.0;;278.0;76.0;132.0;351662.0;130345.0;357010.0
Austria;AUT;2020-01-26;0;0;0;;;;;-0.15358047752809004;0.014414454071067081;5.306265505143881;5.20974998868313;4.266480985752732;0.02034018963286952;0.014685111615910018;0.014438285976754419;-0.0009531445263597164;-0.002368203018500485;-0.026044184182624518;0.0006468679811749428;0.06376921148914355;0.00033251547453551816;0.000357730102138944;0.0011211775315635626;0.00035436734255327184;0.0012459538302725874;4192.0;2213.0;2500.0;1640.0;6.0;46.0;;8140514.0;3432336.0;2396981.0;118301.0;2192896.0;;276.0;93.0;176.0;585124.0;213141.0;728723.0
Austria;AUT;2020-01-27;0;0;0;0.00770901217512687;-0.00603898205949349;-0.0102985402288969;-0.0150582086172939;-0.2336607082630701;0.016571783400483632;5.196381357794332;5.236727379467592;4.374068942532865;0.02088202553815357;0.016177700024310338;0.01403529034722098;-0.001303753620316051;-0.008258721975582665;-0.0214662505549388;0.0016280608583055876;0.062347522654379976;0.0003346616602642447;0.000674081672455821;0.0012664161417744822;0.0004097802950009939;0.001508626690881105;2971.0;1503.0;1766.0;1149.0;13.0;43.0;;9001495.0;3200002.0;2679252.0;183683.0;2938558.0;;346.0;74.0;174.0;1165134.0;267346.0;816463.0
Austria;AUT;2020-01-28;0;0;0;-0.015300290470293004;-0.0058455743706034;-0.0034955413382302693;0.00679645362611936;-0.14349228650137694;0.01681279848460868;5.324947389111706;5.334420398987024;4.235284563748065;0.02548968362403236;0.017010436550361233;0.01439601179766729;-0.004207392694063928;-0.004148360273972607;-0.017353424067188667;0.0006344089585528643;0.05518594063024549;0.000527907617043985;0.0005291450482894996;0.0015012023867555227;0.0005994849377627858;0.0017997053641120601;3285.0;1385.0;1906.0;1301.0;14.0;64.0;;10163358.0;3043452.0;3117242.0;477397.0;3525267.0;;256.0;80.0;188.0;901044.0;311134.0;721331.0
Austria;AUT;2020-01-29;0;0;0;0.00689919176491216;0.00450348035455583;0.0124058550921387;0.0044649802420071395;-0.1387586740331491;0.01777210769101876;5.212503760404867;5.2053612928902195;4.348103935302375;0.02726898640600239;0.019016240211399717;0.015857790764813518;-0.0062390881595881615;-0.002330362612612613;-0.022646241859716903;0.0001177119988119986;0.05976667980452606;0.0009883960218054033;0.0005886040706435117;0.0015483756942184278;0.0005321386964547938;0.0017901915905867837;2805.0;1255.0;1691.0;1060.0;9.0;45.0;;8186398.0;2583653.0;2160946.0;217043.0;3224756.0;;130.0;59.0;95.0;460074.0;162894.0;393679.0
Austria;AUT;2020-01-30;0;0;0;0.004190162717153;-0.00302775575955749;-0.009570881843101729;-0.0102807633812887;-0.03807260338345884;0.011874783204857612;5.256154143953675;5.252095453830092;4.244782336856717;0.018249929478265533;0.013513915457445768;0.010910171414068408;-0.003403007159961686;-0.002402232785987959;-0.025603876940109214;0.0017627852909482824;0.0617556898694112;0.00043729316180683014;0.0003582648193446517;0.0010215848501759347;0.0003906901112636669;0.001080078295579607;4640.0;2632.0;2813.0;1777.0;9.0;41.0;;9109812.0;4141257.0;2966458.0;167778.0;1834319.0;;210.0;90.0;267.0;627028.0;152510.0;505421.0
Austria;AUT;2020-01-31;0;0;0;-0.0102570505797406;-0.006475013367499121;-0.0087741881990091;-0.008798905442425559;-0.11670127582016987;0.014306453544615143;5.1897195835983005;5.23841892642066;4.313138121390826;0.02157870373574253;0.014656235281188038;0.013058456848737505;-0.0035950316987473233;-0.0035923553460492103;-0.025058516030872897;-0.001436786802275024;0.06005239489809978;0.00044495313896715706;0.00042709890013479016;0.0010374770300214814;0.0004952534363539238;0.0012139459452474401;3810.0;2111.0;2307.0;1446.0;18.0;39.0;;9287540.0;3640730.0;2709031.0;191419.0;2746360.0;;155.0;92.0;156.0;245086.0;214776.0;490557.0
