iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;ECO_diff_market_cap;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr;TWI_num;TWI_num_en;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown
SMR;2020-01-22;0;0;0;;;;;;0.20316;0.2129580658773511;5.0299848484848475;5.048106060606062;4.101919191919192;0.28776133529046993;0.17210829083488308;0.10263391825517808;0.0;0.0;-0.006593333333333333;0.0;0.07808503703703702;0.0;0.0;0.006593333333333333;0.0;0.006106679400268859;18.0;11.0;13.0;5.0;;;;6209.0;4687.0;1522.0;;;;3.0;1.0;1.0;2127.0;357.0;16.0
SMR;2020-01-23;0;0;0;;;;;;0.12573333333333336;0.25890587307187746;6.0044375;5.635199404761906;4.509476190476192;0.2553527340507682;0.12881181813075324;0.2421854436493785;0.0;0.0;-0.039560000000000005;0.0;0.08952052777777779;0.0;0.0;0.019780000000000002;0.0;0.0030444805980466877;37.0;9.0;14.0;23.0;;;;23151.0;8131.0;15020.0;;;;11.0;2.0;1.0;9169.0;626.0;269.0
SMR;2020-01-24;0;0;0;;;;;;0.17969047619047615;0.13667373609557176;5.7377284144426985;5.441675562532704;4.262797488226059;0.1955561370195764;0.12443022897842575;0.08964417351592953;0.0;0.0;-0.034229823529411764;0.0;0.06375924362745097;0.0;0.0;0.007509261870025073;0.0;0.008098120383564647;90.0;32.0;56.0;34.0;;;;50206.0;28534.0;21672.0;;;;19.0;5.0;3.0;9227.0;1887.0;1838.0
SMR;2020-01-25;0;0;0;;;;;;-0.04690263157894738;0.09088541599451268;5.101181277056279;5.111605535878262;4.2063936688311685;0.13362380144590294;0.0901411572409043;0.07037591573461449;0.0;0.0;-0.016845089285714286;0.0038473214285714282;0.04234102232142857;0.0;0.0;0.007044439894257873;0.0030068986870906435;0.010316414373043084;138.0;56.0;51.0;87.0;;;;77379.0;21239.0;56140.0;;;;9.0;4.0;3.0;7899.0;2370.0;763.0
SMR;2020-01-26;0;0;0;;;;;;-0.1231157894736842;0.1302483534738187;5.4601487150415755;5.309395313681028;4.204550831443688;0.2178766869119776;0.14397465368152831;0.13560588369352294;0.0;0.0;-0.016308071428571432;0.0023760714285714283;0.0479748514739229;0.0;0.0;0.010098312082036327;0.0023760714285714283;0.013510789696634912;56.0;35.0;34.0;22.0;;;;64113.0;52713.0;11400.0;;;;3.0;1.0;1.0;1827.0;357.0;0.0
SMR;2020-01-27;0;0;0;;;;;;-0.27499285714285715;0.15559508434009292;5.29608532948533;5.233611519961519;4.327943650793651;0.16943870881915468;0.1436234916337097;0.13247407080140736;-0.0031308461538461533;-0.003779153846153846;-0.022475115384615385;-0.00034508974358974363;0.0547822329059829;0.0031308461538461546;0.003779153846153846;0.008420038485080498;0.0010615422005384417;0.01208525230740449;48.0;18.0;21.0;27.0;;;;14270.0;4777.0;9493.0;;;;2.0;;3.0;1142.0;;893.0
SMR;2020-01-28;0;0;0;;;;;;0.4112666666666666;0.14408030157376578;5.73373469387755;5.772232426303854;4.0245164399092985;0.15624424707671206;0.15836444439436856;0.10392377581769847;0.0;0.0;-0.0074175;-0.0290575;0.03518010416666666;0.0;0.0;0.007417499999999999;0.0085071649109106;0.017514229572289233;39.0;15.0;19.0;20.0;;;;37178.0;12854.0;24324.0;;;;4.0;2.0;;4344.0;538.0;
SMR;2020-01-29;0;0;0;;;;;;-0.10235625;0.12060130906170065;5.134838293650794;5.074208333333334;4.395525793650794;0.2413656304636128;0.12393110348644144;0.16214985179999766;-0.01017525;-0.01228225;-0.02815975;0.0;0.07054028125;0.01017525;0.01228225;0.016304735817010342;0.0;0.024860506803293485;60.0;19.0;28.0;32.0;;;;45520.0;27040.0;18480.0;;;;7.0;;;6370.0;;
SMR;2020-01-30;0;0;0;;;;;;0.026656756756756758;0.09340365638525208;5.272741353180869;5.302114244178759;4.337769450531547;0.1328698769320637;0.10067788140442986;0.09500550832742488;-0.00845804347826087;-0.008471434782608695;-0.035219114492753605;-0.0029796014492753627;0.0650533205406912;0.00534701590209215;0.004971336762762985;0.007381431101766852;0.004541399881912287;0.007450759091012071;96.0;41.0;31.0;65.0;;;;39537.0;17205.0;22332.0;;;;3.0;2.0;5.0;811.0;1047.0;3129.0
SMR;2020-01-31;0;0;0;;;;;;-0.13275217391304348;0.1321160046720179;5.255827200577201;5.212329004329003;4.227801226551226;0.2001974711753368;0.1197455450355128;0.11633901234197665;-0.002565736842105263;-0.00286325730994152;-0.007423387134502924;-0.001020526315789475;0.04502668114035088;0.0025657368421052626;0.00286325730994152;0.009914579388752886;0.006430051711031603;0.011469732189977487;78.0;29.0;42.0;36.0;;;;104338.0;80661.0;23677.0;;;;2.0;;1.0;31840.0;;269.0
