date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_close;TWI_num;TWI_num_en;TWI_num_locallangs;TWI_num_unvhum;TWI_num_unvbot;TWI_num_verbot;TWI_num_verhum;TWI_num_unk;TWI_fol_all;TWI_fol_unvhum;TWI_fol_unvbot;TWI_fol_verbot;TWI_fol_verhum;TWI_fol_unk;FAC_num_reliable;FAC_num_unreliable;FAC_num_unknown;FAC_fol_reliable;FAC_fol_unreliable;FAC_fol_unknown;reliabile_num_local;reliabile_num_foreign;unreliabile_num_local;unreliabile_num_foreign;reliabile_fol_local;reliabile_fol_foreign;unreliabile_fol_local;unreliabile_fol_foreign;EMO_Sentiment;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N
2020-01-22;555.0;17.0;28.0;0.0;334585.0;156220.0;242881.0;189360.0;132312.0;2523.0;10390.0;0.0;14203130893.0;484832310.0;948653466.0;658876789.0;12110768328.0;0.0;33668.0;20353.0;38126.0;2760135561.0;1179902891.0;5018883800.0;24520.0;9148.0;15786.0;4567.0;2589461516.0;170674045.0;1132492780.0;47410111.0;-0.03570121071153793;5.301189767888447;5.235984401558118;4.23172073044704;-0.0011111310504469355;-0.0005149276850073859;-0.025495936128956242;-2.6242313350237028e-05;0.07905728820616502
2020-01-23;653.0;18.0;30.0;-0.1768036388179127;619981.0;316993.0;431848.0;353890.0;246974.0;3825.0;15117.0;175.0;20431837216.0;943090963.0;1641767190.0;588086969.0;17258892094.0;0.0;69819.0;37819.0;49495.0;4413661483.0;1743498239.0;6637969815.0;48859.0;20960.0;29115.0;8704.0;4126033047.0;287628436.0;1507130706.0;236367533.0;-0.08507992290244118;5.469636187569858;5.312568407415796;4.387377400738509;-0.0010904387531959386;-0.0007854325346003584;-0.02418019746202453;0.000397478475817145;0.07112852652322495
2020-01-24;941.0;26.0;36.0;0.0379483623292947;1180233.0;664381.0;779584.0;676829.0;474479.0;6469.0;21742.0;714.0;26384879637.0;1576457566.0;2247746436.0;1084189066.0;21476486569.0;0.0;126789.0;57793.0;81356.0;7114494259.0;3356873953.0;7140659965.0;89987.0;36802.0;44589.0;13204.0;6595916472.0;518577787.0;2611213382.0;745660571.0;0.041576389092536664;5.6026989630021005;5.414327949973354;4.350384064114903;-0.001639435150255068;0.0009245643265341687;-0.022429179208624885;-0.0001480610771999958;0.06204345094664934
2020-01-25;1434.0;42.0;39.0;0.0;1695409.0;910237.0;984473.0;991772.0;684657.0;4622.0;14358.0;0.0;18624540409.0;1767676804.0;2287752651.0;973383193.0;13595727761.0;0.0;151377.0;49673.0;66301.0;4566191800.0;1850021962.0;4897994397.0;105775.0;45602.0;36858.0;12815.0;4160693360.0;405498440.0;1362493539.0;487528423.0;-0.09761621507290003;5.396984427242589;5.283449475357204;4.294989958697384;-0.001704458995002023;-0.0006654610427472415;-0.022215443322770513;0.0003694078399273943;0.06126646113150307
2020-01-26;2118.0;56.0;52.0;0.0;1735921.0;1122852.0;975443.0;1026349.0;689714.0;4655.0;15203.0;0.0;18440621420.0;1849493174.0;2529928287.0;1034787008.0;13026412951.0;0.0;135706.0;64813.0;85971.0;4545338069.0;2110783835.0;4660572847.0;93969.0;41737.0;48330.0;16483.0;4122991852.0;422346217.0;1849951054.0;260832781.0;-0.1451042038743898;5.299923169942347;5.225542549304026;4.28986963793526;-0.0012477022084143824;-0.0019114829626552634;-0.026496389689902363;0.00022927576964200925;0.0671494850140912
2020-01-27;2927.0;82.0;61.0;-0.399454180931713;1394622.0;841638.0;899393.0;802615.0;563102.0;6415.0;22490.0;0.0;26328964559.0;1725965551.0;2782273098.0;1437847834.0;20382878076.0;0.0;154009.0;53120.0;91005.0;6411650265.0;2674052927.0;6911823372.0;106143.0;47866.0;41443.0;11677.0;5931799227.0;479851038.0;2340918776.0;333134151.0;-0.2244458119118906;5.190506314087585;5.209117470784362;4.352920823075812;-0.0023909781190533555;-0.004903469361516281;-0.020846959291568254;0.0012291565780563048;0.061459240277012356
2020-01-28;5578.0;131.0;107.0;0.09748989776166725;1406147.0;805362.0;975922.0;805515.0;563831.0;8544.0;28257.0;0.0;32129337271.0;1917064977.0;3043628581.0;1676441777.0;25492201936.0;0.0;122386.0;67759.0;98715.0;7246032813.0;3516514747.0;7961109813.0;88822.0;33564.0;53014.0;14745.0;6757108185.0;488924628.0;2894414691.0;622100056.0;-0.141865263007084;5.275730112979191;5.282947174138641;4.270646623760737;-0.0038347123514112123;-0.0034422277286915337;-0.020133937028037178;0.0008210191503681614;0.060498771351097276
2020-01-29;6166.0;133.0;126.0;0.013180805904924306;1182420.0;639335.0;795627.0;677624.0;475174.0;6444.0;23178.0;0.0;27109914401.0;1496706274.0;2535862372.0;1164589634.0;21912756121.0;0.0;59496.0;31154.0;48160.0;3719819565.0;1152037541.0;4928899278.0;36373.0;23123.0;23353.0;7801.0;3454446139.0;265373426.0;641570608.0;510466933.0;-0.11183038287277089;5.254025809635266;5.216493321159332;4.339481350033777;-0.0056012721583874004;-0.0023233383479855894;-0.02360675018066317;0.0003092354064801252;0.06306907782639024
2020-01-30;8234.0;171.0;143.0;-0.1935259329024141;1662273.0;980479.0;1110789.0;951289.0;674642.0;8013.0;28329.0;0.0;32650908562.0;1925673877.0;3091430708.0;1375881732.0;26257922245.0;0.0;79953.0;41231.0;99152.0;3857054967.0;1439703087.0;6290165965.0;54993.0;24960.0;28541.0;12690.0;3434987583.0;422067384.0;1158891086.0;280812001.0;-0.07613306009282532;5.257066827862466;5.243633962089863;4.266146912409808;-0.0020013406554876437;-0.0013384735012838362;-0.02800905243051404;0.0012417966615264461;0.06742561920224932
2020-01-31;9927.0;213.0;222.0;-0.21160003080009104;1559154.0;903931.0;1083403.0;885973.0;636518.0;8034.0;28629.0;0.0;33683295347.0;1970506194.0;2936827013.0;1286898310.0;27489063830.0;0.0;72803.0;36818.0;70650.0;3753291486.0;1494822185.0;6707468504.0;50338.0;22465.0;25475.0;11343.0;3379070555.0;374220931.0;990177904.0;504644281.0;-0.14037358991667062;5.19585292091577;5.23340740240741;4.3210319198157565;-0.002612940947112534;-0.0024621635747557958;-0.02679400518432401;-0.0002708302548278627;0.06607206553411472
