country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum
United States of America;USA;2020-01-22;1;0;0
United States of America;USA;2020-01-23;1;0;0
United States of America;USA;2020-01-24;2;0;0
United States of America;USA;2020-01-25;2;0;0
United States of America;USA;2020-01-26;5;0;0
United States of America;USA;2020-01-27;5;0;0
United States of America;USA;2020-01-28;5;0;0
United States of America;USA;2020-01-29;5;0;0
United States of America;USA;2020-01-30;5;0;0
United States of America;USA;2020-01-31;7;0;0
United States of America;USA;2020-02-01;8;0;0
United States of America;USA;2020-02-02;8;0;0
United States of America;USA;2020-02-03;11;0;0
United States of America;USA;2020-02-04;11;0;0
United States of America;USA;2020-02-05;12;0;0
United States of America;USA;2020-02-06;12;0;0
United States of America;USA;2020-02-07;12;0;0
United States of America;USA;2020-02-08;12;0;0
United States of America;USA;2020-02-09;12;0;3
United States of America;USA;2020-02-10;12;0;3
United States of America;USA;2020-02-11;13;0;3
United States of America;USA;2020-02-12;13;0;3
United States of America;USA;2020-02-13;15;0;3
United States of America;USA;2020-02-14;15;0;3
United States of America;USA;2020-02-15;15;0;3
United States of America;USA;2020-02-16;15;0;3
United States of America;USA;2020-02-17;15;0;3
United States of America;USA;2020-02-18;15;0;3
United States of America;USA;2020-02-19;15;0;3
United States of America;USA;2020-02-20;15;0;3
United States of America;USA;2020-02-21;35;0;5
United States of America;USA;2020-02-22;35;0;5
United States of America;USA;2020-02-23;35;0;5
United States of America;USA;2020-02-24;53;0;5
United States of America;USA;2020-02-25;53;0;6
United States of America;USA;2020-02-26;59;0;6
United States of America;USA;2020-02-27;60;0;6
