country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum
Taiwan, Province of China;TWN;2020-01-22;1;0;0
Taiwan, Province of China;TWN;2020-01-23;1;0;0
Taiwan, Province of China;TWN;2020-01-24;3;0;0
Taiwan, Province of China;TWN;2020-01-25;3;0;0
Taiwan, Province of China;TWN;2020-01-26;4;0;0
Taiwan, Province of China;TWN;2020-01-27;5;0;0
Taiwan, Province of China;TWN;2020-01-28;8;0;0
Taiwan, Province of China;TWN;2020-01-29;8;0;0
Taiwan, Province of China;TWN;2020-01-30;9;0;0
Taiwan, Province of China;TWN;2020-01-31;10;0;0
Taiwan, Province of China;TWN;2020-02-01;10;0;0
Taiwan, Province of China;TWN;2020-02-02;10;0;0
Taiwan, Province of China;TWN;2020-02-03;10;0;0
Taiwan, Province of China;TWN;2020-02-04;11;0;0
Taiwan, Province of China;TWN;2020-02-05;11;0;0
Taiwan, Province of China;TWN;2020-02-06;16;0;1
Taiwan, Province of China;TWN;2020-02-07;16;0;1
Taiwan, Province of China;TWN;2020-02-08;17;0;1
Taiwan, Province of China;TWN;2020-02-09;18;0;1
Taiwan, Province of China;TWN;2020-02-10;18;0;1
Taiwan, Province of China;TWN;2020-02-11;18;0;1
Taiwan, Province of China;TWN;2020-02-12;18;0;1
Taiwan, Province of China;TWN;2020-02-13;18;0;1
Taiwan, Province of China;TWN;2020-02-14;18;0;2
Taiwan, Province of China;TWN;2020-02-15;18;0;2
Taiwan, Province of China;TWN;2020-02-16;20;1;2
Taiwan, Province of China;TWN;2020-02-17;22;1;2
Taiwan, Province of China;TWN;2020-02-18;22;1;2
Taiwan, Province of China;TWN;2020-02-19;23;1;2
Taiwan, Province of China;TWN;2020-02-20;24;1;2
Taiwan, Province of China;TWN;2020-02-21;26;1;2
Taiwan, Province of China;TWN;2020-02-22;26;1;2
Taiwan, Province of China;TWN;2020-02-23;28;1;2
Taiwan, Province of China;TWN;2020-02-24;30;1;5
Taiwan, Province of China;TWN;2020-02-25;31;1;5
Taiwan, Province of China;TWN;2020-02-26;32;1;5
Taiwan, Province of China;TWN;2020-02-27;32;1;5
