rank,iso,country,tweets_day,risk_index,reliability,reliability_exposure,bot_unverified
1,SGP,Singapore,4210.9,0.005,90.33%,99.67%,40.52%
2,ZAF,South Africa,19574.1,0.005,77.88%,99.5%,38.35%
3,FRA,France,75464.0,0.023,73.94%,97.67%,41.74%
4,IRL,Ireland,8034.3,0.026,84.04%,97.48%,38.84%
5,HKG,Hong Kong S.A.R.,8642.9,0.034,85.21%,97.7%,40.33%
6,MYS,Malaysia,37688.2,0.037,92.67%,97.04%,38.79%
7,CAF,Central African Republic,1331.0,0.047,80.35%,96.07%,40.88%
8,NGA,Nigeria,18057.8,0.055,76.56%,93.47%,35.27%
9,ESP,Spain,74915.0,0.056,74.92%,94.52%,40.16%
10,JPN,Japan,11697.6,0.064,87.52%,93.78%,42.0%
11,AUS,Australia,27363.1,0.067,80.76%,93.64%,40.17%
12,KOR,South Korea,4250.8,0.081,77.62%,93.34%,40.15%
13,THA,Thailand,31775.5,0.085,81.88%,94.01%,40.2%
14,CHL,Chile,18340.0,0.089,66.25%,92.62%,36.31%
15,CAN,Canada,48355.8,0.093,77.89%,90.71%,40.48%
16,ITA,Italy,43621.9,0.094,75.35%,95.32%,42.93%
17,EGY,Egypt,2164.9,0.095,79.08%,88.52%,38.64%
18,BEL,Belgium,8296.7,0.107,79.07%,89.5%,40.7%
19,SWE,Sweden,12625.7,0.132,71.35%,88.85%,41.4%
20,GBR,United Kingdom,100880.7,0.134,76.56%,86.77%,40.2%
21,PRI,Puerto Rico,3928.0,0.136,66.6%,94.76%,40.29%
22,BRA,Brazil,43752.8,0.142,64.11%,85.95%,40.68%
23,PAK,Pakistan,10039.7,0.144,79.03%,90.93%,40.11%
24,LBN,Lebanon,1081.5,0.147,76.09%,82.38%,39.58%
25,ARE,United Arab Emirates,2323.0,0.152,76.36%,91.93%,39.08%
26,KEN,Kenya,7192.8,0.154,77.67%,85.07%,34.77%
27,COM,Comoros,1827.2,0.155,67.26%,86.36%,44.46%
28,UGA,Uganda,2144.2,0.163,78.71%,83.81%,37.05%
29,NPL,Nepal,1382.6,0.168,76.44%,85.79%,40.19%
30,DNK,Denmark,1980.7,0.169,76.71%,82.84%,42.93%
31,SEN,Senegal,1038.0,0.171,81.45%,90.16%,41.71%
32,SAU,Saudi Arabia,3024.1,0.178,79.66%,81.35%,35.02%
33,UKR,Ukraine,1117.5,0.178,77.75%,86.63%,41.43%
34,CHE,Switzerland,6727.5,0.18,77.75%,87.07%,41.78%
35,PRT,Portugal,6456.2,0.192,71.69%,78.13%,41.15%
36,BOL,Bolivia,2453.8,0.195,64.5%,82.04%,42.63%
37,ARG,Argentina,47155.7,0.198,77.07%,80.82%,40.4%
38,COD,Democratic Republic of the Congo,1707.8,0.203,74.0%,79.05%,39.4%
39,JAM,Jamaica,1494.4,0.207,79.42%,79.57%,40.34%
40,POL,Poland,4738.9,0.207,77.36%,78.57%,41.76%
41,NZL,New Zealand,3645.6,0.21,77.29%,79.18%,41.53%
