country,iso3,date,EPI_confirmed_cum,EPI_dead_cum,EPI_recovered_cum
Philippines,PHL,2020-01-22,0,0,0
Philippines,PHL,2020-01-23,0,0,0
Philippines,PHL,2020-01-24,0,0,0
Philippines,PHL,2020-01-25,0,0,0
Philippines,PHL,2020-01-26,0,0,0
Philippines,PHL,2020-01-27,0,0,0
Philippines,PHL,2020-01-28,0,0,0
Philippines,PHL,2020-01-29,0,0,0
Philippines,PHL,2020-01-30,1,0,0
Philippines,PHL,2020-01-31,1,0,0
Philippines,PHL,2020-02-01,1,0,0
Philippines,PHL,2020-02-02,2,1,0
Philippines,PHL,2020-02-03,2,1,0
Philippines,PHL,2020-02-04,2,1,0
Philippines,PHL,2020-02-05,2,1,0
Philippines,PHL,2020-02-06,2,1,0
Philippines,PHL,2020-02-07,3,1,0
Philippines,PHL,2020-02-08,3,1,0
Philippines,PHL,2020-02-09,3,1,0
Philippines,PHL,2020-02-10,3,1,0
Philippines,PHL,2020-02-11,3,1,0
Philippines,PHL,2020-02-12,3,1,1
Philippines,PHL,2020-02-13,3,1,1
Philippines,PHL,2020-02-14,3,1,1
Philippines,PHL,2020-02-15,3,1,1
Philippines,PHL,2020-02-16,3,1,1
Philippines,PHL,2020-02-17,3,1,1
Philippines,PHL,2020-02-18,3,1,1
Philippines,PHL,2020-02-19,3,1,1
Philippines,PHL,2020-02-20,3,1,1
Philippines,PHL,2020-02-21,3,1,1
Philippines,PHL,2020-02-22,3,1,1
Philippines,PHL,2020-02-23,3,1,1
Philippines,PHL,2020-02-24,3,1,1
Philippines,PHL,2020-02-25,3,1,1
Philippines,PHL,2020-02-26,3,1,1
Philippines,PHL,2020-02-27,3,1,1
